gname	h2PB
ACBD6	0.089887539
ACBD7	0.004446741
ACCS	0.221577897
ACCSL	-0.013873015
ACD	0.19387863
ACE	-0.003738413
ACER1	0.124800368
ACER2	-0.056492548
ACER3	0.174519281
ACHE	0.06667836
ACIN1	0.180029382
ACKR2	0.126450026
ACKR3	0.129718578
ACKR4	0.137976702
ACLY	-0.042580656
ACMSD	0.025122672
ACN9	0.015714701
ACO1	0.14260411
ACO2	0.118667864
ACOT11	-0.040090547
ACOT12	0.054414819
ACOT13	-0.120269723
ACOT4	0.12185113
ACOT6	0.190274803
ACOT7	0.130999459
ACOT8	0.115862308
ACOX1	0.275516574
ACOX2	-0.061863946
ACOX3	-0.001460963
ACOXL	0.071326462
ACP1	0.195931031
ACP2	0.224511109
ACP5	-0.098580739
ACP6	0.070377565
ACPL2	0.237860442
ACPP	0.292868719
ACPT	0.1395027
ACRBP	0.382875641
ACRV1	0.159654278
ACSBG1	0.163925913
ACSBG2	-0.007981032
ACSF2	0.088937785
ACSF3	0.162766073
ACSL1	0.405404413
ACSL3	-0.021546786
ACSL5	0.24820927
ACSL6	0.208594047
ACSM1	0.158596414
ACSM2A	-0.185022656
ACSM2B	0.092898544
ACSM3	0.084344255
ACSM4	-0.070172063
ACSM5	0.068459129
ACSS1	0.165702505
ACSS2	0.202943281
ACSS3	0.174711344
ACTA1	0.165109758
ACTA2	0.179380403
ACTB	-0.056366611
ACTBL2	0.085341585
ACTC1	-0.002880452
ACTG1	0.469257324
ACTG2	0.18757662
ACTL10	0.213381531
ACTL6A	0.000250675
ACTL6B	0.170477958
ACTL7A	-0.254950382
ACTL7B	-0.065148757
ACTL8	0.082911661
ACTL9	0.030477951
ACTN1	0.314646238
ACTN2	0.224628603
ACTN3	-0.147524068
ACTN4	0.186141677
ACTR10	0.124415244
ACTR1A	0.068027667
ACTR1B	0.177206322
ACTR2	0.398693919
ACTR3	0.12754399
ACTR3B	0.095667086
ACTR3C	0.189374053
ACTR5	-0.033728453
ACTR6	0.225561162
ACTR8	0.010242634
ACTRT2	0.146854392
ACTRT3	0.046586956
ACVR1	0.194694984
ACVR1B	0.176199663
ACVR1C	0.13672768
ACVR2A	0.153050545
ACVR2B	0.085424491
ACVRL1	-0.023214266
ACY1	-0.008331552
ACY3	0.089471705
ACYP1	0.334738354
ACYP2	-0.022613091
ADA	0.01444088
ADAD1	0.071084259
ADAD2	0.150718735
ADAL	0.138410834
ADAM10	0.334980411
ADAM11	0.212933732
ADAM12	0.068099649
ADAM15	0.120594718
ADAM17	0.546287833
ADAM18	0.123508104
ADAM19	0.263037641
ADAM2	0.090177396
ADAM20	0.213882107
ADAM21	-0.200281808
ADAM22	0.030934138
ADAM23	0.013519142
ADAM28	0.453819856
ADAM29	-0.157698884
ADAM30	0.030107235
ADAM32	0.065671016
ADAM33	0.103859664
ADAM3A	0.164723288
ADAM7	0.101002005
ADAM8	0.292716421
ADAM9	0.171429887
ADAMDEC1	0.063292524
ADAMTS1	0.474190474
ADAMTS10	0.187739616
ADAMTS12	0.176181244
ADAMTS13	0.137774138
ADAMTS14	0.075663884
ADAMTS15	0.286714665
ADAMTS16	0.152092052
ADAMTS17	-0.068459069
ADAMTS18	0.182505367
ADAMTS19	0.197862074
ADAMTS2	-0.053226175
ADAMTS20	-0.002951765
ADAMTS3	0.077149248
ADAMTS4	0.210827933
ADAMTS5	0.091174606
ADAMTS6	0.06059573
ADAMTS7	-0.010538993
ADAMTS8	0.168924851
ADAMTS9	0.161276531
ADAMTSL1	0.340190317
ADAMTSL3	-0.074064712
ADAMTSL4	0.445374729
ADAMTSL4-AS1	-0.057265787
ADAMTSL5	0.130167572
ADAP1	0.274696347
ADAP2	0.166055481
ADAR	0.282514728
ADARB1	0.192312446
ADARB2	0.099656141
ADARB2-AS1	-0.054463376
ADAT1	0.09669919
ADAT2	0.208555442
ADC	0.181378964
ADCK1	0.148241989
ADCK2	0.16823715
ADCK3	0.468854728
ADCK4	-0.0468706
ADCK5	-0.054229172
ADCY1	0.203425994
ADCY10	0.016364889
ADCY2	0.124287556
ADCY3	0.003006474
ADCY4	-0.03323751
ADCY5	-0.070969903
ADCY6	-0.05951405
ADCY7	0.244245173
ADCY8	0.125873922
ADCY9	0.196606122
ADCYAP1	0.076229078
ADCYAP1R1	0.03497933
ADD1	0.262534071
ADD2	0.241936916
ADD3	0.310572749
ADGB	0.013727426
ADH1A	0.168734052
ADH1B	0.079329097
ADH1C	0.003100631
ADH4	0.031412413
ADH5	0.261574596
ADH6	0.171028604
ADH7	-0.102327932
ADHFE1	0.10505971
ADI1	0.579112079
ADIG	-0.010108392
ADIPOQ	0.076443886
ADIPOR1	0.277877778
ADIPOR2	-0.086303644
ADIRF	0.145037682
ADIRF-AS1	0.258467565
ADK	0.149075141
ADM	0.334105707
ADM2	0.11750008
ADM5	-0.199595096
ADNP	0.087712982
ADNP2	0.265816566
ADO	0.072912603
ADORA1	-0.00832894
ADORA2A	0.052110062
ADORA2B	0.092209252
ADORA3	0.348414807
ADPGK	0.091259231
ADPRH	0.161403987
ADPRHL1	0.033639069
ADPRHL2	0.157563263
ADPRM	0.164587516
ADRA1A	0.03031526
ADRA1B	-0.071996958
ADRA1D	0.111728189
ADRA2A	-0.098230419
ADRA2B	-0.161677041
ADRA2C	0.070338019
ADRB1	0.186287705
ADRB2	0.174661701
ADRB3	0.409594692
ADRBK1	0.002729465
ADRBK2	0.093919537
ADRM1	0.08945197
ADSL	0.040307244
ADSS	0.022366852
ADSSL1	-0.044177115
ADTRP	0.244614874
AEBP1	0.257612527
AEBP2	0.065161292
AEN	0.059558798
AES	0.196665632
AFAP1	0.285947986
AFAP1L1	0.27691139
AFAP1L2	0.122327388
AFF1	0.270518093
AFF3	0.280727754
AFF4	0.308445772
AFG3L2	-0.090192087
AFM	0.08537712
AFMID	0.112558811
AFP	-0.019226445
AFTPH	0.176803569
AGA	0.367225711
AGAP1	0.131484494
AGAP11	-0.187370929
AGAP2	0.445790004
AGAP2-AS1	0.207831355
AGAP3	0.106796977
AGAP4	0.096851085
AGBL1	0.089201509
AGBL2	0.111917785
AGBL3	0.018082764
AGBL4	0.157909132
AGBL5	0.15975675
AGER	0.179305492
AGFG1	0.188570534
AGFG2	0.250507146
AGGF1	0.187235974
AGK	0.068074538
AGL	0.203876347
AGMAT	0.085916005
AGMO	0.202520784
AGO1	0.140657908
AGO2	0.407283792
AGO3	0.046707445
AGO4	0.225449338
AGPAT1	0.262323805
AGPAT2	0.154418222
AGPAT3	0.205548972
AGPAT4	0.266786451
AGPAT5	0.074342818
AGPAT6	0.141268479
AGPAT9	0.134262389
AGPS	0.28603691
AGR2	0.209166087
AGR3	-0.099339732
AGRN	0.263616724
AGRP	0.087021947
AGT	-0.009745002
AGTPBP1	0.161783766
AGTR1	0.152689754
AGTRAP	0.144208938
AGXT	0.040450004
AGXT2	0.164100711
AHCTF1	0.073209014
AHCY	-0.018116353
AHCYL1	0.103634732
AHCYL2	0.179417695
AHDC1	0.138311731
AHI1	0.301601128
AHNAK	0.295342346
AHNAK2	0.0291955
AHR	0.172702772
AHRR	0.069819817
AHSA1	0.001129865
AHSA2	0.13969015
AHSG	-0.032689384
AHSP	0.47139205
AICDA	0.143393848
AIDA	0.220684021
AIF1	0.344044097
AIF1L	0.192242247
AIFM2	0.063954631
AIFM3	0.058539475
AIG1	0.044116964
AIM1	0.191491605
AIM1L	0.0934311
AIM2	0.242253327
AIMP1	0.084482694
AIMP2	0.238364379
AIP	0.064177764
AIPL1	0.306407002
AIRE	0.089163702
AJAP1	0.014271872
AJUBA	0.030998142
AK1	0.162695893
AK2	0.166115884
AK3	0.266958523
AK5	0.506285194
AK7	-0.079736903
AK8	-0.160302999
AK9	0.186328108
AKAP1	0.254517241
AKAP10	0.221855862
AKAP11	0.083261829
AKAP12	0.064738102
AKAP13	0.206810637
AKAP3	-0.072013747
AKAP5	0.119643597
AKAP6	0.053324405
AKAP7	0.230930883
AKAP8	0.024744034
AKAP8L	0.104594388
AKAP9	0.203150614
AKIP1	0.16114613
AKIRIN1	0.097572685
AKIRIN2	0.115185839
AKNA	0.154928374
AKNAD1	-0.011250663
AKR1A1	0.312201428
AKR1B1	0.092508889
AKR1B10	0.075591516
AKR1B15	-0.018405189
AKR1C1	-0.055323871
AKR1C2	0.166738248
AKR1C3	0.120733041
AKR1C4	0.213415807
AKR1C6P	0.431180932
AKR1CL1	-0.162636643
AKR1D1	0.005044543
AKR1E2	0.249670037
AKR7A2	0.260050244
AKR7A3	-0.117786581
AKR7L	-0.061506469
AKT1	0.198504336
AKT1S1	0.177691289
AKT2	0.198884339
AKT3	0.188241167
AKTIP	0.166744958
ALAD	-0.039747814
ALAS1	-0.023770154
ALB	-0.032299997
ALCAM	0.429248057
ALDH16A1	-0.04274327
ALDH18A1	0.011797979
ALDH1A1	0.460907643
ALDH1A2	0.005516697
ALDH1A3	0.057423232
ALDH1B1	0.075405261
ALDH1L1	0.033240475
ALDH1L2	-0.072707518
ALDH2	0.242185126
ALDH3A1	0.136460926
ALDH3A2	0.145880957
ALDH3B1	0.097732105
ALDH3B2	0.179493965
ALDH4A1	0.019515932
ALDH5A1	0.152666458
ALDH6A1	-0.14318817
ALDH7A1	0.153008019
ALDH8A1	0.027952533
ALDH9A1	0.244194148
ALDOA	0.228081094
ALDOAP2	-0.035725935
ALDOB	0.096419396
ALDOC	0.103124336
ALG1	-0.075203217
ALG10B	-0.01700048
ALG12	-0.108454087
ALG14	0.060942999
ALG1L2	-0.140581327
ALG2	0.101688756
ALG3	-0.039790296
ALG5	-0.129763207
ALG6	0.219016525
ALG8	0.110881624
ALG9	0.084693984
ALK	0.087930777
ALKBH1	-0.018416527
ALKBH2	0.112047376
ALKBH3	-0.108599163
ALKBH4	0.012887309
ALKBH5	0.068502739
ALKBH6	0.018554053
ALKBH7	0.130195228
ALKBH8	-0.046825215
ALLC	0.008470543
ALMS1	-0.247232726
ALOX12	0.063087271
ALOX12B	0.049657495
ALOX15	0.513809718
ALOX15B	0.069241791
ALOX5	0.43423125
ALOX5AP	0.526571701
ALOXE3	0.040750745
ALPI	0.106125181
ALPK1	0.3978352
ALPK2	-0.158087319
ALPK3	0.184142214
ALPL	0.485917992
ALPP	0.078673742
ALPPL2	0.086218339
ALS2	0.145398181
ALS2CL	-0.065435402
ALS2CR11	-0.22611288
ALS2CR12	0.050421022
ALX1	-0.061600844
ALX3	0.087154031
ALX4	0.089007746
ALYREF	-0.001939736
AMACR	0.195936324
AMBN	0.050270647
AMBP	0.097557927
AMBRA1	0.100531798
AMD1	0.219195496
AMDHD1	-0.186662412
AMDHD2	0.055858455
AMER2	0.19347086
AMER3	0.076814864
AMFR	0.130505088
AMH	0.247421348
AMHR2	0.089538743
AMICA1	0.175954811
AMIGO1	-0.067139462
AMIGO2	0.168421913
AMMECR1L	0.171826193
AMN	-0.037541597
AMN1	0.033562805
AMOTL1	0.087900479
AMOTL2	0.063111581
AMPD1	0.097313097
AMPD2	0.340671289
AMPD3	0.159770384
AMPH	0.147988074
AMT	0.259035427
AMTN	0.073245453
AMZ1	0.128204005
AMZ2	0.039947924
ANAPC10	-0.159528366
ANAPC11	0.219848562
ANAPC13	0.180491649
ANAPC15	0.164117291
ANAPC16	0.184859221
ANAPC2	0.113155285
ANAPC4	0.039095544
ANAPC5	0.138465391
ANAPC7	0.075890096
ANG	0.0989718
ANGEL1	0.207224864
ANGEL2	0.084681442
ANGPT1	0.045998277
ANGPT2	0.153452566
ANGPT4	0.157127582
ANGPTL1	0.25657931
ANGPTL2	0.014334141
ANGPTL3	0.159479088
ANGPTL4	-0.030201678
ANGPTL5	0.059598136
ANGPTL6	0.100896014
ANGPTL7	-0.09328487
ANK1	0.470063958
ANK2	0.14313946
ANK3	0.145900113
ANKAR	0.175395219
ANKDD1A	0.338814265
ANKEF1	0.081372144
ANKFN1	0.034132436
ANKFY1	0.14314597
ANKH	0.124901565
ANKIB1	0.140372226
ANKK1	-0.063101985
ANKLE1	0.296873225
ANKLE2	0.200375645
ANKMY1	-0.015213907
ANKMY2	0.194665659
ANKRA2	0.176844494
ANKRD1	-0.256766462
ANKRD10	0.114628583
ANKRD11	-0.061681339
ANKRD12	0.221674449
ANKRD13A	0.238140918
ANKRD13B	0.158508818
ANKRD13C	0.114297213
ANKRD13D	0.060073765
ANKRD16	-0.043650064
ANKRD17	0.180033123
ANKRD18A	0.161861629
ANKRD19P	0.153983961
ANKRD2	-0.181956811
ANKRD20A20P	-0.090086977
ANKRD20A5P	0.325134367
ANKRD22	0.035248797
ANKRD24	-0.142495277
ANKRD26	-0.055312524
ANKRD27	0.0122088
ANKRD28	0.160354639
ANKRD29	0.004622885
ANKRD30A	0.027917484
ANKRD30B	0.080254975
ANKRD30BP2	0.05748719
ANKRD30BP3	-0.1264436
ANKRD32	0.194771236
ANKRD33	0.020360307
ANKRD34A	-0.065766051
ANKRD34B	0.269986167
ANKRD34C	0.316264882
ANKRD35	-0.070718378
ANKRD36	0.028893602
ANKRD36BP2	0.095432122
ANKRD37	0.011729715
ANKRD39	0.082628108
ANKRD40	0.193258466
ANKRD42	0.042618136
ANKRD44	0.164266198
ANKRD45	-0.168981413
ANKRD46	0.131159243
ANKRD49	0.193824573
ANKRD50	-0.100405985
ANKRD52	0.029762622
ANKRD53	-0.255182853
ANKRD54	-0.034407324
ANKRD55	0.242040509
ANKRD6	0.093236956
ANKRD65	-0.110059739
ANKRD66	-0.035100717
ANKRD7	0.058638068
ANKRD9	-0.00030811
ANKS1A	0.036506134
ANKS1B	0.11948121
ANKS3	0.247269407
ANKS4B	0.098120195
ANKS6	0.284661004
ANKUB1	0.081031187
ANKZF1	0.206472447
ANLN	-0.004826352
ANO1	0.002625843
ANO10	0.061471252
ANO2	0.146452736
ANO3	0.055633325
ANO4	0.064992699
ANO5	0.141378758
ANO6	0.179668573
ANO7	0.099777846
ANO8	-0.015175439
ANO9	-0.03699792
ANP32A	0.196687996
ANP32B	0.259945174
ANP32C	0.072106186
ANP32D	0.027809594
ANP32E	0.272719016
ANPEP	0.280577549
ANTXR1	0.084093522
ANTXR2	0.270822851
ANXA1	0.490403171
ANXA10	-0.049939396
ANXA11	0.246072974
ANXA13	0.032962816
ANXA2	0.187700549
ANXA2P1	0.004962045
ANXA2P3	0.076998856
ANXA2R	0.068420019
ANXA3	0.26594296
ANXA4	0.351016498
ANXA5	0.51833582
ANXA6	0.186183298
ANXA7	0.188096345
ANXA9	0.250806576
AOAH	0.303406795
AOC1	-0.087745433
AOC2	0.105651519
AOC3	0.15548831
AOX1	0.066697552
AP1AR	0.009507637
AP1B1	0.190414261
AP1G1	0.128449023
AP1G2	0.071689806
AP1M1	-0.044578614
AP1M2	0.159275384
AP1S1	0.062855257
AP1S2	0.165068461
AP1S3	0.09850914
AP2A1	0.013453217
AP2A2	0.072532216
AP2B1	0.086746037
AP2M1	0.280797434
AP2S1	0.145699483
AP3B1	0.062328596
AP3B2	0.125269768
AP3D1	0.299620487
AP3M1	0.134037108
AP3M2	0.152806525
AP3S1	-0.154822297
AP4B1	0.045958704
AP4E1	0.204691414
AP4M1	0.037062264
AP4S1	0.004043919
AP5B1	0.08892096
AP5M1	0.137487157
AP5S1	-0.155742306
AP5Z1	0.080183102
APAF1	0.231712978
APBA1	0.204148375
APBA2	0.345185101
APBA3	0.185293855
APBB1	0.17067339
APBB1IP	0.230014648
APBB2	0.0186941
APBB3	0.085448604
APC	0.122784731
APC2	0.095725442
APCDD1	0.135572364
APCDD1L	0.104780471
APCS	0.264358747
APEH	-0.043082113
APEX1	-0.117739928
APH1A	0.15110825
APH1B	0.246974137
API5	0.140999529
APIP	0.059066137
APLF	0.079561325
APLNR	0.042477369
APLP1	0.003419685
APLP2	0.148818747
APMAP	0.281111049
APOA1	0.112375491
APOA1BP	-0.092333718
APOA2	0.195867797
APOA4	0.00368734
APOA5	0.046653173
APOB	0.12567545
APOBEC1	0.038340627
APOBEC2	0.038855199
APOBEC3B	0.501162058
APOBEC3C	0.113095918
APOBEC3D	0.108743634
APOBEC3F	0.144611678
APOBEC3G	0.253398348
APOBEC3H	0.197443712
APOBEC4	0.150796065
APOBR	0.174493256
APOC1	0.118510642
APOC1P1	0.096799385
APOC2	0.163435991
APOC3	-0.06062026
APOD	0.365593408
APOE	-0.174743728
APOF	0.097157192
APOH	0.112727878
APOL1	0.288547322
APOL2	-0.077761004
APOL3	0.346667481
APOL4	0.158699724
APOL5	0.03790502
APOL6	0.260721484
APOLD1	0.196340027
APOM	0.071062902
APP	0.328744248
APPBP2	0.338335326
APPL1	0.263996523
APPL2	0.317259511
APRT	0.082343303
APTX	0.212763251
AQP1	0.179371209
AQP10	0.084796874
AQP11	-0.01995136
AQP2	0.058306169
AQP3	0.325025037
AQP4	0.148849986
AQP5	0.175102835
AQP6	0.140125204
AQP7	-0.080034287
AQP8	-0.168244197
AQP9	0.409003157
AQPEP	0.118127001
AQR	0.127430536
ARAP1	0.192316185
ARAP2	-0.019237054
ARAP3	0.094941682
ARC	-0.121226868
ARCN1	0.247236353
AREL1	0.141625189
ARF3	0.300413763
ARF4	0.328466472
ARF5	0.243268766
ARF6	0.015922542
ARFGAP1	0.188545894
ARFGAP2	0.248379718
ARFGAP3	0.12088639
ARFGEF1	0.143375565
ARFGEF2	0.010985225
ARFIP1	0.296019172
ARFIP2	0.076305414
ARFRP1	0.049395381
ARG1	0.02478006
ARG2	0.330812944
ARGFX	-0.033301118
ARGLU1	0.268443014
ARHGAP1	-0.03997787
ARHGAP10	0.097320609
ARHGAP11A	0.302623144
ARHGAP12	0.144443264
ARHGAP15	0.260006716
ARHGAP17	0.179259652
ARHGAP18	0.317891674
ARHGAP19	0.363597495
ARHGAP20	0.373043832
ARHGAP21	0.216549075
ARHGAP22	0.096707504
ARHGAP23	0.072519197
ARHGAP24	0.1930373
ARHGAP25	0.206822564
ARHGAP26	0.172771976
ARHGAP27	0.258099501
ARHGAP28	0.066959178
ARHGAP29	0.167216423
ARHGAP30	0.165151334
ARHGAP31	-0.062426272
ARHGAP32	0.195367602
ARHGAP33	0.011920565
ARHGAP35	0.396540412
ARHGAP39	0.179402577
ARHGAP42	0.180322772
ARHGAP44	-0.11277245
ARHGAP5	0.149058119
ARHGAP9	0.265093157
ARHGDIA	0.171147602
ARHGDIB	0.281143189
ARHGDIG	-0.073614926
ARHGEF1	0.124931277
ARHGEF10	0.06658254
ARHGEF10L	0.287249154
ARHGEF11	0.34574701
ARHGEF12	0.248194005
ARHGEF15	-0.007096323
ARHGEF16	0.180457024
ARHGEF17	0.042892315
ARHGEF18	0.410949182
ARHGEF19	0.00797154
ARHGEF2	0.123623146
ARHGEF25	0.166856552
ARHGEF26	0.278639126
ARHGEF28	0.253802267
ARHGEF3	0.16119781
ARHGEF33	0.118536583
ARHGEF37	0.048663237
ARHGEF38	0.072429976
ARHGEF39	0.141664913
ARHGEF4	0.055646055
ARHGEF40	0.175822113
ARHGEF5	0.079277248
ARHGEF7	0.08939336
ARID1A	0.120285303
ARID1B	-0.112785807
ARID2	0.025396065
ARID3A	0.117415782
ARID3B	-0.138700135
ARID3C	-0.09252721
ARID4A	0.122524614
ARID4B	0.147096656
ARID5A	0.091821763
ARID5B	0.322142077
ARIH1	0.196863761
ARIH2	0.089189881
ARIH2OS	-0.010234649
ARL1	0.108780624
ARL10	0.321584839
ARL11	0.19814585
ARL13B	0.318406003
ARL14	0.127239033
ARL14EP	0.329230938
ARL15	0.006133288
ARL16	-0.00081772
ARL2	0.139292767
ARL2BP	0.240199833
ARL3	0.062188822
ARL4A	0.433316099
ARL4C	0.262868551
ARL4D	-0.123140634
ARL5A	0.374948042
ARL5B	0.308759478
ARL5C	-0.019881012
ARL6	0.111440701
ARL6IP1	0.261960612
ARL6IP4	0.325881922
ARL6IP5	0.328809107
ARL6IP6	0.002308217
ARL8A	0.156431283
ARL8B	0.106475658
ARL9	-0.100091032
ARMC1	-0.016652423
ARMC10	0.054043365
ARMC12	0.214653254
ARMC2	-0.106516766
ARMC3	0.007917822
ARMC4	0.079789845
ARMC5	0.328697019
ARMC6	0.079054733
ARMC7	-0.149489792
ARMC8	0.216949997
ARMC9	0.041499351
ARMS2	0.039776766
ARNT	0.175219319
ARNT2	0.063625684
ARNTL	0.081624978
ARNTL2	-0.129433101
ARPC1A	-0.114552194
ARPC1B	-0.072507836
ARPC2	0.171268747
ARPC3	0.339766704
ARPC4	0.298243659
ARPC5	0.181296579
ARPC5L	0.18331707
ARPP19	0.238094121
ARPP21	0.12758978
ARRB1	0.21292542
ARRB2	0.180489435
ARRDC1	0.034771603
ARRDC2	0.081628777
ARRDC3	0.343905429
ARRDC3-AS1	0.244171162
ARRDC4	0.250262943
ARRDC5	0.145697763
ARSA	-0.066636296
ARSB	0.147440251
ARSG	0.03512671
ARSI	0.207791985
ARSJ	-0.097665776
ARSK	0.202307154
ART1	-0.001059465
ART3	0.166654899
ART4	0.014221849
ART5	0.227499841
ARTN	0.101545501
ARV1	-0.000270766
ARVCF	-0.056220825
ARVP6125	-0.175860797
ASAH1	0.302364459
ASAH2	0.128891124
ASAH2B	0.127631264
ASAP1	0.349737611
ASAP1-IT2	-0.000513894
ASAP2	0.159924081
ASAP3	-0.009117133
ASB1	0.143087779
ASB10	0.249316311
ASB13	0.037733101
ASB14	0.109006628
ASB15	-0.012470295
ASB16	0.204972797
ASB16-AS1	0.125951361
ASB17	0.025517649
ASB18	-0.128413461
ASB2	-0.119091347
ASB4	0.075117516
ASB5	0.055926421
ASB6	0.187041283
ASB7	0.279929774
ASB8	0.144829663
ASCC1	0.23963243
ASCC2	0.275309986
ASCC3	0.160915573
ASCL1	0.121989886
ASCL2	0.038497554
ASCL3	-0.108880846
ASCL4	0.100825
ASF1A	0.186129363
ASF1B	0.083770868
ASGR1	-0.10808644
ASGR2	0.241269239
ASH1L	0.257859539
ASH2L	0.110983384
ASIC1	0.050469582
ASIC2	-0.001150782
ASIC4	0.054438326
ASIC5	-0.007474313
ASIP	-0.133873298
ASL	0.122342732
ASNA1	0.199741203
ASNS	0.123229218
ASNSD1	0.250817401
ASPA	0.055341536
ASPDH	0.155905165
ASPG	0.022264644
ASPH	0.436919795
ASPHD1	-0.084802934
ASPHD2	0.048667761
ASPM	0.002315287
ASPN	0.04121184
ASPRV1	0.106056798
ASPSCR1	0.107905274
ASRGL1	0.122475658
ASS1	-0.050816264
ASTE1	-0.084837725
ASTL	-0.23640879
ASTN1	0.073965226
ASTN2	0.221956414
ASUN	0.087091645
ASXL1	0.315481018
ASXL2	0.196876427
ASXL3	0.205301767
ASZ1	0.092904165
ATAD1	0.275720497
ATAD2	0.026212291
ATAD2B	-0.02612559
ATAD3A	0.099541791
ATAD3B	-0.084734042
ATAD3C	0.008387215
ATAD5	-0.175567378
ATAT1	0.214740535
ATCAY	0.216836835
ATE1	-0.065392192
ATF1	0.031883745
ATF2	0.270500041
ATF3	0.200422612
ATF4	-0.026655712
ATF5	0.215034714
ATF6	0.212163237
ATF6B	0.186665262
ATF7	0.134493048
ATF7IP	0.183056946
ATF7IP2	0.14555528
ATG10	0.170652807
ATG12	0.115137984
ATG13	0.059007312
ATG14	0.166206295
ATG16L1	0.067123202
ATG16L2	0.163628649
ATG2A	0.050664619
ATG2B	0.225644296
ATG3	0.300728593
ATG4B	0.265679846
ATG4C	0.162444866
ATG4D	-0.01352237
ATG5	0.13689782
ATG7	0.223021821
ATG9A	0.017006165
ATG9B	0.205337052
ATHL1	0.001159794
ATIC	0.028431681
ATL1	0.185629629
ATL2	0.182471771
ATL3	0.082422486
ATM	0.254187791
ATMIN	-0.083010187
ATN1	0.03040045
ATOH1	0.126051377
ATOH7	0.194661268
ATOH8	0.000319261
ATOX1	-0.089412689
ATP10A	0.210681682
ATP10B	0.235703158
ATP10D	0.234207331
ATP11A	0.032720413
ATP11B	0.206372872
ATP12A	0.121159238
ATP13A1	-0.067749779
ATP13A2	0.063289485
ATP13A3	-0.038694592
ATP13A4	0.132231669
ATP13A5	-0.024967046
ATP1A1	0.007889085
ATP1A2	0.172066928
ATP1A3	0.258892036
ATP1A4	0.043861307
ATP1B1	-0.000559172
ATP1B2	0.124514783
ATP1B3	0.289157858
ATP2A1	-0.015517117
ATP2A2	0.20493419
ATP2A3	0.153915712
ATP2B1	0.321744384
ATP2B2	-0.02376639
ATP2B4	0.205113186
ATP2C1	0.267035644
ATP2C2	0.253023423
ATP4A	-0.078749854
ATP4B	-0.196848211
ATP5A1	0.086154352
ATP5B	0.238797779
ATP5C1	0.209017006
ATP5D	-0.077812977
ATP5E	0.046768843
ATP5F1	0.116634374
ATP5G1	-0.197969851
ATP5G2	0.048615453
