probe	chr	start	end	info	gene	IFAh2	IFAh2cis	IFAh2trans	IFBh2	IFBh2cis	IFBh2trans	rho	
10000545068	1	38235282	38235342	NM_004468	FHL3	-0.047	-0.127	0.080	0.316	0.399	-0.082	0.007	
10000545081	1	53483924	53483983	NM_004631	LRP8	0.209	0.351	-0.142	0.186	0.222	-0.036	-0.004	
10000545082	1	163890169	163890212	NM_004528	MGST3	0.322	-0.003	0.325	0.185	0.180	0.005	-0.003	
10000545085	1	159449794	159449854	NM_004550	NDUFS2	0.381	-0.003	0.385	0.075	-0.006	0.081	0.109	
10000545098	1	12550954	12551014	NM_004753	DHRS3	0.405	-0.090	0.495	0.173	0.053	0.120	0.045	
10000545118	1	153326555	153326615	NM_004952	EFNA3	0.246	-0.036	0.282	0.258	0.099	0.159	-0.011	
10000545131	1	35421822	35421882	NM_005066	SFPQ	-0.091	0.041	-0.132	0.132	0.095	0.037	-0.071	
10000545133	1	171277182	171277242	NM_005092	TNFSF18	0.201	-0.232	0.433	0.012	-0.044	0.056	-0.016	
10000545148	1	3639656	3639716	NM_005427	TP73	0.430	-0.037	0.467	0.145	0.032	0.112	-0.092	
10000545149	1	31965531	31965591	NM_001703	BAI2	0.321	-0.014	0.334	0.160	0.186	-0.026	0.006	
10000545159	1	62317765	62317825	NM_005799	INADL	0.180	-0.127	0.307	0.060	-0.011	0.071	0.003	
10000545174	1	109408370	109408430	NM_005645	TAF13	0.124	0.049	0.076	0.093	0.174	-0.081	0.010	
10000545176	1	46423359	46423528	NM_005727	TSPAN1	0.210	-0.055	0.265	0.056	-0.004	0.060	0.100	
10000545187	1	38052437	38052497	NM_005955	MTF1	0.125	-0.076	0.202	0.005	0.199	-0.194	-0.006	
10000545195	1	159459774	159459834	NM_001643	APOA2	0.288	-0.164	0.451	0.084	0.028	0.056	-0.083	
10000545268	1	85505558	85505618	NM_003921	BCL10	0.114	0.003	0.112	0.052	0.131	-0.080	-0.135	
10000545272	1	144235027	144235087	NM_003846	PEX11B	0.293	0.055	0.239	0.232	0.022	0.211	-0.123	
10000545273	1	204004711	204004771	NM_003929	RAB7L1	0.339	0.079	0.260	0.337	0.217	0.120	0.265	
10000545275	1	149603420	149603480	NM_003944	SELENBP1	0.197	-0.025	0.222	0.329	-0.019	0.349	-0.004	
10000545278	1	6443971	6444031	NM_003790	TNFRSF25	0.133	0.021	0.112	0.167	-0.164	0.332	-0.052	
10000545308	1	202426092	202426152	NM_002256	KISS1	0.148	-0.011	0.159	0.039	-0.014	0.053	-0.050	
10000545310	1	11657435	11657760	NM_006341	MAD2L2	0.162	0.031	0.132	0.040	0.052	-0.012	0.001	
10000545345	1	199719692	199719752	NM_004078	CSRP1	0.114	-0.054	0.168	0.174	0.009	0.165	-0.006	
10000545383	1	27865413	27865473	NM_002038	IFI6	0.339	0.205	0.134	0.103	0.130	-0.028	0.255	
10000545389	1	47422246	47422306	NM_005764	PDZK1IP1	0.496	-0.061	0.557	0.634	0.097	0.537	0.115	
10000545395	1	10163818	10163878	NM_006048	UBE4B	0.170	0.135	0.035	0.156	-0.164	0.320	0.077	
10000545399	1	115377546	115377606	NM_000549	TSHB	0.005	-0.128	0.133	-0.018	0.162	-0.180	0.029	
10000545405	1	218208566	218208626	NM_004446	EPRS	0.255	0.024	0.232	0.013	-0.072	0.084	-0.001	
10000545412	1	225150262	225150322	NM_000447	PSEN2	0.253	0.179	0.075	0.243	0.127	0.116	0.021	
10000545435	1	157442848	157442908	NM_002036	DARC	0.212	-0.179	0.392	0.028	-0.062	0.090	-0.028	
10000545437	1	148122664	148122724	NM_003528	HIST2H2BE	0.379	0.016	0.363	0.422	0.019	0.403	0.105	
10000545449	1	190815569	190815629	NM_002922	RGS1	0.329	0.035	0.294	0.425	0.132	0.293	0.090	
10000545451	1	166776933	166776982	NM_003175	XCL2	0.091	0.030	0.061	0.387	0.016	0.371	0.058	
10000545453	1	33251344	33251404	NM_001625	BC036308	0.197	-0.021	0.218	0.327	0.074	0.253	0.121	
10000545459	1	155037041	155037101	NM_005973	PRCC	0.235	-0.001	0.236	0.177	0.218	-0.041	-0.107	
10000545469	1	45005886	45005947	NM_006845	KIF2C	0.241	0.260	-0.019	0.153	-0.042	0.195	0.098	
10000545482	1	183337890	183337950	NM_007212	RNF2	0.779	0.419	0.360	0.570	0.414	0.156	0.601	
10000545491	1	35222109	35230455	NM_007167	ZNF258	0.090	0.024	0.065	0.025	-0.008	0.034	0.044	
10000545504	1	6247022	6247082	NM_007274	BACH	0.431	0.170	0.261	0.529	0.073	0.457	0.127	
10000545509	1	86818493	86818553	NM_012128	CLCA4	0.009	-0.069	0.078	-0.053	-0.084	0.031	0.024	
10000545514	1	87348188	87348248	NM_012262	HS2ST1	0.228	0.084	0.145	0.127	-0.039	0.166	0.057	
10000545533	1	149307515	149307575	NM_006818	MLLT11	0.392	0.045	0.347	0.094	0.177	-0.082	0.053	
10000545544	1	116748799	116748859	NM_000701	C1orf203	0.218	0.072	0.145	0.017	0.008	0.010	-0.053	
10000545554	1	156529668	156529880	NM_001765	CD1C	0.203	-0.086	0.289	0.317	-0.017	0.334	-0.005	
10000545559	1	51212789	51212849	NM_001262	CDKN2C	0.226	-0.096	0.322	0.403	-0.112	0.515	-0.045	
10000545570	1	36704230	36704290	NM_000760	CSF3R	0.140	0.099	0.040					
10000545584	1	41717070	41717130	NM_001956	EDN2	-0.080	0.167	-0.247	-0.038	-0.052	0.014	-0.068	
10000545589	1	214743260	214743321	NM_001438	ESRRG	0.488	0.262	0.226	0.137	-0.017	0.154	-0.011	
10000545596	1	24044214	24044274	NM_000147	FUCA1	0.114	0.031	0.082	0.463	0.199	0.264	0.017	
10000545619	1	116921364	116921424	NM_001542	IGSF3	0.307	-0.107	0.414	0.252	-0.080	0.332	-0.105	
10000545621	1	152706659	152706719	NM_000565	IL6R	0.146	-0.076	0.222	-0.056	-0.026	-0.030	-0.020	
10000545628	1	239825506	239825566	NM_003679	OPN3	0.214	0.035	0.179	0.465	0.133	0.331	0.077	
10000545642	1	234206898	234206958	NM_002508	NID1	0.089	0.047	0.041	0.123	-0.004	0.127	0.025	
10000545654	1	63898008	63898068	NM_002633	PGM1	0.331	0.016	0.315	0.153	0.243	-0.089	0.071	
10000545655	1	170677232	170677292	NM_002642	PIGC	0.476	0.049	0.427	0.325	-0.028	0.353	-0.011	
10000545658	1	20290179	20290239	NM_000929	PLA2G5	0.480	0.230	0.251	0.015	0.038	-0.023	0.003	
10000545674	1	71091054	71091114	NM_000957	PTGER3	0.388	0.194	0.195	0.009	-0.086	0.095	-0.052	
10000545677	1	43861547	43861607	NM_002840	PTPRF	0.079	0.008	0.071	0.300	-0.050	0.349	0.095	
10000545685	1	161382374	161382434	NM_003617	RGS5	0.522	0.017	0.505	0.072	0.153	-0.080	-0.052	
10000545706	1	113257465	113257525	NM_003051	SLC16A1	0.136	0.096	0.040	0.037	-0.160	0.197	-0.025	
10000545730	1	234438577	234438637	NM_003272	TM7SF1	0.339	-0.114	0.453	0.266	0.242	0.024	0.075	
10000545750	1	16141296	16141434	NM_003443	ZBTB17	0.376	0.045	0.331	0.094	-0.091	0.185	-0.105	
10000545754	1	100161854	100161914	NM_000646	AGL	0.127	-0.154	0.280	-0.061	0.044	-0.105	0.030	
10000545755	1	115018080	115018140	NM_000036	AMPD1	0.222	-0.012	0.235	-0.001	0.034	-0.034	-0.045	
10000545758	1	199275697	199275757	NM_000069	CACNA1S	-0.027	-0.004	-0.023	0.092	0.058	0.034	0.018	
10000545776	1	239863596	239863656	NM_001821	OPN3	0.461	0.432	0.029	0.130	0.242	-0.111	0.123	
10000545784	1	210860366	210860426	NM_001674	ATF3	0.101	0.117	-0.016	0.260	0.104	0.157	0.015	
10000545786	1	166936901	166936961	NM_001937	DPT	0.472	0.057	0.415	-0.007	-0.039	0.032	-0.058	
10000545792	1	68284627	68284687	NM_004675	DIRAS3	0.262	0.090	0.172	-0.179	0.026	-0.204	-0.027	
10000545795	1	145564576	145564636	NM_004326	BCL9	0.375	-0.030	0.406	0.164	-0.124	0.288	0.035	
10000545817	1	228467664	228467724	NM_004481	GALNT2	0.421	-0.025	0.446	0.303	-0.037	0.340	-0.067	
10000545846	1	143827735	143827795	NM_004892	SEC22B	0.194	0.104	0.090	0.120	0.069	0.051	0.111	
10000545851	1	191321677	191321737	NM_004600	TROVE2	0.507	-0.191	0.698	0.034	-0.097	0.131	0.042	
10000545867	1	11089189	11089249	NM_004958	FRAP1	0.194	-0.035	0.229	0.051	0.064	-0.013	0.002	
10000545871	1	158325732	158325792	NM_004983	KCNJ9	0.016	-0.058	0.075	0.057	-0.035	0.092	-0.031	
10000545887	1	27811563	27811623	NM_005248	FGR	0.120	0.147	-0.028	0.258	0.274	-0.016	-0.028	
10000545888	1	92713161	92713221	NM_005263	GFI1	0.149	0.140	0.009	0.361	0.362	-0.001	0.170	
10000545920	1	232593707	232593767	NM_005646	TARBP1	0.476	0.183	0.294	0.176	-0.013	0.189	-0.018	
10000545922	1	115392196	115392256	NM_005725	TSPAN2	0.232	-0.119	0.351	0.181	0.146	0.034	0.046	
10000545931	1	154703907	154703967	NM_005920	MEF2D	0.232	-0.054	0.286	0.269	0.154	0.115	-0.107	
10000545935	1	144297821	144297881	NM_006099	PIAS3	0.255	0.055	0.200	0.203	-0.087	0.290	0.037	
10000545942	1	93598754	93598814	NM_001938	DR1	0.264	0.020	0.245	0.184	0.089	0.095	0.066	
10000545949	1	195194739	195194799	NM_005666	CFHR2	0.080	-0.022	0.102	-0.030	-0.047	0.017	-0.000	
10000545961	1	144304015	144304075	NM_006468	POLR3C	0.125	0.181	-0.056	0.053	0.086	-0.032	0.028	
10000545964	1	13815272	13815332	NM_006474	PDPN	0.168	0.005	0.163	-0.028	-0.016	-0.012	0.051	
10000545967	1	144153489	144153549	NM_006472	TXNIP	0.317	0.105	0.212	0.113	0.102	0.010	-0.042	
10000545990	1	110366102	110366162	NM_006621	AHCYL1	0.337	0.156	0.181	-0.026	-0.056	0.030	-0.018	
10000545992	1	229000558	229003967	NM_006615	CAPN9	0.084	0.056	0.028	-0.113	0.012	-0.125	-0.061	
10000545993	1	86693695	86693755	NM_006536	CLCA2	0.095	0.018	0.077	0.086	-0.120	0.206	0.082	
10000546000	1	117867378	117867438	NM_006699	MAN1A2	0.575	0.161	0.414	0.569	0.323	0.247	0.312	
10000546009	1	227507464	227507524	NM_006542	SPHAR	0.465	0.021	0.445	0.090	-0.140	0.230	-0.024	
10000546015	1	32469314	32469374	NM_003757	EIF3S2	0.247	0.055	0.193	0.071	0.303	-0.232	0.016	
10000546026	1	2479227	2479287	NM_003820	TNFRSF14	0.077	0.030	0.047	0.128	0.010	0.118	0.059	
10000546055	1	201452609	201452671	NM_003465	FMOD	0.125	0.076	0.049	0.064	0.051	0.014	-0.016	
10000546094	1	154937018	154937076	NM_001878	CRABP2	0.154	-0.054	0.207	0.079	-0.003	0.082	0.046	
10000546100	1	94756411	94756471	NM_002858	ABCD3	0.528	0.173	0.355	-0.082	0.226	-0.308	0.028	
10000546109	1	154245468	154245527	NM_003145	SSR2	0.031	-0.026	0.056					
10000546144	1	165289153	165289213	NM_005814	GPA33	0.193	-0.145	0.338	0.130	0.073	0.057	-0.009	
10000546150	1	27568403	27568463	NM_003665	FCN3	0.386	-0.090	0.475	0.240	0.088	0.152	-0.082	
10000546161	1	226353410	226353466	NM_001658	ARF1	0.018	0.044	-0.026					
10000546164	1	89346481	89346541	NM_004120	GBP2	0.224	-0.102	0.326	0.350	0.084	0.266	0.076	
10000546172	1	167958621	167958681	NM_000450	SELE	0.273	-0.258	0.531	0.136	0.121	0.015	0.018	
10000546237	1	7967834	7967894	NM_007262	PARK7	0.295	-0.008	0.302	0.112	0.110	0.002	-0.069	
10000546255	1	112111665	112111722	NM_007204	DP103	0.316	0.138	0.178	0.247	0.153	0.095	0.020	
10000546258	1	160195194	160195254	NM_007348	ATF6	0.273	0.072	0.201	0.355	0.118	0.237	0.117	
10000546263	1	148384063	148384123	NM_007259	VPS45	0.203	0.012	0.191	0.219	-0.072	0.291	-0.162	
10000546269	1	36162352	36162412	NM_012199	EIF2C1	0.033	0.050	-0.017	0.246	-0.069	0.316	0.024	
10000546283	1	41265463	41265522	NM_012236	SCMH1	0.432	0.075	0.357	0.172	-0.128	0.300	-0.086	
10000546291	1	153432020	153432080	NM_007112	THBS3	0.216	-0.123	0.339	0.391	0.117	0.274	0.099	
10000546292	1	77797979	77798039	NM_012093	AK5	0.030	0.026	0.004	0.449	0.201	0.248	0.072	
10000546309	1	180034610	180034670	NM_000721	CACNA1E	0.138	-0.003	0.141	0.010	-0.070	0.080	0.007	
10000546314	1	156421204	156421264	NM_001766	CD1D	0.211	-0.110	0.321	0.300	0.122	0.178	0.012	
10000546322	1	11825703	11825763	NM_001286	CLCN6	0.379	0.376	0.003	0.365	-0.019	0.383	0.195	
10000546324	1	103115665	103115725	NM_001854	COL11A1	0.226	0.159	0.067	-0.133	0.102	-0.234	-0.043	
10000546332	1	149035776	149035836	NM_000396	CTSK	0.104	-0.045	0.149	0.372	0.395	-0.024	0.047	
10000546336	1	60131574	60131634	NM_000775	CYP2J2	0.109	0.031	0.078	0.360	0.032	0.327	0.035	
10000546350	1	94767844	94767904	NM_001993	F3	0.304	0.020	0.285	0.218	0.019	0.198	-0.072	
10000546372	1	179291126	179291186	NM_001531	MR1B	0.479	0.212	0.266	0.361	0.213	0.147	0.269	
10000546377	1	19878052	19878112	NM_000871	HTR6	0.654	0.031	0.623	0.197	-0.091	0.288	-0.159	
10000546385	1	167624103	167624163	NM_003666	BLZF1	0.325	-0.056	0.381	0.056	-0.041	0.097	0.056	
10000546393	1	58813230	58813290	NM_002353	TACSTD2	0.057	-0.122	0.179	-0.004	-0.110	0.106	-0.066	
10000546412	1	66611673	66611733	NM_002600	PDE4B	0.099	0.208	-0.110	0.136	0.010	0.126	0.018	
10000546435	1	109746050	109746110	NM_002790	PSMA5	0.372	0.049	0.324	0.129	-0.061	0.191	-0.063	
10000546438	1	28349220	28349280	NM_000952	PTAFR	0.353	0.129	0.224	-0.006	0.224	-0.229	-0.019	
10000546445	1	201114710	201114770	NM_002871	RABIF	0.494	0.170	0.324	0.166	-0.054	0.220	-0.007	
10000546463	1	236062808	236062868	NM_001035	RYR2	0.157	0.157	0.000	0.058	-0.167	0.225	0.046	
10000546466	1	53289017	53289078	NM_002979	SCP2	0.175	0.078	0.097	0.080	0.174	-0.093	-0.044	
10000546483	1	151271816	151271876	NM_003125	SPRR1B	0.280	-0.000	0.280	0.143	0.005	0.138	-0.045	
10000546484	1	11039254	11039314	NM_003132	SRM	0.350	-0.126	0.476	-0.060	0.073	-0.133	-0.081	
10000546498	1	12191768	12191828	NM_001066	TNFRSF1B	0.293	0.115	0.178					
10000546509	1	45253773	45253833	NM_000374	UROD	0.383	0.142	0.240	0.202	0.205	-0.002	0.083	
10000546513	1	33014213	33014273	NM_003680	YARS	0.105	0.029	0.076	0.015	0.193	-0.178	-0.004	
10000546520	1	228905019	228905079	NM_000029	AGT	0.266	0.268	-0.003	-0.141	0.258	-0.399	0.066	
10000546536	1	149579858	149579918	NM_000449	RFX5	0.207	0.075	0.133	0.274	-0.050	0.324	0.004	
10000546544	1	65072823	65072883	NM_002227	JAK1	0.185	0.259	-0.075	-0.029	0.002	-0.031	-0.070	
10000546549	1	210860286	210860346	NM_004024	ATF3	0.125	0.129	-0.005	0.229	0.195	0.034	-0.031	
10000546577	1	200251527	200251587	NM_004433	ELF3	0.165	-0.068	0.233	0.160	0.193	-0.033	-0.010	
10000546592	1	154183350	154183410	NM_004723	KIAA0651	0.154	-0.233	0.387	0.152	0.005	0.147	-0.039	
10000546598	1	52611089	52611149	NM_004153	ORC1L	0.206	0.140	0.066	0.208	0.230	-0.022	-0.055	
10000546600	1	10613340	10613400	NM_004565	PEX14	0.306	0.151	0.155	0.061	0.059	0.002	0.022	
10000546619	1	179122013	179122073	NM_004736	XPR1	0.367	0.201	0.166	0.100	0.005	0.095	0.013	
10000546621	1	169521588	169521648	NM_002021	FMO1	0.182	0.045	0.137	0.014	0.016	-0.003	-0.014	
10000546637	1	203310647	203310707	NM_005076	CNTN2	0.061	-0.066	0.127	0.146	-0.042	0.188	0.003	
10000546652	1	212597716	212597776	NM_005401	PTPN14	0.215	-0.130	0.345	0.018	-0.040	0.058	0.079	
10000546657	1	53452325	53452385	NM_000098	CPT2	0.281	0.238	0.043	0.301	0.076	0.225	-0.081	
10000546658	1	201576417	201576477	NM_002023	FMOD	0.236	0.242	-0.006	-0.074	-0.074	-0.000	-0.048	
10000546677	1	153492510	153492570	NM_005698	SCAMP3	0.264	-0.063	0.327	0.043	-0.107	0.151	-0.044	
10000546684	1	45807216	45807419	NM_006066	AKR1A1	0.010	-0.026	0.036	0.345	-0.048	0.393	0.019	
10000546685	1	156067703	156067763	NM_005894	CD5L	0.069	-0.196	0.264	0.055	-0.299	0.354	0.043	
10000546688	1	45937287	45937347	NM_005897	IPP	0.365	0.684	-0.319	0.129	0.126	0.003	0.027	
10000546697	1	149415998	149416058	NM_005997	VPS72	0.134	-0.034	0.168	-0.034	0.144	-0.179	-0.072	
10000546722	1	27063470	27063530	NM_006142	SFN	0.410	0.059	0.351	-0.023	-0.004	-0.019	0.099	
10000546740	1	151242770	151242830	NM_005416	SPRR3	-0.073	-0.168	0.094	-0.009	0.042	-0.051	0.101	
10000546748	1	110404138	110404198	NM_006492	ALX3	0.284	-0.092	0.376	-0.081	-0.028	-0.053	0.020	
10000546759	1	11009540	11009600	NM_006610	MASP2	0.229	0.049	0.180	0.087	-0.263	0.351	-0.091	
10000546767	1	43164383	43164443	NM_006516	SLC2A1	0.080	0.022	0.057	0.211	0.013	0.198	0.060	
10000546839	1	25098889	25098949	NM_004350	RUNX3	0.318	0.050	0.268	0.359	-0.021	0.380	0.075	
10000546841	1	159455599	159455659	NM_004106	FCER1G	0.324	0.233	0.091	0.558	0.226	0.332	0.224	
10000546897	1	218298793	218298853	NM_006085	BPNT1	0.131	0.139	-0.009	-0.037	0.060	-0.096	0.065	
10000546916	1	238138905	238138965	NM_000740	CHRM3	0.184	0.113	0.071	-0.047	0.053	-0.100	0.020	
10000546944	1	59020343	59020403	NM_002228	JUN	0.463	0.084	0.379	0.023	0.006	0.017	-0.036	
10000546945	1	181380769	181380829	NM_002293	LAMC1	0.063	0.014	0.048	0.296	0.405	-0.108	-0.076	
10000546948	1	43592418	43592478	NM_005373	MPL	0.097	0.024	0.073	0.253	0.042	0.212	-0.052	
10000546956	1	151800559	151800619	NM_005978	S100A2	0.343	0.110	0.233	0.049	0.022	0.027	0.107	
10000546958	1	199594996	199595416	NM_000364	TNNT2	0.122	-0.157	0.279	0.011	-0.002	0.013	0.002	
10000546974	1	144407310	144407370	NM_007053	CD160	0.245	0.007	0.237	0.361	0.119	0.242	0.204	
10000547030	1	158108783	158108843	NM_012337	NESG1	-0.005	-0.079	0.074	0.277	0.045	0.232	0.149	
10000547033	1	17563005	17563065	NM_012387	PADI4	0.084	-0.142	0.226	0.289	0.366	-0.077	0.266	
10000547037	1	100261313	100261373	NM_012243	SLC35A3	0.245	0.056	0.189	0.021	0.100	-0.079	0.009	
10000547106	1	203851870	203851930	NM_001973	ELK4	0.169	0.018	0.150	0.062	0.169	-0.107	0.076	
10000547109	1	167751413	167751473	NM_000130	F5	0.210	0.095	0.115	0.455	0.314	0.142	0.087	
10000547124	1	89091404	89091464	NM_001514	GTF2B	0.087	0.235	-0.147	-0.032	0.077	-0.108	-0.013	
10000547160	1	11840151	11840211	NM_002521	NPPB	-0.088	-0.034	-0.054	0.083	0.007	0.076	-0.025	
10000547163	1	111758468	111758528	NM_002557	OVGP1	0.209	0.254	-0.046	0.305	0.270	0.034	0.228	
10000547166	1	163082662	163082722	NM_002585	PBX1	0.324	-0.004	0.328	0.083	-0.094	0.177	-0.043	
10000547183	1	201719868	201722476	NM_002725	PRELP	0.086	0.102	-0.016	-0.026	0.119	-0.146	0.071	
10000547184	1	84474824	84474884	NM_002731	PRKACB	0.335	-0.034	0.369	0.155	-0.045	0.199	-0.047	
10000547193	1	78776706	78776766	NM_000959	PTGFR	0.294	0.185	0.109	0.458	0.215	0.243	-0.062	
10000547198	1	178433563	178433623	NM_002826	QSOX1	0.160	-0.097	0.257	0.277	0.079	0.197	0.061	
10000547200	1	46516604	46516664	NM_003579	RAD54L	0.047	0.172	-0.125	0.157	-0.074	0.231	-0.011	
10000547226	1	2229232	2229292	NM_003036	SKI	0.082	-0.083	0.165	0.044	-0.026	0.070	-0.071	
10000547236	1	156847260	156847320	NM_003126	SPTA1	0.480	0.321	0.159	-0.023	0.086	-0.109	0.080	
10000547248	1	91921106	91921166	NM_003243	TGFBR3	0.265	0.070	0.195	0.245	-0.091	0.336	0.040	
10000547253	1	1136589	1136649	NM_003327	TNFRSF4	0.081	-0.098	0.179	0.132	0.147	-0.015	-0.009	
10000547259	1	117446544	117446604	NM_003594	TTF2	0.449	0.177	0.272	0.344	0.239	0.105	0.169	
10000547287	1	169871224	169871284	NM_000261	MYOC	0.373	0.149	0.224	0.066	0.107	-0.041	0.043	
10000547300	1	93800070	93800130	NM_003567	BCAR3	0.413	0.205	0.209	0.188	0.090	0.098	-0.061	
10000547307	1	94127073	94127133	NM_002061	GCLM	0.344	0.001	0.343	0.160	0.050	0.110	0.110	
10000547323	1	84792820	84792880	NM_004388	SPATA1	0.304	-0.325	0.629	0.047	0.174	-0.126	-0.011	
10000547328	1	23708944	23709004	NM_004091	E2F2	0.257	-0.009	0.266	0.204	0.060	0.144	0.140	
10000547331	1	200365125	200365185	NM_004767	GPR37L1	0.272	0.078	0.194	0.298	-0.214	0.512	-0.119	
10000547342	1	28085674	28085734	NM_004848	ICB1	0.239	0.093	0.146					
10000547352	1	94410954	94411015	NM_004815	ARHGAP29	0.364	0.297	0.067	0.136	0.133	0.003	-0.049	
