gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
NEK7	0.028425915	0.01709775	0.5750106	0.3382317	0.0087757805	11	0.00143109365	0.0009105885575	0.03017607775	0	0.000827435435	0	0.34012014	0.05958328425	0.98725233	0.95736576	0.1333805975	170
G0S2	0.059709145	0.04249453	0.90959465	0.866199	0.001442157	2	0.01191342875	0.01933335	0.4241669075	0.4774585	0.0006507352775	1	0.4107196	0.075096192	0.9980203	0.99433782	0.009213935625	13
PYHIN1	0.1481946	0.1090833	0.922651	0.8957018	0.0034795565	6	0.04922720825	0.06813918025	0.5854996475	0.622995855	0.001080097	3	0.413643345	0.1591725625	0.9970812	0.9954434175	0.01085076	16
ECE1	0.1749298	0.1408649	0.93633815	0.9114602	0.002376192	4	0.0521314195	0.09644590025	0.6268507325	0.7270287425	0.0007277479175	2	0.5173862725	0.1924382475	0.9973281	0.99593108	0.006906615	9
CELSR2	0.143012	0.1820924	0.86309335	0.8970069	0.002627589	3	0.0425250795	0.1314648125	0.428027325	0.6632218025	0.001010043	1	0.479259115	0.2395378125	0.9930097175	0.9947894225	0.0137765375	14
MRPS21	0.12630085	0.12501195	0.7709369	0.782876	0.006544756	3	0.039396423	0.076070683	0.07469830725	0	0.002100648775	0	0.4846029525	0.213402785	0.9919817	0.9933855425	0.1145408525	60
JMJD4	0.061207005	0.039794915	0.8882025	0.8416992	0.0019768165	2	0.01201822	0.01497037475	0.2325135625	0.0483023515	0.000795969425	1	0.364145005	0.08314429075	0.9969738	0.9930490525	0.01020161725	13
ZNHIT6	0.1393998	0.1432453	0.9069128	0.91264915	0.0022028485	4	0.04093243575	0.09648014375	0.4745525725	0.59640872	0.000659197895	2	0.4554099	0.2030886125	0.9964643225	0.9960257	0.009987319	17
MPZL1	0.6074974	0.2489294	0.9685347	0.8480153	0.001406616	4	0.3208874	0.1943226	0.869318	0.7100558	0.0006712583	3	0.8507128	0.3062517	0.996090375	0.9667272	0.003635349	6
GABRD	0.2743819	0.1965371	0.9712235	0.9571536	0.004069287	4	0.09322843	0.1506928	0.8101898	0.8484933275	0.001451189	3	0.6180298	0.2452916	0.9988619	0.9979051	0.01182961075	8
NBPF9	0.1295408	0.040457675	0.7551182	0.68096225	0.0260644	3	0.02006675975	0.0118575605	0.1144054125	0.0457729225	0.009494000525	1	0.51626804	0.184049	0.99576418	0.983126175	0.63916495	72
NBPF3	0.4762769	0.77005615	0.9766454	0.9935609	0.001446473	2	0.2122961	0.7465448	0.86972459	0.9821867	0.00072354668	2	0.8048582	0.7912688825	0.9982346175	0.9994944	0.004341797525	4
KCNC4	0.07299249	0.057045245	0.8374134	0.7993885	0.003505899	5	0.01677217025	0.02331439725	0.2601815	0.266392135	0.000794896945	1	0.3054939325	0.1075247	0.9940090125	0.9911526925	0.037595785	55
PLA2G4A	0.07170595	0.066842395	0.8475526	0.8414306	0.002238988	3	0.017800635	0.036960687	0.32071092	0.40627594	0.0007349225	1	0.3982791	0.10994549	0.9951532275	0.99249024	0.01295990775	18
GNG5	0.09782294	0.069023355	0.86621165	0.81076005	0.001597456	3	0.0222398705	0.033680184	0.3547845	0.427797	0.0006410752625	1	0.490587117500001	0.123401815	0.995591035	0.990655575	0.014759406	23
SMYD2	0.14157065	0.098917575	0.93768195	0.91070655	0.003608231	6	0.042878908	0.057883336	0.60286259	0.650466115	0.0009394354	2	0.4136015025	0.1509198	0.9980997975	0.9964064075	0.014214	22
SMYD3	0.1648771	0.131316	0.77429735	0.6969559	0.0020894825	5	0.05842953025	0.07675712875	0.3068561925	0.386844045	0.0004987328	1	0.439007755	0.1991976425	0.9861670675	0.981875405	0.02990016	67
FAM78B	0.04968904	0.040723595	0.5487916	0.4339048	0.01187293	23	0.00878944175	0.007980646925	0.029373584	0	0.0006603714725	0	0.2501923525	0.0927018760000001	0.975364815	0.964712245	0.1282872775	248
CLK2	0.01706413	0.01004407	0.64220925	0.3580092	0.0057139295	5	0.0007176788	0.000442753445	0.03733109625	0	0.00121285905	0	0.2897633825	0.04019143	0.991573115	0.9648564	0.0839867585000001	73
MTOR	0.0709285	0.06939675	0.8491435	0.85810765	0.0029789065	3	0.02086685	0.03738657375	0.08236851725	0.06559492125	0.00092049854	1	0.3797554	0.117470195	0.99725273	0.9953406325	0.256550365	293
RORC	0.008225013	0.003290814	0.6961076	0.2534258	0.002573032	2	0.0001923136025	9.995133375e-05	0.040661	0	0.00096290138	0	0.30252173	0.0222784565	0.9970067	0.9640559725	0.027420011	30
MST1P9	0.32439485	0.29119205	0.9504776	0.9506969	0.009177672	10	0.1360124	0.23238853	0.6729571125	0.7923625	0.002177982	5	0.583121455	0.3677832875	0.9981747125	0.9977283075	0.02583487	26
KPNA6	0.16394035	0.05955365	0.9723696	0.9177642	0.002208963	1	0.03656063275	0.0309534905	0.742494525	0.66852131	0.001364522	1	0.6266872	0.09608657	0.9991595	0.9965118	0.0071533087	4
GOLT1A	0.02669992	0.01868748	0.82660115	0.7143799	0.001814986	2	0.001529676	0.0008616161	0.093650872	0	0.0006739459675	0	0.3237446	0.04824562975	0.9961556	0.9891781575	0.032474	51
B4GALT3	0.03786919	0.029074085	0.61975525	0.43677525	0.004734537	6	0.006932625375	0.006238018075	0.035377742	0	0.000852274375	0	0.3134879	0.0655107745	0.985757365	0.974383465	0.065491138	84
B4GALT2	0.0204445	0.01050845	0.75656225	0.45837025	0.002926744	3	0.001101644	0.000607887735	0.0505087075	0	0.0009312842425	0	0.324321155	0.0358885015	0.9951743825	0.975695205	0.02764625575	31
ZMYND12	0.252228	0.2023785	0.9240553	0.90411685	0.001306102	1	0.07746234	0.1468023	0.626727	0.7693517475	0.0007645426	1	0.7093268	0.2735423	0.9943772	0.9850015	0.00394054185	4
PBXIP1	0.06028838	0.05097399	0.8782132	0.8632361	0.003248878	2	0.01341817775	0.02416865	0.262266465	0.1158526125	0.001251682	1	0.405849	0.0949439435000001	0.9970482775	0.9941436675	0.02866223825	24
AJAP1	0.1942619	0.13016765	0.66903325	0.4146116	0.001147151	3	0.0791777255	0.0806509055	0.2005821	0.108946665	0.0004439885	1	0.561844515	0.1902201225	0.9552941075	0.890344895	0.007945359575	18
HIST2H2BF	0.5003221	0.1609569	0.9908346	0.97066	0.01010953	4	0.2332836	0.11474099	0.876917395	0.8275549	0.00427621	2	0.8097014375	0.2175942875	0.9996065	0.9986801	0.02612397	9
HIST2H2BE	0.058769005	0.02550246	0.8591205	0.7847156	0.008974333	3	0.0020872267	0.00120812735	0.095848019	0.020570318	0.00274499905	1	0.3646823	0.07663716425	0.99756788	0.992103	0.489903935	188
SLC44A3	0.1401811	0.13124775	0.9336726	0.92907305	0.001308615	1	0.03340075625	0.08869395625	0.5650306	0.7464066	0.000703392635	1	0.5844105	0.1880643	0.9982409	0.9970546	0.003892698175	5
SLC44A5	0.40821935	0.5039758	0.9619028	0.9749802	0.002059984	4	0.1747655	0.4523772	0.80792772	0.93345938	0.0007884848	3	0.7195868725	0.5543688	0.9973164	0.997509235	0.00460319505	8
RNF2	0.012794715	0.008026467	0.6701732	0.4040871	0.0045987915	4	0.0006631488	0.0003799842175	0.03659643	0	0.0010541319	0	0.27990539	0.0296631905	0.993844155	0.9755888275	0.02967207275	30
HIPK1	0.03669274	0.022764915	0.63955695	0.3894533	0.0038045005	4	0.0032786901	0.002308320175	0.034585339	0	0.0009045133275	0	0.345260905	0.0596900715	0.98788721	0.9625749	0.04689438475	55
LGR6	0.2493942	0.19771735	0.951179	0.9338123	0.002715766	4	0.08515489425	0.1487725375	0.681645605	0.77803423	0.0007262245	2	0.6004294	0.2548384	0.9983927	0.9971783925	0.007605152	10
FOXJ3	0.01237006	0.0080575335	0.576661	0.39709005	0.0093684875	13	0.000407397785	0.0002763966375	0.03216118	0	0.0007495624175	0	0.186299415	0.03932222875	0.98999634	0.966722755	0.075410974	111
S100A9	0.1667091	0.13942905	0.94673635	0.943103	0.001856615	3	0.04714630725	0.09737256	0.6469603625	0.793159055	0.000792840955	2	0.502377792500001	0.18804649	0.9982023	0.9972390175	0.009989661	11
S100A8	0.08934218	0.06870284	0.8422133	0.7993961	0.002567347	4	0.0252039185	0.0375610425	0.3565248	0.4380596	0.0008367396225	1	0.368283517500001	0.1129767925	0.99273888	0.988829275	0.01332013975	17
S100A5	0.014395935	0.01069233	0.5920767	0.424173	0.02983582	37	0.0008730934725	0.0006434573025	0.0302074835	0	0.000828628235	0	0.2284527075	0.037076991	0.9894949	0.9738182325	0.1893896425	244
S100A1	0.2395462	0.28913165	0.9785781	0.9847592	0.001294928	1	0.06366198075	0.2373659	0.7897895	0.9324641875	0.0008062492475	1	0.6843059	0.3473153	0.9994001	0.9993003	0.003621839975	3
S100A3	0.0064492205	0.005738236	0.51066515	0.5113195	0.1885196	243	0.0002645215	0.0002394723	0.02839484975	0.0278808625	0.0877618	116	0.0320551625	0.0258976585	0.9783593675	0.97700224	0.240719	298
S100A2	0.005867063	0.004543419	0.5357931	0.44234355	0.02402505	31	0.0001963596	0.0001613195	0.02707812	0	0.0010233888	0	0.067001601	0.0229915185	0.9867376	0.9736033	0.0783808997500001	98
LRRIQ3	0.20097475	0.24201575	0.95670775	0.9691743	0.001096369	1	0.05471266425	0.1876646025	0.6913417	0.88967527	0.0006498117	1	0.6585466	0.30481197	0.9984634	0.9983568	0.002644905475	4
URB2	0.05466365	0.04835562	0.72704915	0.65888	0.0063646915	8	0.01530964925	0.018903914	0.08753993625	0	0.0008353332025	0	0.2694197	0.0903619075	0.9874933825	0.984168545	0.0708120057500001	91
ZNF691	0.071944815	0.048546555	0.86152715	0.81243065	0.004485478	5	0.017711546	0.019719127	0.29261576	0.26834135	0.0008882458	1	0.3133887525	0.094579105	0.995658405	0.99246561	0.0253152635	32
ZNF692	0.02657547	0.01068301	0.6416192	0.46065295	0.014540305	5	0.000698491515	0.000336341	0.0398194845	0	0.00282736765	0	0.323118615000001	0.0580405095	0.992739545	0.97554331	0.25704038	94
ZNF697	0.154041	0.1266612	0.8669949	0.85772105	0.0047273965	5	0.048292754	0.07992613	0.37962186	0.3782663875	0.001079557	1	0.458004955	0.1889909	0.9940620775	0.9927061775	0.019884678	19
SHE	0.17430455	0.14251385	0.9358293	0.9232258	0.002205346	2	0.04563674	0.09630267	0.5811982125	0.747626	0.001094822	1	0.6050979	0.2076445925	0.99793776	0.9966255	0.007435585	6
NUDT17	0.1608276	0.1366163	0.9578143	0.9625272	0.01082811	2	0.037646985	0.08282996825	0.578311905	0.754272405	0.005173416	1	0.6196741	0.23243881	0.9990797	0.998421605	0.03953374075	7
IFI6	0.013946625	0.0089961735	0.56234165	0.3870162	0.02667586	13	0.0006026776825	0.00039175764	0.02933188125	0	0.002084487425	0	0.215247145	0.03803234	0.9877819	0.9655867925	0.2159129175	115
STX6	0.1650682	0.13227875	0.9450493	0.9311222	0.0020539985	3	0.0462239	0.090559844	0.647899405	0.7700770175	0.0007292742	2	0.51159962	0.1841972375	0.9983386	0.9971236325	0.00665146882500001	8
KIF2C	0.006913964	0.0037910965	0.6414361	0.34637055	0.00804967	7	0.0002180751725	0.00012709879	0.03660920625	0	0.0010764017	0	0.2757345125	0.02026756025	0.9954821075	0.96576248	0.094650688	97
ENSA	0.04404861	0.03181633	0.6598609	0.5880385	0.085104645	55	0.008883480225	0.0087925443	0.03746594	0.001795039125	0.001730325	1	0.2876410225	0.07955432525	0.9901471825	0.98163972	0.4556746175	293
CCDC30	0.08754071	0.08135248	0.8469913	0.8145168	0.0018362195	3	0.02276739875	0.04700188	0.3074891	0.26336197	0.000749456	1	0.4269598	0.1306720275	0.9927254375	0.9914633	0.0135425595	19
NECAP2	0.3661492	0.28844465	0.91550635	0.9021743	0.002418973	3	0.1442003575	0.232934585	0.6573858	0.7924303225	0.0009918637175	2	0.7136837	0.3516699425	0.9903014	0.980026955	0.00704768317500001	6
PLK3	0.0078586335	0.0045684535	0.6148586	0.3434915	0.0090239695	8	0.000290944095	0.0001782835625	0.03297447725	0	0.001094471	0	0.2428661725	0.02288754	0.994445805	0.967662415	0.2452421875	236
ATP8B2	0.090758845	0.087958055	0.94564985	0.9469278	0.002362701	2	0.0191145	0.05321385	0.566603625	0.7459369275	0.0009910703	1	0.427814572500001	0.1349491	0.9983583775	0.9978904425	0.006950928825	7
DNAJC6	0.01335611	0.0075887285	0.61116275	0.28924285	0.002848188	4	0.0004957346575	0.000281573235	0.03227208	0	0.000646916135	0	0.2969266275	0.03306336225	0.9926856175	0.9546032	0.0745444445	126
SPAG17	0.21061765	0.2697189	0.97208555	0.98185785	0.00167812	2	0.0617045565	0.2177191075	0.7400714175	0.8958272425	0.0006799423	1	0.5878282	0.3256639825	0.9992106	0.999285035	0.00560543552500001	6
GUK1	0.01987404	0.01040619	0.64104995	0.31771415	0.0032582185	4	0.0007466243625	0.0004221191475	0.03508997	0	0.0008056547	0	0.346119720000001	0.04192168625	0.9930745525	0.9604795775	0.06289831	81
NCSTN	0.20873125	0.34181485	0.9339958	0.9657581	0.0018513305	3	0.06192068	0.2802065025	0.6409868	0.88769722	0.0007678102	1	0.5915237	0.4102567	0.9962983	0.997827955	0.007748601	8
SLC22A15	0.26795195	0.37885905	0.977272	0.9868235	0.0027906295	3	0.08342240375	0.3260684275	0.8018161525	0.9359238825	0.001033906	2	0.6844572	0.4337623375	0.9993134	0.9994287	0.006667138	8
ATPAF1	0.06727153	0.05063774	0.6929971	0.66158055	0.00837681	9	0.017554	0.02087482525	0.05359434075	0	0.00100111175	0	0.3022174525	0.1039199175	0.9888463675	0.9857202075	0.2177473875	251
SHC1	0.41608485	0.1405498	0.96326365	0.8736798	0.0022971565	2	0.1713117	0.09964334	0.759302515	0.636497665	0.001230654	2	0.7762408	0.1907156	0.9987008525	0.9922074	0.00579780545	5
SMPDL3B	0.2281156	0.2340817	0.9568278	0.9654058	0.004173537	2	0.06861279875	0.1753266	0.6353304475	0.79888422	0.001800315	1	0.6738904	0.29581236	0.9987627	0.998587845	0.0127802	7
VPS45	0.038539325	0.018598115	0.5821534	0.37951625	0.01241604	6	0.003193472675	0.001957967925	0.0303473725	0	0.002225464775	0	0.35483261	0.07454106925	0.9853409575	0.9625618225	0.1407776875	68
GMEB1	0.007126521	0.004112162	0.6168438	0.3677068	0.009552756	7	0.0002374646	0.0001416843075	0.03476821	0	0.001349489	0	0.2333604075	0.023719908	0.9941128425	0.9676375	0.1545298	122
PPP1R15B	0.01051714	0.009160743	0.50064445	0.446392	0.066801615	104	0.0004532626	0.0004016816075	0.02471901	0.001797038575	0.0011976208	1	0.064229873	0.038922641	0.9794986875	0.9718671825	0.163731005	254
FAM69A	0.17712865	0.1089444	0.94981155	0.9272312	0.002957283	3	0.04571931	0.06516224	0.6032485725	0.528203985	0.0009735042	1	0.549635	0.1854058	0.9986107	0.9969494	0.01101178325	11
NDUFS5	0.26495845	0.3006864	0.9677561	0.972913	0.001998718	2	0.081816556	0.2508397	0.7714116	0.9016276	0.0009853403	2	0.7077491	0.3528552	0.9988273	0.9986146	0.006425129	6
ZRANB2	0.02575977	0.018997915	0.6049025	0.4665754	0.019543015	24	0.00224931325	0.00191202195	0.0308115645	0	0.0008604903475	0	0.240056915	0.052470738	0.9877372	0.97195715	0.21882506	279
SNRPE	0.074872985	0.04923338	0.8284039	0.7074738	0.002020667	3	0.01871826475	0.02022736625	0.205601915	0.07955224	0.00071934602	1	0.427625	0.09378945425	0.9931443	0.9831088525	0.036176125	52
ZDHHC18	0.2613044	0.2582438	0.9450622	0.9521315	0.0023203105	2	0.08114036	0.2034525	0.6745517	0.8244864	0.001326555975	1	0.672740925	0.3170608375	0.9970997	0.996548235	0.008653101175	5
SPSB1	0.21280105	0.19924585	0.84753865	0.8534796	0.002697384	2	0.07285503	0.1471840825	0.4532956125	0.6947446725	0.001148102975	1	0.653924325	0.2579796825	0.9877326775	0.9760417075	0.010995374	9
ATP13A2	0.1565706	0.1558759	0.7688475	0.79415275	0.003754117	4	0.05342849275	0.1048021525	0.2921585275	0.4335863925	0.0009762868	1	0.4749276	0.2235266825	0.9864117	0.9889223425	0.01652039875	19
