AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
ZNF777 ENSG00000196453.7 0.112684 0.071484 ENSG00000196453
TTC26 ENSG00000105948.9 0.159619 0.082228 ENSG00000105948
ITGA5 ENSG00000161638.6 0.104016 0.072612 ENSG00000161638
MAP3K9 ENSG00000006432.11 0.101082 0.066638 ENSG00000006432
KRI1 ENSG00000129347.15 0.14408 0.076953 ENSG00000129347
ZDHHC13 ENSG00000177054.9 0.135497 0.082496 ENSG00000177054
ATP2C2 ENSG00000064270.8 0.102359 0.093785 ENSG00000064270
LHFP ENSG00000183722.7 0.182154 0.076152 ENSG00000183722
OLFM4 ENSG00000102837.6 0.162025 0.075219 ENSG00000102837
PPP2CA ENSG00000113575.5 0.138972 0.073411 ENSG00000113575
IGSF11 ENSG00000144847.8 0.367978 0.084245 ENSG00000144847
MS4A14 ENSG00000166928.6 0.101336 0.060265 ENSG00000166928
RFC3 ENSG00000133119.8 0.136625 0.077796 ENSG00000133119
CFHR3 ENSG00000116785.9 0.112331 0.062524 ENSG00000116785
MMP15 ENSG00000102996.4 0.182871 0.08419 ENSG00000102996
LRMP ENSG00000118308.10 0.100178 0.070945 ENSG00000118308
KCNH2 ENSG00000055118.10 0.247844 0.09445 ENSG00000055118
ARHGAP40 ENSG00000124143.6 0.150451 0.083793 ENSG00000124143
C10orf129 ENSG00000173124.10 0.119 0.063927 ENSG00000173124
ENPP4 ENSG00000001561.6 0.151658 0.062657 ENSG00000001561
C16orf95 ENSG00000260456.2 0.252343 0.100387 ENSG00000260456
AASDH ENSG00000157426.9 0.162988 0.070179 ENSG00000157426
CCDC155 ENSG00000161609.5 0.426066 0.078541 ENSG00000161609
PPARA ENSG00000186951.12 0.132783 0.080185 ENSG00000186951
ERAP2 ENSG00000164308.12 0.39762 0.077268 ENSG00000164308
KIAA1467 ENSG00000084444.9 0.116983 0.084485 ENSG00000084444
GIT1 ENSG00000108262.11 0.124015 0.081541 ENSG00000108262
SPAG1 ENSG00000104450.8 0.109155 0.066041 ENSG00000104450
HMGN1 ENSG00000205581.6 0.103842 0.076589 ENSG00000205581
ANXA2 ENSG00000182718.12 0.121431 0.069778 ENSG00000182718
THSD7B ENSG00000144229.7 0.12001 0.075882 ENSG00000144229
RDX ENSG00000137710.10 0.181925 0.077971 ENSG00000137710
COPB2 ENSG00000184432.5 0.153496 0.075502 ENSG00000184432
LRRFIP2 ENSG00000093167.13 0.113298 0.067309 ENSG00000093167
DEPTOR ENSG00000155792.5 0.115926 0.061166 ENSG00000155792
ZNF300 ENSG00000145908.8 0.119296 0.077113 ENSG00000145908
OLFM2 ENSG00000105088.4 0.207508 0.081947 ENSG00000105088
SLC35G1 ENSG00000176273.10 0.183881 0.07524 ENSG00000176273
NDUFAF1 ENSG00000137806.4 0.276063 0.081796 ENSG00000137806
SULT1A2 ENSG00000197165.6 0.199292 0.071369 ENSG00000197165
ACSM2B ENSG00000066813.10 0.124417 0.081327 ENSG00000066813
INTS6 ENSG00000102786.10 0.164073 0.080907 ENSG00000102786
POGLUT1 ENSG00000163389.6 0.133513 0.065832 ENSG00000163389
SFTPD ENSG00000133661.11 0.135506 0.070604 ENSG00000133661
GAS2L3 ENSG00000139354.6 0.140752 0.069004 ENSG00000139354
KCNAB2 ENSG00000069424.10 0.136767 0.088848 ENSG00000069424
LMX1A ENSG00000162761.10 0.172861 0.090423 ENSG00000162761
NUCB2 ENSG00000070081.11 0.106842 0.067105 ENSG00000070081
HDGFRP2 ENSG00000167674.10 0.129009 0.083446 ENSG00000167674
ADAT2 ENSG00000189007.11 0.130161 0.072538 ENSG00000189007
CDH24 ENSG00000139880.15 0.104979 0.06641 ENSG00000139880
SLX4 ENSG00000188827.6 0.102352 0.066546 ENSG00000188827
CCDC37 ENSG00000163885.7 0.104491 0.071623 ENSG00000163885
RAP2A ENSG00000125249.6 0.132606 0.074689 ENSG00000125249
SLC5A9 ENSG00000117834.8 0.278746 0.08298 ENSG00000117834
SRCRB4D ENSG00000146700.8 0.152536 0.066556 ENSG00000146700
LRRC18 ENSG00000165383.6 0.112524 0.063288 ENSG00000165383
ARL8A ENSG00000143862.3 0.138056 0.077302 ENSG00000143862
PDE4A ENSG00000065989.11 0.117539 0.064803 ENSG00000065989
NCR3LG1 ENSG00000188211.4 0.103791 0.0762 ENSG00000188211
ACTR3 ENSG00000115091.7 0.129337 0.067455 ENSG00000115091
ABCB5 ENSG00000004846.12 0.112728 0.072229 ENSG00000004846
OTUD5 ENSG00000068308.9 0.114613 0.068434 ENSG00000068308
FBN3 ENSG00000142449.8 0.394439 0.092532 ENSG00000142449
ADAM10 ENSG00000137845.10 0.150364 0.087225 ENSG00000137845
NELL1 ENSG00000165973.13 0.142508 0.087165 ENSG00000165973
CHCHD2 ENSG00000106153.12 0.150985 0.07526 ENSG00000106153
LRRC56 ENSG00000161328.10 0.129826 0.076314 ENSG00000161328
CSTA ENSG00000121552.3 0.114041 0.064163 ENSG00000121552
PARVB ENSG00000188677.9 0.213524 0.093706 ENSG00000188677
LRRC19 ENSG00000184434.7 0.123348 0.078623 ENSG00000184434
CBLL1 ENSG00000105879.6 0.100673 0.065452 ENSG00000105879
MRPS9 ENSG00000135972.4 0.152607 0.074377 ENSG00000135972
XYLT2 ENSG00000015532.5 0.167821 0.079499 ENSG00000015532
PRAM1 ENSG00000133246.7 0.121293 0.064679 ENSG00000133246
ENTPD6 ENSG00000197586.8 0.146093 0.070717 ENSG00000197586
CD97 ENSG00000123146.15 0.111472 0.06944 ENSG00000123146
RAB13 ENSG00000143545.4 0.109604 0.065699 ENSG00000143545
BHLHA15 ENSG00000180535.2 0.111061 0.063149 ENSG00000180535
ENPEP ENSG00000138792.5 0.573183 0.068123 ENSG00000138792
RHAG ENSG00000112077.11 0.143685 0.070101 ENSG00000112077
SLITRK5 ENSG00000165300.6 0.200822 0.078424 ENSG00000165300
RASSF2 ENSG00000101265.11 0.128859 0.085733 ENSG00000101265
ZNF160 ENSG00000170949.13 0.101531 0.089425 ENSG00000170949
ZNF235 ENSG00000159917.10 0.108452 0.065443 ENSG00000159917
SYNRG ENSG00000006114.11 0.200762 0.076306 ENSG00000006114
CSTF2T ENSG00000177613.7 0.184688 0.082266 ENSG00000177613
PCBD1 ENSG00000166228.4 0.13314 0.084379 ENSG00000166228
EMILIN3 ENSG00000183798.4 0.145968 0.085348 ENSG00000183798
MYO6 ENSG00000196586.9 0.118053 0.067187 ENSG00000196586
KANSL2 ENSG00000139620.8 0.275129 0.077362 ENSG00000139620
AKAP8 ENSG00000105127.3 0.14391 0.074418 ENSG00000105127
COPG2 ENSG00000158623.10 0.103862 0.068639 ENSG00000158623
THBS4 ENSG00000113296.10 0.122512 0.061737 ENSG00000113296
PGS1 ENSG00000087157.14 0.102971 0.072794 ENSG00000087157
SLC25A24 ENSG00000085491.11 0.148647 0.075366 ENSG00000085491
NSUN6 ENSG00000241058.1 0.148264 0.07099 ENSG00000241058
IL1RL1 ENSG00000115602.12 0.103788 0.056843 ENSG00000115602
PIH1D1 ENSG00000104872.6 0.136072 0.081463 ENSG00000104872
CCDC125 ENSG00000183323.8 0.108523 0.072419 ENSG00000183323
ROM1 ENSG00000149489.4 0.115953 0.063104 ENSG00000149489
HSD17B13 ENSG00000170509.7 0.164864 0.072962 ENSG00000170509
KANSL3 ENSG00000114982.13 0.183651 0.088551 ENSG00000114982
DBNDD1 ENSG00000003249.9 0.100981 0.059295 ENSG00000003249
RNF149 ENSG00000163162.4 0.115016 0.069088 ENSG00000163162
RPS9 ENSG00000170889.9 0.130792 0.0923 ENSG00000170889
HOXA10 ENSG00000253293.3 0.224451 0.090227 ENSG00000253293
THEM6 ENSG00000130193.7 0.105981 0.060914 ENSG00000130193
PLXNA4 ENSG00000221866.5 0.106789 0.06378 ENSG00000221866
SPTLC3 ENSG00000172296.8 0.223902 0.08075 ENSG00000172296
NARF ENSG00000141562.12 0.102992 0.077314 ENSG00000141562
APOBEC3A ENSG00000128383.8 0.103983 0.063951 ENSG00000128383
POU3F2 ENSG00000184486.7 0.125932 0.067982 ENSG00000184486
L3MBTL3 ENSG00000198945.3 0.300921 0.087582 ENSG00000198945
ILKAP ENSG00000132323.4 0.107296 0.070493 ENSG00000132323
WDR38 ENSG00000136918.3 0.211526 0.092029 ENSG00000136918
TASP1 ENSG00000089123.11 0.212913 0.0783 ENSG00000089123
DCUN1D2 ENSG00000150401.10 0.134039 0.077216 ENSG00000150401
ECHDC1 ENSG00000093144.14 0.123213 0.068867 ENSG00000093144
GALNT3 ENSG00000115339.9 0.1415 0.070331 ENSG00000115339
AHCY ENSG00000101444.8 0.119455 0.084727 ENSG00000101444
SDR42E1 ENSG00000184860.5 0.141863 0.088611 ENSG00000184860
SLC27A2 ENSG00000140284.6 0.190334 0.079447 ENSG00000140284
REPS1 ENSG00000135597.14 0.151782 0.079462 ENSG00000135597
ANKRD16 ENSG00000134461.11 0.103902 0.076337 ENSG00000134461
HIST2H2BF ENSG00000203814.5 0.110842 0.075787 ENSG00000203814
GPR12 ENSG00000132975.6 0.165434 0.082437 ENSG00000132975
GTF2F1 ENSG00000125651.9 0.136126 0.080407 ENSG00000125651
DNAJC27 ENSG00000115137.7 0.104118 0.068988 ENSG00000115137
STMN4 ENSG00000015592.12 0.101671 0.082996 ENSG00000015592
TNFRSF18 ENSG00000186891.9 0.112979 0.062929 ENSG00000186891
EPN3 ENSG00000049283.13 0.137095 0.066536 ENSG00000049283
C22orf26 ENSG00000182257.5 0.109396 0.087058 ENSG00000182257
FSIP2 ENSG00000188738.9 0.101202 0.057871 ENSG00000188738
VPS9D1 ENSG00000075399.8 0.105759 0.068772 ENSG00000075399
ANAPC4 ENSG00000053900.6 0.229245 0.096327 ENSG00000053900
CACNB1 ENSG00000067191.11 0.174731 0.082263 ENSG00000067191
TYRO3 ENSG00000092445.7 0.214185 0.079907 ENSG00000092445
MRO ENSG00000134042.8 0.178446 0.089157 ENSG00000134042
SOX12 ENSG00000177732.6 0.107042 0.082904 ENSG00000177732
IYD ENSG00000009765.10 0.155032 0.089415 ENSG00000009765
OR4N4 ENSG00000183706.4 0.122672 0.069044 ENSG00000183706
TEPP ENSG00000159648.7 0.112332 0.064759 ENSG00000159648
TMEM87B ENSG00000153214.5 0.102087 0.065345 ENSG00000153214
CAPN8 ENSG00000203697.7 0.103908 0.062196 ENSG00000203697
DDX59 ENSG00000118197.9 0.124644 0.074427 ENSG00000118197
SUCO ENSG00000094975.8 0.110985 0.056877 ENSG00000094975
KIT ENSG00000157404.11 0.112407 0.06962 ENSG00000157404
SBK2 ENSG00000187550.4 0.117624 0.087157 ENSG00000187550
OR7A5 ENSG00000188269.4 0.118638 0.074085 ENSG00000188269
S100P ENSG00000163993.6 0.107409 0.071466 ENSG00000163993
TMEM87A ENSG00000103978.11 0.108021 0.065394 ENSG00000103978
HRH2 ENSG00000113749.5 0.111353 0.077685 ENSG00000113749
RD3 ENSG00000198570.5 0.128635 0.067646 ENSG00000198570
SMAD7 ENSG00000101665.4 0.170917 0.070392 ENSG00000101665
SYPL2 ENSG00000143028.7 0.2042 0.077077 ENSG00000143028
RAD51D ENSG00000185379.16 0.102574 0.068193 ENSG00000185379
COLQ ENSG00000206561.8 0.1815 0.079606 ENSG00000206561
GPR17 ENSG00000144230.12 0.264975 0.081588 ENSG00000144230
CUZD1 ENSG00000138161.8 0.108753 0.062864 ENSG00000138161
TBC1D20 ENSG00000125875.9 0.139794 0.071944 ENSG00000125875
BCL2 ENSG00000171791.10 0.124464 0.085014 ENSG00000171791
TMED6 ENSG00000157315.4 0.108082 0.059185 ENSG00000157315
HMGB2 ENSG00000164104.7 0.119025 0.066776 ENSG00000164104
DLX5 ENSG00000105880.4 0.106857 0.063835 ENSG00000105880
C18orf54 ENSG00000166845.9 0.112294 0.070186 ENSG00000166845
DOCK7 ENSG00000116641.11 0.121461 0.074291 ENSG00000116641
ANO5 ENSG00000171714.10 0.180261 0.069902 ENSG00000171714
KCND3 ENSG00000171385.5 0.109684 0.075978 ENSG00000171385
KRTAP19-5 ENSG00000186977.2 0.107167 0.064645 ENSG00000186977
FAM171A2 ENSG00000161682.10 0.112349 0.062898 ENSG00000161682
UGT2B4 ENSG00000156096.8 0.285926 0.070194 ENSG00000156096
USH1C ENSG00000006611.11 0.2814 0.08592 ENSG00000006611
NKPD1 ENSG00000179846.7 0.107141 0.08547 ENSG00000179846
MRAP2 ENSG00000135324.5 0.104942 0.064518 ENSG00000135324
AADAT ENSG00000109576.9 0.143143 0.079735 ENSG00000109576
COLEC10 ENSG00000184374.2 0.103321 0.066061 ENSG00000184374
FLCN ENSG00000154803.8 0.2079 0.090445 ENSG00000154803
GJA4 ENSG00000187513.8 0.13453 0.073055 ENSG00000187513
MICAL2 ENSG00000133816.9 0.164918 0.080894 ENSG00000133816
KIR2DL4 ENSG00000189013.9 0.135447 0.083143 ENSG00000189013
TRIM66 ENSG00000166436.11 0.161414 0.080329 ENSG00000166436
TRIM27 ENSG00000204713.6 0.132037 0.077747 ENSG00000204713
SSSCA1 ENSG00000173465.3 0.107512 0.063525 ENSG00000173465
TROAP ENSG00000135451.8 0.131541 0.075134 ENSG00000135451
TRPM2 ENSG00000142185.12 0.150475 0.080727 ENSG00000142185
MTMR14 ENSG00000163719.14 0.100651 0.064086 ENSG00000163719
FNBP1 ENSG00000187239.12 0.109792 0.073069 ENSG00000187239
ENTPD2 ENSG00000054179.7 0.188615 0.090993 ENSG00000054179
C20orf197 ENSG00000176659.5 0.112987 0.064366 ENSG00000176659
AZI1 ENSG00000141577.9 0.108962 0.079443 ENSG00000141577
SHISA3 ENSG00000178343.4 0.114702 0.072855 ENSG00000178343
TP53I11 ENSG00000175274.14 0.110586 0.067235 ENSG00000175274
ZNF512 ENSG00000243943.5 0.10502 0.064554 ENSG00000243943
ITPRIPL1 ENSG00000198885.5 0.110334 0.070889 ENSG00000198885
SEPT4 ENSG00000108387.10 0.10626 0.06848 ENSG00000108387
SLC39A8 ENSG00000138821.8 0.182594 0.073974 ENSG00000138821
ENOX1 ENSG00000120658.8 0.185012 0.07954 ENSG00000120658
CYFIP1 ENSG00000068793.13 0.15117 0.078695 ENSG00000068793
ABRACL ENSG00000146386.7 0.13184 0.066674 ENSG00000146386
FCHSD1 ENSG00000197948.5 0.119428 0.076917 ENSG00000197948
AKR1C3 ENSG00000196139.7 0.156701 0.079516 ENSG00000196139
ACOX2 ENSG00000168306.8 0.121678 0.065933 ENSG00000168306
PICALM ENSG00000073921.13 0.120355 0.072376 ENSG00000073921
PPP1R36 ENSG00000165807.3 0.12171 0.072285 ENSG00000165807
NRXN2 ENSG00000110076.14 0.160093 0.067912 ENSG00000110076
RBFOX2 ENSG00000100320.18 0.164717 0.093989 ENSG00000100320
CYTH2 ENSG00000105443.9 0.107373 0.068778 ENSG00000105443
TINF2 ENSG00000092330.11 0.137369 0.074002 ENSG00000092330
CADM2 ENSG00000175161.9 0.174533 0.073829 ENSG00000175161
RP11-481A20.11 ENSG00000255098.1 0.132835 0.090459 ENSG00000255098
ZNF133 ENSG00000125846.11 0.102763 0.068816 ENSG00000125846
NUDT2 ENSG00000164978.13 0.200475 0.075528 ENSG00000164978
SSU72 ENSG00000160075.10 0.118897 0.070643 ENSG00000160075
LYNX1 ENSG00000180155.14 0.29184 0.085312 ENSG00000180155
GLP1R ENSG00000112164.5 0.1799 0.08124 ENSG00000112164
CASP1 ENSG00000137752.18 0.141083 0.077435 ENSG00000137752
FXR1 ENSG00000114416.13 0.109572 0.064213 ENSG00000114416
TBX19 ENSG00000143178.8 0.122466 0.072254 ENSG00000143178
ROBO3 ENSG00000154134.10 0.113421 0.079285 ENSG00000154134
DSC2 ENSG00000134755.10 0.109142 0.074305 ENSG00000134755
USP36 ENSG00000055483.14 0.121455 0.074789 ENSG00000055483
VWDE ENSG00000146530.7 0.10279 0.068011 ENSG00000146530
CLEC2L ENSG00000236279.2 0.128941 0.073633 ENSG00000236279
CCDC23 ENSG00000177868.7 0.108877 0.073478 ENSG00000177868
GDNF ENSG00000168621.10 0.101718 0.073689 ENSG00000168621
HUS1 ENSG00000136273.7 0.128799 0.067664 ENSG00000136273
B4GALT5 ENSG00000158470.5 0.102196 0.08127 ENSG00000158470
WDR47 ENSG00000085433.11 0.19973 0.088365 ENSG00000085433
SGK3 ENSG00000104205.8 0.100475 0.070831 ENSG00000104205
UBXN2B ENSG00000215114.3 0.133471 0.071821 ENSG00000215114
ARPC5 ENSG00000162704.11 0.18271 0.084036 ENSG00000162704
ZBTB9 ENSG00000213588.4 0.12233 0.078588 ENSG00000213588
ZNF440 ENSG00000171295.8 0.127693 0.07835 ENSG00000171295
CCDC93 ENSG00000125633.6 0.127804 0.065796 ENSG00000125633
SCRT2 ENSG00000215397.3 0.119217 0.081322 ENSG00000215397
ARAP3 ENSG00000120318.11 0.115736 0.069268 ENSG00000120318
CACNG6 ENSG00000130433.3 0.113633 0.088649 ENSG00000130433
KIAA1217 ENSG00000120549.11 0.184471 0.087058 ENSG00000120549
DCSTAMP ENSG00000164935.2 0.159397 0.07203 ENSG00000164935
ROBO4 ENSG00000154133.10 0.203724 0.088002 ENSG00000154133
ACSF3 ENSG00000176715.11 0.131974 0.082194 ENSG00000176715
NEK7 ENSG00000151414.10 0.196205 0.073373 ENSG00000151414
FRAS1 ENSG00000138759.13 0.100316 0.058426 ENSG00000138759
MYO1E ENSG00000157483.4 0.144629 0.077693 ENSG00000157483
RWDD2B ENSG00000156253.2 0.132496 0.073391 ENSG00000156253
VARS2 ENSG00000137411.12 0.116195 0.066497 ENSG00000137411
PTGES2 ENSG00000148334.10 0.10595 0.079496 ENSG00000148334
POFUT1 ENSG00000101346.6 0.117263 0.082827 ENSG00000101346
C2CD4A ENSG00000198535.5 0.142377 0.068505 ENSG00000198535
FAM5C ENSG00000162670.7 0.102529 0.068699 ENSG00000162670
L3MBTL1 ENSG00000185513.10 0.116014 0.088942 ENSG00000185513
EIF4EBP3 ENSG00000243056.1 0.111402 0.06625 ENSG00000243056
HBS1L ENSG00000112339.10 0.249802 0.085132 ENSG00000112339
LPHN1 ENSG00000072071.12 0.136362 0.080596 ENSG00000072071
SLC39A14 ENSG00000104635.9 0.113963 0.072498 ENSG00000104635
SAMD3 ENSG00000164483.12 0.110352 0.069239 ENSG00000164483
CCR10 ENSG00000184451.5 0.116353 0.0722 ENSG00000184451
KRTAP19-1 ENSG00000184351.7 0.111572 0.070292 ENSG00000184351
HILPDA ENSG00000135245.9 0.106069 0.066412 ENSG00000135245
PLEKHA6 ENSG00000143850.8 0.233989 0.081058 ENSG00000143850
AC007405.2 ENSG00000222033.1 0.134855 0.074046 ENSG00000222033
EIF2B1 ENSG00000111361.8 0.113265 0.070379 ENSG00000111361
PTH2R ENSG00000144407.5 0.101116 0.070804 ENSG00000144407
ZFPM1 ENSG00000179588.4 0.138693 0.082282 ENSG00000179588
MFI2 ENSG00000163975.7 0.164334 0.081744 ENSG00000163975
EDN3 ENSG00000124205.11 0.286629 0.091024 ENSG00000124205
LPCAT4 ENSG00000176454.9 0.10326 0.061381 ENSG00000176454
IER2 ENSG00000160888.6 0.122346 0.07356 ENSG00000160888
TMEM61 ENSG00000143001.4 0.125356 0.072569 ENSG00000143001
CALD1 ENSG00000122786.15 0.164625 0.07833 ENSG00000122786
TMEM173 ENSG00000184584.8 0.148442 0.083098 ENSG00000184584
CXCL17 ENSG00000189377.4 0.176386 0.082979 ENSG00000189377
ANKRD65 ENSG00000235098.4 0.109407 0.063937 ENSG00000235098
GRIK2 ENSG00000164418.15 0.143408 0.072962 ENSG00000164418
PAPL ENSG00000183760.6 0.209462 0.100347 ENSG00000183760
