AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
PCDHB8 ENSG00000120322.2 0.549018 0.089125 ENSG00000120322
ZNF266 ENSG00000174652.13 0.508504 0.086059 ENSG00000174652
WARS ENSG00000140105.13 0.12413 0.108761 ENSG00000140105
APOL4 ENSG00000100336.13 0.474605 0.101543 ENSG00000100336
NTPCR ENSG00000135778.6 0.111516 0.105146 ENSG00000135778
ABHD4 ENSG00000100439.6 0.254569 0.128731 ENSG00000100439
CAPN11 ENSG00000137225.8 0.090432 0.088858 ENSG00000137225
POLR2J ENSG00000005075.11 0.223048 0.101996 ENSG00000005075
PAQR5 ENSG00000137819.9 0.193689 0.102444 ENSG00000137819
GBP3 ENSG00000117226.7 0.472033 0.098172 ENSG00000117226
PILRB ENSG00000121716.13 0.534979 0.090791 ENSG00000121716
C15orf57 ENSG00000128891.11 0.516892 0.087161 ENSG00000128891
IFT88 ENSG00000032742.13 0.426195 0.100689 ENSG00000032742
ARL14EP ENSG00000152219.4 0.051179 0.059076 ENSG00000152219
VNN1 ENSG00000112299.7 0.129472 0.088504 ENSG00000112299
STXBP2 ENSG00000076944.10 0.108419 0.105887 ENSG00000076944
DARC ENSG00000213088.5 0.094855 0.095441 ENSG00000213088
CISD1 ENSG00000122873.7 0.149905 0.090236 ENSG00000122873
TMEM50B ENSG00000142188.12 0.13166 0.079817 ENSG00000142188
SYF2 ENSG00000117614.5 0.086157 0.102054 ENSG00000117614
RBMS2 ENSG00000076067.7 0.110884 0.090696 ENSG00000076067
BRD7 ENSG00000166164.11 0.05445 0.096669 ENSG00000166164
USP53 ENSG00000145390.7 0.062118 0.062925 ENSG00000145390
C17orf97 ENSG00000187624.7 0.623023 0.096247 ENSG00000187624
ARL17B ENSG00000228696.4 0.118406 0.071541 ENSG00000228696
CAMK1D ENSG00000183049.8 0.143279 0.122764 ENSG00000183049
ADAT1 ENSG00000065457.6 0.368101 0.101434 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.066738 0.08702 ENSG00000113716
NME4 ENSG00000103202.8 0.530221 0.112712 ENSG00000103202
GCC2 ENSG00000135968.15 0.163122 0.08259 ENSG00000135968
OPN4 ENSG00000122375.7 0.154826 0.092138 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.270447 0.10011 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.588938 0.084603 ENSG00000171903
TDGF1 ENSG00000241186.3 0.686739 0.078892 ENSG00000241186
NSFL1C ENSG00000088833.12 0.063606 0.088837 ENSG00000088833
MAPK14 ENSG00000112062.6 0.103065 0.092624 ENSG00000112062
FANCA ENSG00000187741.10 0.24766 0.10221 ENSG00000187741
RSPO4 ENSG00000101282.4 0.397335 0.119463 ENSG00000101282
GSTM1 ENSG00000134184.8 0.338825 0.128787 ENSG00000134184
COG1 ENSG00000166685.7 0.128862 0.099928 ENSG00000166685
TMEM50A ENSG00000183726.6 0.054119 0.086301 ENSG00000183726
CCDC102A ENSG00000135736.5 0.224407 0.119359 ENSG00000135736
FADS1 ENSG00000149485.12 0.12149 0.094746 ENSG00000149485
TRIM4 ENSG00000146833.11 0.229383 0.092231 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.387084 0.109737 ENSG00000100191
DTD1 ENSG00000125821.7 0.326035 0.105371 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.117801 0.091782 ENSG00000196329
IQCB1 ENSG00000173226.12 0.374898 0.095531 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.125104 0.100697 ENSG00000101307
PDSS1 ENSG00000148459.11 0.050285 0.08054 ENSG00000148459
FRRS1 ENSG00000156869.8 0.128339 0.083575 ENSG00000156869
MTHFS ENSG00000136371.5 0.412657 0.097354 ENSG00000136371
PLVAP ENSG00000130300.4 0.110872 0.099378 ENSG00000130300
VLDLR ENSG00000147852.10 0.128877 0.095988 ENSG00000147852
C10orf107 ENSG00000183346.6 0.224632 0.098724 ENSG00000183346
ASNSD1 ENSG00000138381.5 0.291739 0.100842 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.219329 0.095224 ENSG00000196963
ZFP90 ENSG00000184939.10 0.116178 0.091357 ENSG00000184939
CD40 ENSG00000101017.9 0.121588 0.088407 ENSG00000101017
ZNF586 ENSG00000083828.11 0.161467 0.087692 ENSG00000083828
ZNF282 ENSG00000170265.7 0.054945 0.078192 ENSG00000170265
TDRD6 ENSG00000180113.11 0.289541 0.103334 ENSG00000180113
CCDC74A ENSG00000163040.10 0.198654 0.096951 ENSG00000163040
RNASEH2C ENSG00000172922.4 0.157465 0.095428 ENSG00000172922
TRIM37 ENSG00000108395.9 0.180491 0.089989 ENSG00000108395
DSCC1 ENSG00000136982.5 0.509215 0.095754 ENSG00000136982
COG6 ENSG00000133103.12 0.417556 0.098962 ENSG00000133103
SYTL2 ENSG00000137501.12 0.076612 0.088887 ENSG00000137501
SLC22A5 ENSG00000197375.8 0.051532 0.07533 ENSG00000197375
NIPAL1 ENSG00000163293.7 0.230169 0.092339 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.19582 0.111787 ENSG00000100077
EPSTI1 ENSG00000133106.10 0.156461 0.106711 ENSG00000133106
DDX11 ENSG00000013573.12 0.859462 0.045553 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.261064 0.095619 ENSG00000136144
ZNF589 ENSG00000164048.9 0.244213 0.105638 ENSG00000164048
C22orf43 ENSG00000189269.7 0.364508 0.102179 ENSG00000189269
ZNF605 ENSG00000196458.6 0.104416 0.082828 ENSG00000196458
TMEM230 ENSG00000089063.10 0.139263 0.105508 ENSG00000089063
F11R ENSG00000270149.1 0.150606 0.114984 ENSG00000270149
SLC35D1 ENSG00000116704.6 0.062573 0.077423 ENSG00000116704
SLC25A51 ENSG00000122696.8 0.367044 0.105914 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.343693 0.111389 ENSG00000171130
RNF141 ENSG00000110315.2 0.109142 0.103167 ENSG00000110315
CYP4F12 ENSG00000186204.9 0.512227 0.104563 ENSG00000186204
PLEC ENSG00000178209.10 0.166795 0.094749 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.408425 0.095527 ENSG00000108592
CLEC4A ENSG00000111729.8 0.148789 0.090513 ENSG00000111729
ZNF554 ENSG00000172006.7 0.144534 0.119713 ENSG00000172006
RNF17 ENSG00000132972.13 0.144832 0.11012 ENSG00000132972
EPHB4 ENSG00000196411.5 0.051223 0.063604 ENSG00000196411
ERO1LB ENSG00000086619.9 0.240364 0.102621 ENSG00000086619
LRRC8B ENSG00000197147.8 0.152867 0.09452 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.398831 0.114624 ENSG00000144741
COX6B2 ENSG00000160471.7 0.097478 0.109655 ENSG00000160471
ZNF783 ENSG00000204946.5 0.126808 0.096784 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.45459 0.110614 ENSG00000121440
VPS28 ENSG00000160948.9 0.250899 0.11572 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.220036 0.095067 ENSG00000117601
GSDMA ENSG00000167914.6 0.300187 0.103836 ENSG00000167914
ANO10 ENSG00000160746.8 0.155844 0.096628 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.347274 0.113901 ENSG00000112167
SNX20 ENSG00000167208.10 0.056313 0.080063 ENSG00000167208
CHAF1A ENSG00000167670.11 0.409579 0.116224 ENSG00000167670
SUPT16H ENSG00000092201.5 0.173227 0.117025 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.397893 0.115427 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.266577 0.106694 ENSG00000047188
NUTM2B ENSG00000188199.6 0.161857 0.094354 ENSG00000188199
PDXK ENSG00000160209.13 0.330558 0.109545 ENSG00000160209
IZUMO2 ENSG00000161652.8 0.062928 0.098793 ENSG00000161652
SACM1L ENSG00000211456.6 0.200901 0.103239 ENSG00000211456
IRF6 ENSG00000117595.6 0.156323 0.102966 ENSG00000117595
POMZP3 ENSG00000146707.10 0.749077 0.063264 ENSG00000146707
DDT ENSG00000099977.9 0.229727 0.097802 ENSG00000099977
SEC16A ENSG00000148396.14 0.074469 0.076075 ENSG00000148396
TRIOBP ENSG00000100106.15 0.373082 0.114794 ENSG00000100106
LGALS2 ENSG00000100079.5 0.096533 0.107359 ENSG00000100079
PPWD1 ENSG00000113593.7 0.10817 0.100219 ENSG00000113593
RPH3AL ENSG00000181031.11 0.522041 0.107325 ENSG00000181031
GIMAP4 ENSG00000133574.5 0.060179 0.080945 ENSG00000133574
CAT ENSG00000121691.4 0.16557 0.096729 ENSG00000121691
PODN ENSG00000174348.9 0.070718 0.076845 ENSG00000174348
KCNK17 ENSG00000124780.9 0.066044 0.083878 ENSG00000124780
POLR2E ENSG00000099817.7 0.121333 0.115247 ENSG00000099817
GPR56 ENSG00000205336.7 0.128866 0.11274 ENSG00000205336
SLC28A2 ENSG00000137860.7 0.207228 0.087947 ENSG00000137860
ACOX3 ENSG00000087008.11 0.126296 0.10712 ENSG00000087008
CRTC1 ENSG00000105662.11 0.092211 0.087393 ENSG00000105662
ITIH2 ENSG00000151655.13 0.110562 0.106657 ENSG00000151655
SLC25A27 ENSG00000153291.11 0.497699 0.099372 ENSG00000153291
EMR1 ENSG00000174837.10 0.068529 0.097496 ENSG00000174837
RGS14 ENSG00000169220.13 0.323151 0.106384 ENSG00000169220
ADAMTS7 ENSG00000136378.10 0.194065 0.102732 ENSG00000136378
ZNF333 ENSG00000160961.7 0.260999 0.117963 ENSG00000160961
TACR2 ENSG00000075073.10 0.094157 0.098878 ENSG00000075073
ABCC8 ENSG00000006071.7 0.333544 0.112406 ENSG00000006071
C19orf48 ENSG00000167747.9 0.212722 0.122364 ENSG00000167747
SGIP1 ENSG00000118473.17 0.412902 0.099727 ENSG00000118473
WDR19 ENSG00000157796.13 0.055363 0.068666 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.221354 0.096899 ENSG00000162769
TAF1C ENSG00000103168.12 0.2223 0.135777 ENSG00000103168
FAM227A ENSG00000184949.10 0.086409 0.069723 ENSG00000184949
HDDC2 ENSG00000111906.12 0.449503 0.100811 ENSG00000111906
ZNF320 ENSG00000182986.8 0.253597 0.129171 ENSG00000182986
PM20D1 ENSG00000162877.8 0.52534 0.087734 ENSG00000162877
G0S2 ENSG00000123689.5 0.1884 0.105977 ENSG00000123689
IL21R ENSG00000103522.11 0.11068 0.094877 ENSG00000103522
CCDC66 ENSG00000180376.12 0.198892 0.091329 ENSG00000180376
GNG7 ENSG00000176533.8 0.119795 0.111791 ENSG00000176533
NDFIP1 ENSG00000131507.9 0.086828 0.089046 ENSG00000131507
PAPD4 ENSG00000164329.9 0.15654 0.103826 ENSG00000164329
SDCCAG8 ENSG00000054282.11 0.12243 0.088764 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.12033 0.067991 ENSG00000143776
GTF3A ENSG00000122034.8 0.156372 0.099808 ENSG00000122034
FGD5 ENSG00000154783.6 0.183383 0.103365 ENSG00000154783
ECHDC2 ENSG00000121310.12 0.082095 0.085981 ENSG00000121310
ATP8A1 ENSG00000124406.12 0.164534 0.105111 ENSG00000124406
FAAH ENSG00000117480.11 0.198345 0.092539 ENSG00000117480
TRIB3 ENSG00000101255.6 0.122486 0.107403 ENSG00000101255
RNF166 ENSG00000158717.6 0.125497 0.103533 ENSG00000158717
SNX31 ENSG00000174226.4 0.466321 0.10796 ENSG00000174226
PCP2 ENSG00000174788.5 0.334394 0.124042 ENSG00000174788
GPR114 ENSG00000159618.11 0.105076 0.100899 ENSG00000159618
ARFGAP3 ENSG00000242247.6 0.185668 0.105326 ENSG00000242247
HS2ST1 ENSG00000153936.12 0.090951 0.080469 ENSG00000153936
EFCAB13 ENSG00000178852.11 0.080482 0.074969 ENSG00000178852
FAS ENSG00000026103.15 0.054661 0.083891 ENSG00000026103
GSAP ENSG00000186088.11 0.097744 0.084457 ENSG00000186088
CDCA7 ENSG00000144354.9 0.0578 0.086915 ENSG00000144354
NAA50 ENSG00000121579.7 0.097168 0.088467 ENSG00000121579
RP11-552I14.1 ENSG00000257860.1 0.322565 0.135376 ENSG00000257860
GIMAP7 ENSG00000179144.4 0.07764 0.0789 ENSG00000179144
ASB8 ENSG00000177981.6 0.064357 0.067165 ENSG00000177981
SEC22A ENSG00000121542.7 0.148619 0.076609 ENSG00000121542
ARHGEF35 ENSG00000213214.3 0.205315 0.089892 ENSG00000213214
MCF2L ENSG00000126217.16 0.217018 0.119228 ENSG00000126217
SULT1A1 ENSG00000196502.7 0.096299 0.073914 ENSG00000196502
LURAP1L ENSG00000153714.5 0.083258 0.094036 ENSG00000153714
NCBP1 ENSG00000136937.8 0.051842 0.086942 ENSG00000136937
PROK1 ENSG00000143125.5 0.322922 0.101058 ENSG00000143125
FARP1 ENSG00000152767.11 0.107109 0.086163 ENSG00000152767
TTC18 ENSG00000156042.13 0.316485 0.11003 ENSG00000156042
CLN6 ENSG00000128973.7 0.072209 0.071582 ENSG00000128973
PCDH15 ENSG00000150275.13 0.107871 0.10651 ENSG00000150275
ERP27 ENSG00000139055.2 0.078107 0.066785 ENSG00000139055
ATP5G1 ENSG00000159199.9 0.311723 0.091153 ENSG00000159199
GNMT ENSG00000124713.5 0.461919 0.105366 ENSG00000124713
USP10 ENSG00000103194.11 0.189904 0.139038 ENSG00000103194
MRI1 ENSG00000037757.9 0.112559 0.10612 ENSG00000037757
ZNF419 ENSG00000105136.15 0.43136 0.09406 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.098019 0.089278 ENSG00000198203
BIRC2 ENSG00000110330.4 0.058376 0.100223 ENSG00000110330
TTC28 ENSG00000100154.10 0.204106 0.105627 ENSG00000100154
CMTM7 ENSG00000153551.9 0.094352 0.091849 ENSG00000153551
ABTB2 ENSG00000166016.4 0.061547 0.079719 ENSG00000166016
PYROXD1 ENSG00000121350.11 0.300754 0.094728 ENSG00000121350
ZNF326 ENSG00000162664.11 0.068952 0.070112 ENSG00000162664
KRT72 ENSG00000170486.6 0.415679 0.119276 ENSG00000170486
HSD17B12 ENSG00000149084.7 0.685286 0.076785 ENSG00000149084
SPC25 ENSG00000152253.4 0.169485 0.086345 ENSG00000152253
MILR1 ENSG00000271605.1 0.08777 0.078356 ENSG00000271605
SNX1 ENSG00000028528.10 0.118919 0.082241 ENSG00000028528
ARHGEF7 ENSG00000102606.13 0.306998 0.124139 ENSG00000102606
STX2 ENSG00000111450.9 0.449064 0.114727 ENSG00000111450
SLC47A2 ENSG00000180638.13 0.117485 0.082505 ENSG00000180638
ANTXRL ENSG00000198250.8 0.583429 0.082789 ENSG00000198250
PCDHGA6 ENSG00000253731.1 0.11542 0.095319 ENSG00000253731
OLIG2 ENSG00000205927.4 0.080277 0.100014 ENSG00000205927
ZNF880 ENSG00000221923.4 0.498049 0.112529 ENSG00000221923
RRP1B ENSG00000160208.11 0.154254 0.105648 ENSG00000160208
NEK3 ENSG00000136098.12 0.149469 0.08073 ENSG00000136098
NUP54 ENSG00000138750.10 0.103119 0.078371 ENSG00000138750
ABCC3 ENSG00000108846.11 0.107115 0.099312 ENSG00000108846
LAP3 ENSG00000002549.8 0.103124 0.08236 ENSG00000002549
ZC3H18 ENSG00000158545.11 0.151631 0.110206 ENSG00000158545
SHB ENSG00000107338.8 0.252894 0.124756 ENSG00000107338
FBLL1 ENSG00000188573.7 0.541851 0.093513 ENSG00000188573
MZF1 ENSG00000099326.4 0.050146 0.066545 ENSG00000099326
INTS12 ENSG00000138785.10 0.072788 0.07044 ENSG00000138785
NDNF ENSG00000173376.9 0.056164 0.068652 ENSG00000173376
WAC ENSG00000095787.16 0.160074 0.105928 ENSG00000095787
SUSD3 ENSG00000157303.6 0.105427 0.111267 ENSG00000157303
C2orf27A ENSG00000197927.8 0.184018 0.095216 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.229045 0.100556 ENSG00000099377
KCNC4 ENSG00000116396.9 0.128025 0.101542 ENSG00000116396
GPX7 ENSG00000116157.5 0.581248 0.092598 ENSG00000116157
LAMC1 ENSG00000135862.5 0.089529 0.06496 ENSG00000135862
PSMB5 ENSG00000100804.14 0.073615 0.099403 ENSG00000100804
SNF8 ENSG00000159210.5 0.065662 0.071146 ENSG00000159210
IRAK1BP1 ENSG00000146243.9 0.20716 0.07654 ENSG00000146243
THAP5 ENSG00000177683.9 0.185299 0.081563 ENSG00000177683
TCTEX1D1 ENSG00000152760.5 0.303985 0.103629 ENSG00000152760
DENND3 ENSG00000105339.6 0.088241 0.101452 ENSG00000105339
TAP2 ENSG00000204267.9 0.110415 0.082414 ENSG00000204267
UCKL1 ENSG00000198276.9 0.150007 0.117342 ENSG00000198276
MAPK8 ENSG00000107643.11 0.23598 0.09593 ENSG00000107643
NARFL ENSG00000103245.9 0.179933 0.110851 ENSG00000103245
SUSD2 ENSG00000099994.10 0.311791 0.096121 ENSG00000099994
STRIP2 ENSG00000128578.5 0.069322 0.070582 ENSG00000128578
ZNF83 ENSG00000167766.13 0.573701 0.116306 ENSG00000167766
AP4M1 ENSG00000221838.5 0.120079 0.084506 ENSG00000221838
SSBP4 ENSG00000130511.10 0.129937 0.086499 ENSG00000130511
NFYA ENSG00000001167.10 0.06552 0.087265 ENSG00000001167
CC2D1B ENSG00000154222.10 0.14326 0.082628 ENSG00000154222
TTLL12 ENSG00000100304.12 0.179081 0.104735 ENSG00000100304
RFT1 ENSG00000163933.5 0.093459 0.07641 ENSG00000163933
LACTB2 ENSG00000147592.4 0.226191 0.090054 ENSG00000147592
PFKP ENSG00000067057.11 0.167115 0.114825 ENSG00000067057
ZNF69 ENSG00000198429.5 0.092871 0.080939 ENSG00000198429
TRDMT1 ENSG00000107614.17 0.219704 0.096841 ENSG00000107614
IL32 ENSG00000008517.12 0.055305 0.071278 ENSG00000008517
OSTF1 ENSG00000134996.11 0.063585 0.094455 ENSG00000134996
TST ENSG00000128311.9 0.109554 0.120733 ENSG00000128311
CDK17 ENSG00000059758.3 0.190105 0.11376 ENSG00000059758
AL161915.1 ENSG00000212670.1 0.085492 0.092469 ENSG00000212670
APBB1IP ENSG00000077420.11 0.060931 0.07376 ENSG00000077420
ARHGAP30 ENSG00000186517.9 0.11655 0.091934 ENSG00000186517
PRKRIP1 ENSG00000128563.9 0.057321 0.069385 ENSG00000128563
HPD ENSG00000158104.7 0.341669 0.103212 ENSG00000158104
CDC16 ENSG00000130177.10 0.157878 0.081228 ENSG00000130177
CACNB2 ENSG00000165995.14 0.107682 0.086965 ENSG00000165995
SNRPA ENSG00000077312.4 0.174424 0.110639 ENSG00000077312
NUCB1 ENSG00000104805.11 0.264183 0.106002 ENSG00000104805
FOXRED2 ENSG00000100350.10 0.461947 0.12691 ENSG00000100350
TRIM69 ENSG00000185880.8 0.430714 0.101279 ENSG00000185880
MLX ENSG00000108788.7 0.113815 0.096702 ENSG00000108788
CPSF1 ENSG00000071894.10 0.737384 0.062206 ENSG00000071894
MYL4 ENSG00000198336.5 0.094243 0.074077 ENSG00000198336
HP ENSG00000257017.4 0.311404 0.107118 ENSG00000257017
MANEA ENSG00000172469.10 0.093421 0.077199 ENSG00000172469
AKAP7 ENSG00000118507.11 0.104083 0.095077 ENSG00000118507
PRPH2 ENSG00000112619.6 0.263506 0.090752 ENSG00000112619
ALDH8A1 ENSG00000118514.9 0.411632 0.09567 ENSG00000118514
NIF3L1 ENSG00000196290.10 0.077872 0.069917 ENSG00000196290
MMP17 ENSG00000198598.2 0.080028 0.094198 ENSG00000198598
UBXN6 ENSG00000167671.7 0.251019 0.099822 ENSG00000167671
SLC44A3 ENSG00000143036.12 0.394105 0.099418 ENSG00000143036
WLS ENSG00000116729.9 0.075231 0.087705 ENSG00000116729
EPHB6 ENSG00000106123.7 0.107735 0.087912 ENSG00000106123
NPRL3 ENSG00000103148.11 0.355434 0.112341 ENSG00000103148
NOS3 ENSG00000164867.6 0.108223 0.087178 ENSG00000164867
TCP11L1 ENSG00000176148.11 0.254688 0.098659 ENSG00000176148
NUDT5 ENSG00000165609.8 0.185776 0.121739 ENSG00000165609
TRMT44 ENSG00000155275.14 0.066022 0.093561 ENSG00000155275
RPL3 ENSG00000100316.11 0.203865 0.092549 ENSG00000100316
RNF186 ENSG00000178828.5 0.146879 0.095257 ENSG00000178828
CHRAC1 ENSG00000104472.5 0.081488 0.090861 ENSG00000104472
CENPM ENSG00000100162.10 0.077862 0.074684 ENSG00000100162
RYBP ENSG00000163602.8 0.097295 0.107371 ENSG00000163602
ECHS1 ENSG00000127884.4 0.083657 0.119137 ENSG00000127884
TMEM63A ENSG00000196187.7 0.241558 0.109828 ENSG00000196187
FPR1 ENSG00000171051.4 0.070301 0.101264 ENSG00000171051
STIM2 ENSG00000109689.10 0.066182 0.094363 ENSG00000109689
PIEZO1 ENSG00000103335.15 0.097303 0.093832 ENSG00000103335
PPP6C ENSG00000119414.7 0.116909 0.098593 ENSG00000119414
CCBL2 ENSG00000137944.12 0.217538 0.100347 ENSG00000137944
AC093726.6 ENSG00000214106.3 0.182587 0.114432 ENSG00000214106
C6orf201 ENSG00000185689.11 0.108893 0.087536 ENSG00000185689
