AssociatedGeneName EnsemblGeneID h2.CrossTissue se.CrossTissue ensid
IFITM3 ENSG00000142089.11 0.023008 0.032458 ENSG00000142089
ARHGAP22 ENSG00000128805.10 0.095365 0.046966 ENSG00000128805
LIMS2 ENSG00000072163.14 0.076718 0.041464 ENSG00000072163
WASH4P ENSG00000234769.4 0.06681 0.045592 ENSG00000234769
ANKRD34B ENSG00000189127.3 0.152534 0.056075 ENSG00000189127
CCDC109B ENSG00000005059.11 0.097717 0.044185 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.209154 0.065236 ENSG00000145882
CDS2 ENSG00000101290.9 0.112058 0.052884 ENSG00000101290
RBPMS2 ENSG00000166831.4 0.077558 0.040456 ENSG00000166831
SMIM20 ENSG00000250317.4 0.180567 0.062437 ENSG00000250317
C8B ENSG00000021852.8 0.098449 0.049869 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.429512 0.058484 ENSG00000204038
PKP4 ENSG00000144283.17 0.155269 0.058509 ENSG00000144283
TLR3 ENSG00000164342.7 0.023101 0.035065 ENSG00000164342
TACSTD2 ENSG00000184292.5 0.05901 0.04014 ENSG00000184292
GM2A ENSG00000196743.4 0.292863 0.067662 ENSG00000196743
LIPN ENSG00000204020.5 0.060832 0.037594 ENSG00000204020
COLGALT2 ENSG00000198756.6 0.094453 0.050714 ENSG00000198756
PCDHB8 ENSG00000120322.2 0.490711 0.056587 ENSG00000120322
ZNF266 ENSG00000174652.13 0.541661 0.051704 ENSG00000174652
APOL4 ENSG00000100336.13 0.395717 0.068338 ENSG00000100336
MCM5 ENSG00000100297.10 0.03127 0.032267 ENSG00000100297
LCK ENSG00000182866.12 0.104441 0.047309 ENSG00000182866
NTPCR ENSG00000135778.6 0.592031 0.059016 ENSG00000135778
PTK7 ENSG00000112655.11 0.09202 0.051671 ENSG00000112655
ABHD4 ENSG00000100439.6 0.121327 0.06 ENSG00000100439
ETV7 ENSG00000010030.9 0.123279 0.051115 ENSG00000010030
TEK ENSG00000120156.16 0.014465 0.031678 ENSG00000120156
POLR2J ENSG00000005075.11 0.398663 0.066051 ENSG00000005075
C12orf61 ENSG00000221949.2 0.024553 0.033306 ENSG00000221949
MOSPD3 ENSG00000106330.7 0.039962 0.032923 ENSG00000106330
PAQR5 ENSG00000137819.9 0.0276 0.026481 ENSG00000137819
PMM2 ENSG00000140650.7 0.014384 0.024132 ENSG00000140650
ATMIN ENSG00000166454.5 0.153502 0.062451 ENSG00000166454
AKR1C1 ENSG00000187134.8 0.130784 0.056205 ENSG00000187134
GBP3 ENSG00000117226.7 0.751179 0.037323 ENSG00000117226
CDHR3 ENSG00000128536.11 0.421268 0.070472 ENSG00000128536
PILRB ENSG00000121716.13 0.51202 0.060605 ENSG00000121716
C15orf57 ENSG00000128891.11 0.579773 0.054105 ENSG00000128891
IFT88 ENSG00000032742.13 0.286971 0.058317 ENSG00000032742
IREB2 ENSG00000136381.8 0.079719 0.041958 ENSG00000136381
ARL14EP ENSG00000152219.4 0.168348 0.050957 ENSG00000152219
VNN1 ENSG00000112299.7 0.141733 0.048182 ENSG00000112299
STXBP2 ENSG00000076944.10 0.040499 0.036328 ENSG00000076944
ANXA8L2 ENSG00000186807.9 0.130554 0.054596 ENSG00000186807
GSTM2 ENSG00000213366.8 0.133068 0.058734 ENSG00000213366
ZNF205 ENSG00000122386.6 0.126327 0.04729 ENSG00000122386
CCR7 ENSG00000126353.3 0.026277 0.025414 ENSG00000126353
FAM181A ENSG00000140067.6 0.025357 0.037287 ENSG00000140067
RBM43 ENSG00000184898.6 0.069851 0.041208 ENSG00000184898
DARC ENSG00000213088.5 0.06841 0.038456 ENSG00000213088
CISD1 ENSG00000122873.7 0.247831 0.057196 ENSG00000122873
TNPO3 ENSG00000064419.9 0.040583 0.032615 ENSG00000064419
TMEM50B ENSG00000142188.12 0.461524 0.057668 ENSG00000142188
SCO2 ENSG00000130489.8 0.194679 0.061606 ENSG00000130489
SYF2 ENSG00000117614.5 0.021292 0.034621 ENSG00000117614
RAD51C ENSG00000108384.10 0.189834 0.053622 ENSG00000108384
PCSK5 ENSG00000099139.9 0.023529 0.041371 ENSG00000099139
RBMS2 ENSG00000076067.7 0.192827 0.058607 ENSG00000076067
BRD7 ENSG00000166164.11 0.020218 0.030885 ENSG00000166164
USP53 ENSG00000145390.7 0.099682 0.044953 ENSG00000145390
CAST ENSG00000153113.19 0.311877 0.064748 ENSG00000153113
C17orf97 ENSG00000187624.7 0.897577 0.01856 ENSG00000187624
ARL17B ENSG00000228696.4 0.428082 0.079667 ENSG00000228696
CAMK1D ENSG00000183049.8 0.082807 0.050451 ENSG00000183049
ISL2 ENSG00000159556.5 0.045132 0.033264 ENSG00000159556
FAM83D ENSG00000101447.9 0.052119 0.048621 ENSG00000101447
ADAT1 ENSG00000065457.6 0.519534 0.056913 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.172178 0.055353 ENSG00000113716
TJP2 ENSG00000119139.12 0.066089 0.037646 ENSG00000119139
NME4 ENSG00000103202.8 0.175198 0.057571 ENSG00000103202
GCC2 ENSG00000135968.15 0.412738 0.060518 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.079044 0.039453 ENSG00000123610
OPN4 ENSG00000122375.7 0.403886 0.058441 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.271419 0.063488 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.648759 0.048306 ENSG00000171903
QDPR ENSG00000151552.7 0.432831 0.064006 ENSG00000151552
TDGF1 ENSG00000241186.3 0.769159 0.035497 ENSG00000241186
NSFL1C ENSG00000088833.12 0.216834 0.058103 ENSG00000088833
MAPK14 ENSG00000112062.6 0.036591 0.030337 ENSG00000112062
FANCA ENSG00000187741.10 0.355163 0.065689 ENSG00000187741
RSPO4 ENSG00000101282.4 0.528569 0.058021 ENSG00000101282
MAML3 ENSG00000196782.8 0.010429 0.03416 ENSG00000196782
CDC42EP1 ENSG00000128283.6 0.089804 0.047614 ENSG00000128283
UBE2Z ENSG00000159202.13 0.065765 0.042301 ENSG00000159202
GSTM1 ENSG00000134184.8 0.567861 0.061034 ENSG00000134184
COG1 ENSG00000166685.7 0.034751 0.047483 ENSG00000166685
ZFP28 ENSG00000196867.3 0.221875 0.059687 ENSG00000196867
UBQLN1 ENSG00000135018.9 0.043373 0.040519 ENSG00000135018
YIPF5 ENSG00000145817.12 0.368446 0.065062 ENSG00000145817
CCDC102A ENSG00000135736.5 0.131265 0.057174 ENSG00000135736
KIAA2013 ENSG00000116685.11 0.022648 0.034501 ENSG00000116685
FADS1 ENSG00000149485.12 0.098169 0.048403 ENSG00000149485
ZNF555 ENSG00000186300.7 0.21024 0.062597 ENSG00000186300
TRIM4 ENSG00000146833.11 0.401194 0.06343 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.573636 0.052527 ENSG00000100191
DTD1 ENSG00000125821.7 0.042553 0.03836 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.11674 0.045715 ENSG00000196329
IQCB1 ENSG00000173226.12 0.601428 0.057385 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.624236 0.051028 ENSG00000101307
FRRS1 ENSG00000156869.8 0.099146 0.05368 ENSG00000156869
COG5 ENSG00000164597.9 0.116546 0.048428 ENSG00000164597
MTHFS ENSG00000136371.5 0.460928 0.060564 ENSG00000136371
ASB3 ENSG00000270898.1 0.045658 0.033337 ENSG00000270898
PLVAP ENSG00000130300.4 0.288291 0.065818 ENSG00000130300
PPIP5K2 ENSG00000145725.14 0.056808 0.031724 ENSG00000145725
VLDLR ENSG00000147852.10 0.121521 0.056282 ENSG00000147852
C15orf38 ENSG00000242498.3 0.087716 0.051172 ENSG00000242498
C10orf107 ENSG00000183346.6 0.545784 0.056424 ENSG00000183346
BCAT1 ENSG00000060982.10 0.05021 0.04332 ENSG00000060982
ASNSD1 ENSG00000138381.5 0.339837 0.064863 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.369694 0.063694 ENSG00000196963
TMEM45A ENSG00000181458.6 0.035403 0.027295 ENSG00000181458
FUT3 ENSG00000171124.8 0.068348 0.048181 ENSG00000171124
ZFP90 ENSG00000184939.10 0.081702 0.047988 ENSG00000184939
CDH23 ENSG00000107736.15 0.171013 0.063143 ENSG00000107736
CD40 ENSG00000101017.9 0.186679 0.059189 ENSG00000101017
ZNF586 ENSG00000083828.11 0.385145 0.064453 ENSG00000083828
ZNF282 ENSG00000170265.7 0.030169 0.029155 ENSG00000170265
TDRD6 ENSG00000180113.11 0.486453 0.057597 ENSG00000180113
CYB5D2 ENSG00000167740.5 0.054988 0.036372 ENSG00000167740
CCDC74A ENSG00000163040.10 0.160502 0.057243 ENSG00000163040
GSDMB ENSG00000073605.14 0.06992 0.039802 ENSG00000073605
CD3D ENSG00000167286.5 0.107071 0.045403 ENSG00000167286
RNASEH2C ENSG00000172922.4 0.174951 0.054839 ENSG00000172922
TRIM37 ENSG00000108395.9 0.162359 0.052232 ENSG00000108395
DSCC1 ENSG00000136982.5 0.762981 0.037324 ENSG00000136982
VPS36 ENSG00000136100.8 0.025669 0.031282 ENSG00000136100
CHML ENSG00000203668.1 0.241513 0.063866 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.15092 0.055342 ENSG00000166839
COG6 ENSG00000133103.12 0.222825 0.056478 ENSG00000133103
PPP1R16A ENSG00000160972.5 0.053297 0.031975 ENSG00000160972
CELF3 ENSG00000159409.10 0.016846 0.027988 ENSG00000159409
SSTR3 ENSG00000183473.5 0.04446 0.043259 ENSG00000183473
ANXA8L1 ENSG00000150165.13 0.170286 0.05694 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.239703 0.061483 ENSG00000197375
KL ENSG00000133116.6 0.010899 0.024741 ENSG00000133116
MRPL2 ENSG00000112651.7 0.055316 0.040469 ENSG00000112651
NIPAL1 ENSG00000163293.7 0.402731 0.065745 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.278514 0.060112 ENSG00000100077
EPSTI1 ENSG00000133106.10 0.039837 0.036548 ENSG00000133106
UBBP4 ENSG00000263563.1 0.029895 0.037602 ENSG00000263563
DDX11 ENSG00000013573.12 0.8717 0.020252 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.31275 0.062831 ENSG00000136144
NR2F6 ENSG00000160113.5 0.075538 0.050626 ENSG00000160113
ZNF589 ENSG00000164048.9 0.528106 0.070543 ENSG00000164048
C22orf43 ENSG00000189269.7 0.800448 0.031146 ENSG00000189269
ZNF605 ENSG00000196458.6 0.272421 0.069722 ENSG00000196458
TMEM230 ENSG00000089063.10 0.397016 0.064256 ENSG00000089063
F11R ENSG00000270149.1 0.041668 0.038479 ENSG00000270149
BSG ENSG00000172270.14 0.045848 0.045144 ENSG00000172270
C1orf87 ENSG00000162598.9 0.071435 0.042245 ENSG00000162598
ANKRD49 ENSG00000168876.4 0.034609 0.036934 ENSG00000168876
ADORA1 ENSG00000163485.11 0.023933 0.035592 ENSG00000163485
C4BPA ENSG00000123838.6 0.322744 0.069717 ENSG00000123838
CFD ENSG00000197766.3 0.026017 0.031392 ENSG00000197766
SLC25A51 ENSG00000122696.8 0.376221 0.060343 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.242318 0.062712 ENSG00000171130
RNF141 ENSG00000110315.2 0.038125 0.038661 ENSG00000110315
SH3BP1 ENSG00000100092.16 0.091507 0.045777 ENSG00000100092
CYP4F12 ENSG00000186204.9 0.247547 0.06411 ENSG00000186204
PLEC ENSG00000178209.10 0.250279 0.054084 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.400359 0.061675 ENSG00000108592
CLEC4A ENSG00000111729.8 0.084991 0.038083 ENSG00000111729
ZNF554 ENSG00000172006.7 0.141808 0.050611 ENSG00000172006
RNF17 ENSG00000132972.13 0.213873 0.058013 ENSG00000132972
LMBR1 ENSG00000105983.14 0.059651 0.044591 ENSG00000105983
BICD2 ENSG00000185963.9 0.034503 0.03504 ENSG00000185963
PGM1 ENSG00000079739.11 0.013201 0.034135 ENSG00000079739
RPH3A ENSG00000089169.10 0.056433 0.039284 ENSG00000089169
MFNG ENSG00000100060.13 0.042377 0.039193 ENSG00000100060
STEAP1B ENSG00000105889.10 0.047176 0.043255 ENSG00000105889
ERO1LB ENSG00000086619.9 0.133887 0.050689 ENSG00000086619
LRRC8B ENSG00000197147.8 0.156373 0.055266 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.380846 0.060095 ENSG00000144741
PANK3 ENSG00000120137.6 0.076155 0.049175 ENSG00000120137
RAVER2 ENSG00000162437.10 0.096383 0.046727 ENSG00000162437
CRYGN ENSG00000127377.4 0.160457 0.059098 ENSG00000127377
COX6B2 ENSG00000160471.7 0.035096 0.042604 ENSG00000160471
ZNF783 ENSG00000204946.5 0.423922 0.064798 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.128554 0.052896 ENSG00000121440
VPS28 ENSG00000160948.9 0.571689 0.059211 ENSG00000160948
PRF1 ENSG00000180644.6 0.023334 0.03447 ENSG00000180644
CCS ENSG00000173992.4 0.020571 0.03123 ENSG00000173992
SERPINC1 ENSG00000117601.9 0.385325 0.071313 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.177294 0.063978 ENSG00000166004
GSDMA ENSG00000167914.6 0.509305 0.061495 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.16815 0.062166 ENSG00000132196
CCR1 ENSG00000163823.3 0.052948 0.033736 ENSG00000163823
TOB1 ENSG00000141232.4 0.039199 0.039902 ENSG00000141232
ANO10 ENSG00000160746.8 0.040844 0.031778 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.123277 0.056628 ENSG00000112167
BNC2 ENSG00000173068.13 0.030351 0.036139 ENSG00000173068
CHAF1A ENSG00000167670.11 0.448414 0.058406 ENSG00000167670
UBN2 ENSG00000157741.9 0.034691 0.039223 ENSG00000157741
SERPINA12 ENSG00000165953.5 0.014368 0.02602 ENSG00000165953
SUPT16H ENSG00000092201.5 0.091052 0.053666 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.648869 0.052993 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.104814 0.038395 ENSG00000047188
ZNF763 ENSG00000197054.7 0.040053 0.034481 ENSG00000197054
TIMM21 ENSG00000075336.7 0.119594 0.047088 ENSG00000075336
PCSK9 ENSG00000169174.9 0.038818 0.029522 ENSG00000169174
NUTM2B ENSG00000188199.6 0.406644 0.062167 ENSG00000188199
PDXK ENSG00000160209.13 0.081542 0.048611 ENSG00000160209
IZUMO2 ENSG00000161652.8 0.157376 0.064482 ENSG00000161652
SACM1L ENSG00000211456.6 0.100391 0.045334 ENSG00000211456
TARBP1 ENSG00000059588.5 0.031346 0.04101 ENSG00000059588
IRF6 ENSG00000117595.6 0.276028 0.058938 ENSG00000117595
KLHL10 ENSG00000161594.6 0.159155 0.051686 ENSG00000161594
C15orf27 ENSG00000169758.8 0.026291 0.022529 ENSG00000169758
TNNT1 ENSG00000105048.12 0.040228 0.040428 ENSG00000105048
POMZP3 ENSG00000146707.10 0.798647 0.031633 ENSG00000146707
ZEB2 ENSG00000169554.12 0.029765 0.03166 ENSG00000169554
DDT ENSG00000099977.9 0.379905 0.06782 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.245049 0.058943 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.063908 0.039599 ENSG00000163145
IQCE ENSG00000106012.13 0.022291 0.029704 ENSG00000106012
SEC16A ENSG00000148396.14 0.207603 0.053255 ENSG00000148396
FAM27A ENSG00000182368.4 0.411648 0.145153 ENSG00000182368
CBS ENSG00000160200.13 0.091451 0.049272 ENSG00000160200
CCDC19 ENSG00000213085.5 0.03021 0.040088 ENSG00000213085
TRIOBP ENSG00000100106.15 0.257668 0.059715 ENSG00000100106
LGALS2 ENSG00000100079.5 0.256443 0.064139 ENSG00000100079
PPWD1 ENSG00000113593.7 0.042 0.036624 ENSG00000113593
RPH3AL ENSG00000181031.11 0.606953 0.055215 ENSG00000181031
PDGFC ENSG00000145431.6 0.04621 0.040113 ENSG00000145431
C1QTNF6 ENSG00000133466.9 0.425512 0.063324 ENSG00000133466
GIMAP4 ENSG00000133574.5 0.061682 0.037939 ENSG00000133574
CAT ENSG00000121691.4 0.213998 0.056038 ENSG00000121691
UGT2B15 ENSG00000196620.4 0.050061 0.034495 ENSG00000196620
PTPRN2 ENSG00000155093.13 0.108449 0.051993 ENSG00000155093
PODN ENSG00000174348.9 0.097721 0.043366 ENSG00000174348
KCNK17 ENSG00000124780.9 0.132366 0.052413 ENSG00000124780
LHFPL3 ENSG00000187416.7 0.013756 0.025463 ENSG00000187416
POLR2E ENSG00000099817.7 0.401619 0.066063 ENSG00000099817
GPR56 ENSG00000205336.7 0.04067 0.04629 ENSG00000205336
CLCN1 ENSG00000188037.6 0.12106 0.052431 ENSG00000188037
EREG ENSG00000124882.3 0.104091 0.042804 ENSG00000124882
FKBP8 ENSG00000105701.10 0.062228 0.037796 ENSG00000105701
SLC25A25 ENSG00000148339.8 0.030192 0.031934 ENSG00000148339
UBR3 ENSG00000144357.12 0.042377 0.039451 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.44728 0.063206 ENSG00000137860
ACOX3 ENSG00000087008.11 0.261984 0.064121 ENSG00000087008
OVCH1 ENSG00000187950.4 0.06208 0.039425 ENSG00000187950
PSMB8 ENSG00000204264.4 0.071855 0.045023 ENSG00000204264
KCNQ5 ENSG00000185760.11 0.033203 0.032108 ENSG00000185760
SON ENSG00000159140.13 0.017376 0.027473 ENSG00000159140
CCDC14 ENSG00000175455.10 0.05428 0.041716 ENSG00000175455
HTRA3 ENSG00000170801.5 0.110817 0.050788 ENSG00000170801
CPSF3 ENSG00000119203.9 0.020422 0.026672 ENSG00000119203
PCGF5 ENSG00000180628.10 0.036374 0.041173 ENSG00000180628
ITIH2 ENSG00000151655.13 0.28419 0.059372 ENSG00000151655
SEPHS1 ENSG00000086475.10 0.014794 0.029082 ENSG00000086475
ZNF223 ENSG00000178386.8 0.066393 0.053353 ENSG00000178386
TBC1D10C ENSG00000175463.7 0.038615 0.029895 ENSG00000175463
ESYT2 ENSG00000117868.11 0.037216 0.028411 ENSG00000117868
