AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
IFITM3 ENSG00000142089.11 0.252003 0.09064 ENSG00000142089
ARHGAP22 ENSG00000128805.10 0.07954 0.063884 ENSG00000128805
PCYOX1L ENSG00000145882.6 0.093374 0.062769 ENSG00000145882
AL359195.1 ENSG00000204038.3 0.225101 0.084418 ENSG00000204038
PKP4 ENSG00000144283.17 0.063409 0.071555 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.10548 0.078099 ENSG00000184292
GM2A ENSG00000196743.4 0.070578 0.068729 ENSG00000196743
PCDHB8 ENSG00000120322.2 0.12569 0.072287 ENSG00000120322
ZNF266 ENSG00000174652.13 0.096699 0.059171 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.154867 0.087872 ENSG00000178460
CYP4F31P ENSG00000178206.3 0.071247 0.058466 ENSG00000178206
WARS ENSG00000140105.13 0.081812 0.068461 ENSG00000140105
APOL4 ENSG00000100336.13 0.167641 0.093502 ENSG00000100336
LCK ENSG00000182866.12 0.071832 0.061758 ENSG00000182866
ETV7 ENSG00000010030.9 0.067613 0.056421 ENSG00000010030
C12orf61 ENSG00000221949.2 0.101656 0.090636 ENSG00000221949
PAQR5 ENSG00000137819.9 0.076579 0.055705 ENSG00000137819
ATMIN ENSG00000166454.5 0.203491 0.091744 ENSG00000166454
CDHR3 ENSG00000128536.11 0.159824 0.083088 ENSG00000128536
C15orf57 ENSG00000128891.11 0.104236 0.0601 ENSG00000128891
ARL14EP ENSG00000152219.4 0.116248 0.066944 ENSG00000152219
STXBP2 ENSG00000076944.10 0.062964 0.063925 ENSG00000076944
ANXA8L2 ENSG00000186807.9 0.319716 0.083083 ENSG00000186807
DARC ENSG00000213088.5 0.129104 0.089312 ENSG00000213088
CISD1 ENSG00000122873.7 0.120824 0.062912 ENSG00000122873
GAL ENSG00000069482.6 0.156779 0.072666 ENSG00000069482
TMEM50B ENSG00000142188.12 0.08228 0.062258 ENSG00000142188
PCSK5 ENSG00000099139.9 0.070651 0.077559 ENSG00000099139
CAST ENSG00000153113.19 0.111416 0.067453 ENSG00000153113
FAM83D ENSG00000101447.9 0.060872 0.065109 ENSG00000101447
ADAT1 ENSG00000065457.6 0.165687 0.078166 ENSG00000065457
NME4 ENSG00000103202.8 0.090078 0.076792 ENSG00000103202
GCC2 ENSG00000135968.15 0.158209 0.080187 ENSG00000135968
OPN4 ENSG00000122375.7 0.182604 0.082269 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.306669 0.077987 ENSG00000171903
NSFL1C ENSG00000088833.12 0.133891 0.082993 ENSG00000088833
FANCA ENSG00000187741.10 0.224793 0.079759 ENSG00000187741
RSPO4 ENSG00000101282.4 0.296092 0.098255 ENSG00000101282
PARP16 ENSG00000138617.10 0.05783 0.051627 ENSG00000138617
ZFP28 ENSG00000196867.3 0.092137 0.083158 ENSG00000196867
KIAA2013 ENSG00000116685.11 0.059353 0.060692 ENSG00000116685
FADS1 ENSG00000149485.12 0.065929 0.063243 ENSG00000149485
ZNF555 ENSG00000186300.7 0.093432 0.064485 ENSG00000186300
TRIM4 ENSG00000146833.11 0.10315 0.0603 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.106212 0.082096 ENSG00000100191
DTD1 ENSG00000125821.7 0.130271 0.070956 ENSG00000125821
SIRPB1 ENSG00000101307.11 0.356357 0.097061 ENSG00000101307
BSPRY ENSG00000119411.10 0.190994 0.082993 ENSG00000119411
COG5 ENSG00000164597.9 0.086992 0.062088 ENSG00000164597
MTHFS ENSG00000136371.5 0.242036 0.086856 ENSG00000136371
PPIP5K2 ENSG00000145725.14 0.243041 0.084426 ENSG00000145725
VLDLR ENSG00000147852.10 0.254222 0.09224 ENSG00000147852
C15orf38 ENSG00000242498.3 0.086838 0.077724 ENSG00000242498
C10orf107 ENSG00000183346.6 0.170901 0.073619 ENSG00000183346
BCAT1 ENSG00000060982.10 0.22824 0.096968 ENSG00000060982
PCDHB16 ENSG00000196963.2 0.210619 0.086421 ENSG00000196963
CDH23 ENSG00000107736.15 0.172818 0.083534 ENSG00000107736
CD40 ENSG00000101017.9 0.079286 0.064016 ENSG00000101017
TDRD6 ENSG00000180113.11 0.098667 0.073141 ENSG00000180113
RASGRP4 ENSG00000171777.11 0.168808 0.088865 ENSG00000171777
TRIM37 ENSG00000108395.9 0.101996 0.064384 ENSG00000108395
DSCC1 ENSG00000136982.5 0.128564 0.071667 ENSG00000136982
ANKDD1A ENSG00000166839.12 0.101862 0.066713 ENSG00000166839
COG6 ENSG00000133103.12 0.116266 0.072634 ENSG00000133103
SYTL2 ENSG00000137501.12 0.05562 0.065792 ENSG00000137501
ANXA8L1 ENSG00000150165.13 0.090795 0.061013 ENSG00000150165
MRPL2 ENSG00000112651.7 0.093141 0.078444 ENSG00000112651
ADRBK2 ENSG00000100077.9 0.087715 0.064257 ENSG00000100077
DDX11 ENSG00000013573.12 0.487443 0.078569 ENSG00000013573
ZNF589 ENSG00000164048.9 0.221276 0.086888 ENSG00000164048
ZNF605 ENSG00000196458.6 0.052735 0.048389 ENSG00000196458
TMEM230 ENSG00000089063.10 0.204726 0.099279 ENSG00000089063
BSG ENSG00000172270.14 0.12032 0.081916 ENSG00000172270
C4BPA ENSG00000123838.6 0.215989 0.076534 ENSG00000123838
CFD ENSG00000197766.3 0.075094 0.064054 ENSG00000197766
SLC25A51 ENSG00000122696.8 0.082524 0.077801 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.05721 0.047895 ENSG00000171130
CYP4F12 ENSG00000186204.9 0.063409 0.064258 ENSG00000186204
BMP2 ENSG00000125845.6 0.056773 0.050535 ENSG00000125845
PLEC ENSG00000178209.10 0.073246 0.057829 ENSG00000178209
ZNF554 ENSG00000172006.7 0.123171 0.083296 ENSG00000172006
LMBR1 ENSG00000105983.14 0.074684 0.079323 ENSG00000105983
BICD2 ENSG00000185963.9 0.113672 0.081765 ENSG00000185963
PGM1 ENSG00000079739.11 0.054786 0.049552 ENSG00000079739
MFNG ENSG00000100060.13 0.073085 0.072507 ENSG00000100060
PI16 ENSG00000164530.9 0.081739 0.068283 ENSG00000164530
LRRC8B ENSG00000197147.8 0.243891 0.080026 ENSG00000197147
RAVER2 ENSG00000162437.10 0.071929 0.068049 ENSG00000162437
CRYGN ENSG00000127377.4 0.1224 0.076944 ENSG00000127377
VPS28 ENSG00000160948.9 0.264649 0.096546 ENSG00000160948
KIAA1731 ENSG00000166004.10 0.080519 0.076312 ENSG00000166004
GSDMA ENSG00000167914.6 0.166078 0.070452 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.070056 0.065066 ENSG00000132196
ANO10 ENSG00000160746.8 0.072533 0.053778 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.097698 0.072528 ENSG00000112167
CHAF1A ENSG00000167670.11 0.084519 0.066994 ENSG00000167670
SRD5A3 ENSG00000128039.6 0.161415 0.067992 ENSG00000128039
TIMM21 ENSG00000075336.7 0.135085 0.075599 ENSG00000075336
PCSK9 ENSG00000169174.9 0.156152 0.08907 ENSG00000169174
IZUMO2 ENSG00000161652.8 0.170932 0.094637 ENSG00000161652
TARBP1 ENSG00000059588.5 0.095242 0.072532 ENSG00000059588
IRF6 ENSG00000117595.6 0.183458 0.073315 ENSG00000117595
KLHL10 ENSG00000161594.6 0.118068 0.058247 ENSG00000161594
POMZP3 ENSG00000146707.10 0.100029 0.058057 ENSG00000146707
DDT ENSG00000099977.9 0.13143 0.074041 ENSG00000099977
SEC16A ENSG00000148396.14 0.122324 0.086017 ENSG00000148396
CBS ENSG00000160200.13 0.118908 0.083106 ENSG00000160200
CCDC19 ENSG00000213085.5 0.054072 0.05515 ENSG00000213085
TRIOBP ENSG00000100106.15 0.058538 0.056478 ENSG00000100106
PDGFC ENSG00000145431.6 0.055226 0.061155 ENSG00000145431
GIMAP4 ENSG00000133574.5 0.071751 0.05635 ENSG00000133574
PTPRN2 ENSG00000155093.13 0.128991 0.077357 ENSG00000155093
PODN ENSG00000174348.9 0.159921 0.07522 ENSG00000174348
KCNK17 ENSG00000124780.9 0.052256 0.059659 ENSG00000124780
POLR2E ENSG00000099817.7 0.083711 0.084037 ENSG00000099817
EREG ENSG00000124882.3 0.05956 0.0462 ENSG00000124882
FKBP8 ENSG00000105701.10 0.068244 0.064335 ENSG00000105701
SLC28A2 ENSG00000137860.7 0.132441 0.06276 ENSG00000137860
ACOX3 ENSG00000087008.11 0.109141 0.079498 ENSG00000087008
OVCH1 ENSG00000187950.4 0.05679 0.058061 ENSG00000187950
CRTC1 ENSG00000105662.11 0.111615 0.069369 ENSG00000105662
PSMB8 ENSG00000204264.4 0.138808 0.071234 ENSG00000204264
SON ENSG00000159140.13 0.050411 0.077842 ENSG00000159140
CCDC14 ENSG00000175455.10 0.159205 0.071113 ENSG00000175455
SEPHS1 ENSG00000086475.10 0.070143 0.059013 ENSG00000086475
ESYT2 ENSG00000117868.11 0.146098 0.073547 ENSG00000117868
PTK6 ENSG00000101213.5 0.119382 0.062651 ENSG00000101213
ZNF121 ENSG00000197961.7 0.083231 0.06044 ENSG00000197961
NECAP1 ENSG00000089818.12 0.076222 0.061795 ENSG00000089818
CCDC146 ENSG00000135205.10 0.086078 0.070577 ENSG00000135205
ADAMTS7 ENSG00000136378.10 0.052913 0.06644 ENSG00000136378
ZNF333 ENSG00000160961.7 0.142949 0.082894 ENSG00000160961
C19orf25 ENSG00000119559.11 0.084501 0.082925 ENSG00000119559
ABCC8 ENSG00000006071.7 0.110635 0.066933 ENSG00000006071
TMEM132D ENSG00000151952.10 0.08507 0.09922 ENSG00000151952
WDR19 ENSG00000157796.13 0.073613 0.058142 ENSG00000157796
TAF1C ENSG00000103168.12 0.109825 0.081352 ENSG00000103168
FAM227A ENSG00000184949.10 0.096917 0.062196 ENSG00000184949
MAPK8IP3 ENSG00000138834.8 0.068252 0.0669 ENSG00000138834
ZNF320 ENSG00000182986.8 0.061502 0.069451 ENSG00000182986
PM20D1 ENSG00000162877.8 0.336808 0.08526 ENSG00000162877
CARD11 ENSG00000198286.5 0.130455 0.081535 ENSG00000198286
LRRC43 ENSG00000158113.8 0.054702 0.053437 ENSG00000158113
DCTN4 ENSG00000132912.8 0.070543 0.061636 ENSG00000132912
IL21R ENSG00000103522.11 0.290612 0.093676 ENSG00000103522
SYNGR1 ENSG00000100321.10 0.281406 0.076617 ENSG00000100321
GNG7 ENSG00000176533.8 0.060778 0.077702 ENSG00000176533
NDFIP1 ENSG00000131507.9 0.099693 0.072233 ENSG00000131507
GLDC ENSG00000178445.8 0.20411 0.087402 ENSG00000178445
SETD8 ENSG00000183955.8 0.079198 0.058386 ENSG00000183955
SDCCAG8 ENSG00000054282.11 0.159346 0.07265 ENSG00000054282
ZC3HAV1 ENSG00000105939.8 0.166761 0.087936 ENSG00000105939
CNOT3 ENSG00000088038.13 0.055535 0.07608 ENSG00000088038
TMEM200A ENSG00000164484.7 0.094953 0.068643 ENSG00000164484
AP3M1 ENSG00000185009.8 0.143145 0.079601 ENSG00000185009
ECHDC2 ENSG00000121310.12 0.080946 0.071774 ENSG00000121310
FAM193A ENSG00000125386.10 0.067841 0.054855 ENSG00000125386
ATP8A1 ENSG00000124406.12 0.110597 0.079351 ENSG00000124406
NPTXR ENSG00000221890.2 0.072396 0.067782 ENSG00000221890
FSD1 ENSG00000105255.6 0.238007 0.101754 ENSG00000105255
TRIB3 ENSG00000101255.6 0.097739 0.085118 ENSG00000101255
TMED1 ENSG00000099203.2 0.065242 0.065115 ENSG00000099203
HIST1H4H ENSG00000158406.2 0.067853 0.058326 ENSG00000158406
CD55 ENSG00000196352.9 0.108405 0.068795 ENSG00000196352
SNX31 ENSG00000174226.4 0.304795 0.093924 ENSG00000174226
WFDC1 ENSG00000103175.6 0.08194 0.091228 ENSG00000103175
NSMAF ENSG00000035681.3 0.074853 0.071182 ENSG00000035681
EFCAB13 ENSG00000178852.11 0.101688 0.063019 ENSG00000178852
CLEC18C ENSG00000157335.15 0.343779 0.084437 ENSG00000157335
FAS ENSG00000026103.15 0.120097 0.071321 ENSG00000026103
GNS ENSG00000135677.6 0.11032 0.067446 ENSG00000135677
ASB8 ENSG00000177981.6 0.065168 0.057458 ENSG00000177981
NUP43 ENSG00000120253.9 0.089904 0.06578 ENSG00000120253
PROK1 ENSG00000143125.5 0.093428 0.070071 ENSG00000143125
FARP1 ENSG00000152767.11 0.071829 0.070328 ENSG00000152767
TTC18 ENSG00000156042.13 0.133357 0.079586 ENSG00000156042
PKD2 ENSG00000118762.3 0.083588 0.059135 ENSG00000118762
GNMT ENSG00000124713.5 0.067852 0.052824 ENSG00000124713
PLD1 ENSG00000075651.11 0.055496 0.058474 ENSG00000075651
FAM109A ENSG00000198324.10 0.11998 0.075338 ENSG00000198324
P2RY13 ENSG00000181631.6 0.079575 0.05901 ENSG00000181631
MRI1 ENSG00000037757.9 0.12076 0.079435 ENSG00000037757
ZNF419 ENSG00000105136.15 0.166087 0.072867 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.101728 0.070404 ENSG00000198203
ATF2 ENSG00000115966.12 0.075127 0.065047 ENSG00000115966
GDPD5 ENSG00000158555.10 0.050064 0.068544 ENSG00000158555
TEFM ENSG00000172171.6 0.110177 0.070315 ENSG00000172171
CCDC3 ENSG00000151468.9 0.060678 0.079021 ENSG00000151468
CHIT1 ENSG00000133063.11 0.111387 0.072003 ENSG00000133063
SPC25 ENSG00000152253.4 0.093816 0.068255 ENSG00000152253
AMH ENSG00000104899.3 0.189308 0.09437 ENSG00000104899
ZCCHC7 ENSG00000147905.13 0.094813 0.068824 ENSG00000147905
ARHGEF7 ENSG00000102606.13 0.106392 0.072336 ENSG00000102606
BOK ENSG00000176720.3 0.075991 0.056893 ENSG00000176720
STX2 ENSG00000111450.9 0.1845 0.089413 ENSG00000111450
SLC47A2 ENSG00000180638.13 0.073114 0.058059 ENSG00000180638
ATP6V1D ENSG00000100554.7 0.061928 0.064718 ENSG00000100554
MSX2 ENSG00000120149.7 0.063305 0.083719 ENSG00000120149
RRP1B ENSG00000160208.11 0.13648 0.071821 ENSG00000160208
ST8SIA1 ENSG00000111728.6 0.099473 0.067191 ENSG00000111728
NUP54 ENSG00000138750.10 0.217287 0.075079 ENSG00000138750
RRP36 ENSG00000124541.6 0.107718 0.070593 ENSG00000124541
POLR1A ENSG00000068654.11 0.068894 0.054187 ENSG00000068654
METTL9 ENSG00000197006.9 0.174364 0.076913 ENSG00000197006
FBLL1 ENSG00000188573.7 0.203548 0.091071 ENSG00000188573
HSPA12B ENSG00000132622.6 0.059203 0.066247 ENSG00000132622
DLD ENSG00000091140.8 0.069289 0.065548 ENSG00000091140
NDNF ENSG00000173376.9 0.14345 0.062883 ENSG00000173376
MBD3 ENSG00000071655.12 0.079753 0.082466 ENSG00000071655
LBP ENSG00000129988.5 0.05839 0.056987 ENSG00000129988
PM20D2 ENSG00000146281.5 0.212107 0.088947 ENSG00000146281
SLC2A4 ENSG00000181856.10 0.084742 0.06005 ENSG00000181856
PROZ ENSG00000126231.9 0.088346 0.066541 ENSG00000126231
MZT1 ENSG00000204899.5 0.125359 0.076007 ENSG00000204899
LAMC1 ENSG00000135862.5 0.072685 0.054822 ENSG00000135862
POM121L2 ENSG00000158553.3 0.083247 0.06598 ENSG00000158553
JAG2 ENSG00000184916.4 0.077974 0.06902 ENSG00000184916
TCTEX1D1 ENSG00000152760.5 0.09974 0.067625 ENSG00000152760
DNASE1L1 ENSG00000013563.8 0.118792 0.073798 ENSG00000013563
ALCAM ENSG00000170017.8 0.113897 0.069963 ENSG00000170017
C4orf22 ENSG00000197826.7 0.066433 0.058952 ENSG00000197826
NCOA1 ENSG00000084676.11 0.115597 0.078109 ENSG00000084676
ZNF83 ENSG00000167766.13 0.117073 0.078924 ENSG00000167766
SSBP4 ENSG00000130511.10 0.081673 0.057475 ENSG00000130511
DHX37 ENSG00000150990.3 0.062327 0.077428 ENSG00000150990
ZNF69 ENSG00000198429.5 0.142946 0.075455 ENSG00000198429
FAM102B ENSG00000162636.11 0.135853 0.07636 ENSG00000162636
PGA5 ENSG00000256713.3 0.119245 0.076744 ENSG00000256713
AL161915.1 ENSG00000212670.1 0.08482 0.057827 ENSG00000212670
OR10AD1 ENSG00000172640.2 0.057769 0.053606 ENSG00000172640
ADAMTS14 ENSG00000138316.6 0.098866 0.081138 ENSG00000138316
APBB1IP ENSG00000077420.11 0.0524 0.053605 ENSG00000077420
HPD ENSG00000158104.7 0.056287 0.057896 ENSG00000158104
SSX2IP ENSG00000117155.12 0.051978 0.060054 ENSG00000117155
CCDC82 ENSG00000149231.7 0.078774 0.067188 ENSG00000149231
AGAP3 ENSG00000133612.14 0.087244 0.063026 ENSG00000133612
DRAM1 ENSG00000136048.9 0.109057 0.088818 ENSG00000136048
NUCB1 ENSG00000104805.11 0.065685 0.060985 ENSG00000104805
CPSF1 ENSG00000071894.10 0.260449 0.087658 ENSG00000071894
LIMD2 ENSG00000136490.4 0.065857 0.051259 ENSG00000136490
RAB11FIP4 ENSG00000131242.11 0.275135 0.086065 ENSG00000131242
HP ENSG00000257017.4 0.207908 0.087532 ENSG00000257017
MYH10 ENSG00000133026.8 0.061674 0.053662 ENSG00000133026
GTSE1 ENSG00000075218.14 0.052131 0.062659 ENSG00000075218
AKAP7 ENSG00000118507.11 0.075813 0.064887 ENSG00000118507
PRPH2 ENSG00000112619.6 0.10345 0.066527 ENSG00000112619
ALDH8A1 ENSG00000118514.9 0.230924 0.076236 ENSG00000118514
MCM10 ENSG00000065328.12 0.088202 0.07626 ENSG00000065328
FAM86C1 ENSG00000158483.11 0.061936 0.07279 ENSG00000158483
SLC45A4 ENSG00000022567.5 0.298356 0.096474 ENSG00000022567
SLC44A3 ENSG00000143036.12 0.325867 0.078957 ENSG00000143036
TLN2 ENSG00000171914.10 0.164663 0.085695 ENSG00000171914
NPRL3 ENSG00000103148.11 0.082229 0.067442 ENSG00000103148
TCP11L1 ENSG00000176148.11 0.081528 0.065168 ENSG00000176148
NUDT5 ENSG00000165609.8 0.089995 0.066111 ENSG00000165609
TRMT44 ENSG00000155275.14 0.135077 0.073577 ENSG00000155275
NR1H3 ENSG00000025434.14 0.058872 0.046076 ENSG00000025434
UBE2S ENSG00000108106.9 0.100055 0.084779 ENSG00000108106
CLCN3 ENSG00000109572.9 0.093851 0.074185 ENSG00000109572
CENPM ENSG00000100162.10 0.099693 0.062365 ENSG00000100162
NUSAP1 ENSG00000137804.8 0.068151 0.048769 ENSG00000137804
FPR1 ENSG00000171051.4 0.181747 0.091601 ENSG00000171051
ZNF765 ENSG00000196417.8 0.058081 0.069597 ENSG00000196417
RPL14 ENSG00000188846.9 0.146979 0.083997 ENSG00000188846
PIEZO1 ENSG00000103335.15 0.052205 0.050024 ENSG00000103335
CCBL2 ENSG00000137944.12 0.227459 0.084761 ENSG00000137944
GPR125 ENSG00000152990.9 0.096141 0.068031 ENSG00000152990
THBD ENSG00000178726.6 0.092465 0.069146 ENSG00000178726
TBC1D4 ENSG00000136111.8 0.078455 0.063271 ENSG00000136111
SPON2 ENSG00000159674.7 0.075452 0.075266 ENSG00000159674
BEGAIN ENSG00000183092.11 0.117435 0.062362 ENSG00000183092
ASCL5 ENSG00000232237.2 0.206687 0.091688 ENSG00000232237
TMTC4 ENSG00000125247.11 0.121482 0.077694 ENSG00000125247
MCOLN1 ENSG00000090674.11 0.130871 0.09815 ENSG00000090674
FKBP15 ENSG00000119321.4 0.169437 0.096778 ENSG00000119321
CAPS ENSG00000105519.8 0.078839 0.078584 ENSG00000105519
TPPP2 ENSG00000179636.10 0.076959 0.083071 ENSG00000179636
DERA ENSG00000023697.8 0.053703 0.055819 ENSG00000023697
ITPA ENSG00000125877.7 0.069907 0.078555 ENSG00000125877
RP3-402G11.5 ENSG00000073169.9 0.142313 0.088118 ENSG00000073169
SMIM17 ENSG00000268182.1 0.082401 0.071137 ENSG00000268182
OSGIN1 ENSG00000140961.8 0.188231 0.09733 ENSG00000140961
MAP3K9 ENSG00000006432.11 0.06164 0.072409 ENSG00000006432
KRI1 ENSG00000129347.15 0.089142 0.065297 ENSG00000129347
SLC7A11 ENSG00000151012.9 0.096551 0.072739 ENSG00000151012
HMOX2 ENSG00000103415.7 0.071872 0.071056 ENSG00000103415
SEC23B ENSG00000101310.10 0.132019 0.071217 ENSG00000101310
GIMAP6 ENSG00000133561.11 0.052926 0.053463 ENSG00000133561
C13orf45 ENSG00000178734.4 0.286394 0.081885 ENSG00000178734
ZDHHC13 ENSG00000177054.9 0.055851 0.070894 ENSG00000177054
LINGO2 ENSG00000174482.6 0.401921 0.085768 ENSG00000174482
PRPF31 ENSG00000105618.9 0.075587 0.068141 ENSG00000105618
ATP2C2 ENSG00000064270.8 0.197804 0.096625 ENSG00000064270
ATF6 ENSG00000118217.5 0.056961 0.063178 ENSG00000118217
MPG ENSG00000103152.7 0.09019 0.072234 ENSG00000103152
ZNF628 ENSG00000197483.8 0.212617 0.093339 ENSG00000197483
VSTM5 ENSG00000214376.5 0.163773 0.087853 ENSG00000214376
SNX7 ENSG00000162627.12 0.091037 0.066579 ENSG00000162627
NIPSNAP1 ENSG00000184117.7 0.169333 0.080468 ENSG00000184117
LAMC2 ENSG00000058085.10 0.246348 0.078789 ENSG00000058085
UBAP2L ENSG00000143569.14 0.21631 0.094344 ENSG00000143569
PARP14 ENSG00000173193.9 0.061292 0.057557 ENSG00000173193
TMEM165 ENSG00000134851.7 0.169908 0.077608 ENSG00000134851
JHDM1D ENSG00000006459.6 0.052466 0.061028 ENSG00000006459
LILRA3 ENSG00000170866.7 0.078125 0.094857 ENSG00000170866
TPPP3 ENSG00000159713.6 0.053807 0.047816 ENSG00000159713
STK38 ENSG00000112079.8 0.054526 0.059429 ENSG00000112079
UROD ENSG00000126088.8 0.116827 0.065175 ENSG00000126088
MSH3 ENSG00000113318.9 0.061685 0.063232 ENSG00000113318
CDCA5 ENSG00000146670.5 0.052525 0.054637 ENSG00000146670
MAS1L ENSG00000204687.3 0.1165 0.079547 ENSG00000204687
FAM134B ENSG00000154153.9 0.109366 0.076455 ENSG00000154153
GLUD1 ENSG00000148672.7 0.109106 0.068013 ENSG00000148672
IGSF11 ENSG00000144847.8 0.074264 0.059313 ENSG00000144847
C5orf63 ENSG00000164241.9 0.231094 0.075223 ENSG00000164241
PEX6 ENSG00000124587.9 0.067741 0.070263 ENSG00000124587
NUP205 ENSG00000155561.10 0.068172 0.055278 ENSG00000155561
IQGAP3 ENSG00000183856.6 0.10614 0.072251 ENSG00000183856
RPAIN ENSG00000129197.10 0.076235 0.058622 ENSG00000129197
CFHR3 ENSG00000116785.9 0.274452 0.088833 ENSG00000116785
TMEM234 ENSG00000160055.15 0.088294 0.073689 ENSG00000160055
HENMT1 ENSG00000162639.11 0.05829 0.06125 ENSG00000162639
AP3D1 ENSG00000065000.11 0.104656 0.067408 ENSG00000065000
GJB2 ENSG00000165474.5 0.066629 0.054168 ENSG00000165474
GLG1 ENSG00000090863.7 0.124791 0.077268 ENSG00000090863
SERINC3 ENSG00000132824.9 0.056344 0.068556 ENSG00000132824
BEAN1 ENSG00000166546.9 0.064433 0.057385 ENSG00000166546
UQCR10 ENSG00000184076.10 0.054681 0.056573 ENSG00000184076
