AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
KRT23 ENSG00000108244.12 0.035627 0.049301 ENSG00000108244
NUDT7 ENSG00000140876.7 0.308714 0.078898 ENSG00000140876
FADS2 ENSG00000134824.9 0.020978 0.034206 ENSG00000134824
LRRC37A ENSG00000176681.10 0.066859 0.048475 ENSG00000176681
TFIP11 ENSG00000100109.12 0.06106 0.077834 ENSG00000100109
C10orf128 ENSG00000204161.9 0.014441 0.038287 ENSG00000204161
CCDC15 ENSG00000149548.10 0.111174 0.060037 ENSG00000149548
NT5C3B ENSG00000141698.12 0.040119 0.042563 ENSG00000141698
ADCK3 ENSG00000163050.11 0.04566 0.044707 ENSG00000163050
FCGR2B ENSG00000072694.14 0.01216 0.051045 ENSG00000072694
LILRB5 ENSG00000105609.12 0.081526 0.08005 ENSG00000105609
CTSW ENSG00000172543.3 0.030429 0.041537 ENSG00000172543
GCAT ENSG00000100116.12 0.139818 0.071087 ENSG00000100116
NT5E ENSG00000135318.7 0.042042 0.044969 ENSG00000135318
CES1 ENSG00000198848.8 0.019136 0.034786 ENSG00000198848
ZNF436 ENSG00000125945.9 0.024965 0.050158 ENSG00000125945
CCDC94 ENSG00000105248.11 0.052075 0.053683 ENSG00000105248
HAUS4 ENSG00000092036.12 0.200798 0.077828 ENSG00000092036
EHMT1 ENSG00000181090.13 0.011475 0.030981 ENSG00000181090
GRHPR ENSG00000137106.13 0.026283 0.043427 ENSG00000137106
BAMBI ENSG00000095739.7 0.043431 0.061365 ENSG00000095739
LILRA4 ENSG00000239961.2 0.125629 0.089357 ENSG00000239961
KIAA1715 ENSG00000144320.9 0.010816 0.037984 ENSG00000144320
QRSL1 ENSG00000130348.7 0.081028 0.062827 ENSG00000130348
STOX1 ENSG00000165730.10 0.01438 0.043652 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.140164 0.07554 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.090386 0.058426 ENSG00000100197
SLC1A7 ENSG00000162383.7 0.215225 0.076893 ENSG00000162383
CNGA1 ENSG00000198515.9 0.345303 0.072235 ENSG00000198515
G6PC2 ENSG00000152254.6 0.117908 0.061949 ENSG00000152254
APIP ENSG00000149089.8 0.093336 0.059072 ENSG00000149089
TUFM ENSG00000178952.4 0.088214 0.055485 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.113695 0.072001 ENSG00000156113
HIF1A ENSG00000100644.12 0.052138 0.054627 ENSG00000100644
RRP7A ENSG00000189306.6 0.074713 0.058719 ENSG00000189306
RPTN ENSG00000215853.3 0.037919 0.039932 ENSG00000215853
IFITM3 ENSG00000142089.11 0.048047 0.046358 ENSG00000142089
LIMS2 ENSG00000072163.14 0.035748 0.050195 ENSG00000072163
CCDC109B ENSG00000005059.11 0.08974 0.065505 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.030384 0.046313 ENSG00000145882
RBPMS2 ENSG00000166831.4 0.026696 0.037539 ENSG00000166831
SMIM20 ENSG00000250317.4 0.011456 0.04722 ENSG00000250317
C8B ENSG00000021852.8 0.084143 0.065084 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.045886 0.043977 ENSG00000204038
PKP4 ENSG00000144283.17 0.015563 0.034256 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.057833 0.053486 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.090802 0.056165 ENSG00000120322
ZNF266 ENSG00000174652.13 0.054419 0.051753 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.098401 0.062525 ENSG00000178460
APOL4 ENSG00000100336.13 0.155152 0.077082 ENSG00000100336
NTPCR ENSG00000135778.6 0.110447 0.071454 ENSG00000135778
ETV7 ENSG00000010030.9 0.085505 0.06286 ENSG00000010030
TEK ENSG00000120156.16 0.072903 0.066788 ENSG00000120156
POLR2J ENSG00000005075.11 0.111041 0.065726 ENSG00000005075
C12orf61 ENSG00000221949.2 0.014546 0.043798 ENSG00000221949
MOSPD3 ENSG00000106330.7 0.013288 0.034847 ENSG00000106330
PAQR5 ENSG00000137819.9 0.027229 0.039401 ENSG00000137819
PMM2 ENSG00000140650.7 0.037992 0.05359 ENSG00000140650
ATMIN ENSG00000166454.5 0.075048 0.073558 ENSG00000166454
GBP3 ENSG00000117226.7 0.105854 0.062651 ENSG00000117226
CDHR3 ENSG00000128536.11 0.082592 0.065967 ENSG00000128536
IFT88 ENSG00000032742.13 0.041727 0.052934 ENSG00000032742
ARL14EP ENSG00000152219.4 0.034267 0.037093 ENSG00000152219
ANXA8L2 ENSG00000186807.9 0.029743 0.04251 ENSG00000186807
GSTM2 ENSG00000213366.8 0.08189 0.065959 ENSG00000213366
ZNF205 ENSG00000122386.6 0.031217 0.049429 ENSG00000122386
RBM43 ENSG00000184898.6 0.0249 0.033058 ENSG00000184898
CISD1 ENSG00000122873.7 0.018642 0.031785 ENSG00000122873
GAL ENSG00000069482.6 0.031963 0.039254 ENSG00000069482
TMEM50B ENSG00000142188.12 0.11363 0.063914 ENSG00000142188
SCO2 ENSG00000130489.8 0.027712 0.044865 ENSG00000130489
RAD51C ENSG00000108384.10 0.178816 0.060212 ENSG00000108384
PCSK5 ENSG00000099139.9 0.034976 0.062817 ENSG00000099139
USP53 ENSG00000145390.7 0.078835 0.056244 ENSG00000145390
CAST ENSG00000153113.19 0.164493 0.070337 ENSG00000153113
C17orf97 ENSG00000187624.7 0.034401 0.052463 ENSG00000187624
ARL17B ENSG00000228696.4 0.04982 0.03916 ENSG00000228696
CAMK1D ENSG00000183049.8 0.052839 0.053219 ENSG00000183049
GLIS3 ENSG00000107249.17 0.181647 0.090202 ENSG00000107249
ISL2 ENSG00000159556.5 0.037479 0.040299 ENSG00000159556
FAM83D ENSG00000101447.9 0.040151 0.058942 ENSG00000101447
ADAT1 ENSG00000065457.6 0.013545 0.035595 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.018743 0.050229 ENSG00000113716
TJP2 ENSG00000119139.12 0.061942 0.050155 ENSG00000119139
GCC2 ENSG00000135968.15 0.152025 0.058626 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.06878 0.046815 ENSG00000123610
OPN4 ENSG00000122375.7 0.107018 0.054074 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.064557 0.061766 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.104675 0.066196 ENSG00000171903
MAPK14 ENSG00000112062.6 0.024311 0.044939 ENSG00000112062
FANCA ENSG00000187741.10 0.035013 0.039659 ENSG00000187741
RSPO4 ENSG00000101282.4 0.094725 0.07146 ENSG00000101282
MAML3 ENSG00000196782.8 0.032637 0.045738 ENSG00000196782
UBE2Z ENSG00000159202.13 0.08677 0.057786 ENSG00000159202
GSTM1 ENSG00000134184.8 0.119462 0.066807 ENSG00000134184
ZFP28 ENSG00000196867.3 0.042795 0.047733 ENSG00000196867
KIAA2013 ENSG00000116685.11 0.085218 0.060113 ENSG00000116685
FADS1 ENSG00000149485.12 0.035845 0.041269 ENSG00000149485
TRIM4 ENSG00000146833.11 0.175537 0.068762 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.154184 0.073997 ENSG00000100191
DTD1 ENSG00000125821.7 0.046128 0.053276 ENSG00000125821
SIRPB1 ENSG00000101307.11 0.18364 0.085693 ENSG00000101307
BSPRY ENSG00000119411.10 0.03427 0.054551 ENSG00000119411
MTHFS ENSG00000136371.5 0.067052 0.062083 ENSG00000136371
C15orf38 ENSG00000242498.3 0.058866 0.062485 ENSG00000242498
USP37 ENSG00000135913.6 0.078363 0.061471 ENSG00000135913
ASNSD1 ENSG00000138381.5 0.08189 0.054459 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.258966 0.079163 ENSG00000196963
TMEM45A ENSG00000181458.6 0.011683 0.027815 ENSG00000181458
ZFP90 ENSG00000184939.10 0.027875 0.03222 ENSG00000184939
TXNDC2 ENSG00000168454.9 0.012502 0.058794 ENSG00000168454
CD40 ENSG00000101017.9 0.019533 0.036593 ENSG00000101017
ZNF586 ENSG00000083828.11 0.099844 0.054542 ENSG00000083828
TDRD6 ENSG00000180113.11 0.058136 0.051873 ENSG00000180113
CCDC74A ENSG00000163040.10 0.01076 0.03059 ENSG00000163040
TRIM37 ENSG00000108395.9 0.057204 0.038634 ENSG00000108395
VPS36 ENSG00000136100.8 0.035275 0.048406 ENSG00000136100
CHML ENSG00000203668.1 0.049335 0.05349 ENSG00000203668
COG6 ENSG00000133103.12 0.08389 0.05511 ENSG00000133103
CELF3 ENSG00000159409.10 0.057428 0.051684 ENSG00000159409
ORAI2 ENSG00000160991.10 0.0304 0.036613 ENSG00000160991
ANXA8L1 ENSG00000150165.13 0.030183 0.039315 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.017839 0.032752 ENSG00000197375
APOLD1 ENSG00000178878.7 0.045271 0.060669 ENSG00000178878
KL ENSG00000133116.6 0.030876 0.051364 ENSG00000133116
NIPAL1 ENSG00000163293.7 0.131168 0.063953 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.010098 0.04777 ENSG00000100077
DDX11 ENSG00000013573.12 0.077002 0.053774 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.059949 0.046723 ENSG00000136144
NR2F6 ENSG00000160113.5 0.05264 0.052695 ENSG00000160113
C22orf43 ENSG00000189269.7 0.047529 0.046315 ENSG00000189269
BSG ENSG00000172270.14 0.023572 0.044401 ENSG00000172270
SLC35D1 ENSG00000116704.6 0.027795 0.045539 ENSG00000116704
SLC25A51 ENSG00000122696.8 0.036228 0.048692 ENSG00000122696
CYP4F12 ENSG00000186204.9 0.10007 0.056491 ENSG00000186204
PLEC ENSG00000178209.10 0.025808 0.038602 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.022039 0.031974 ENSG00000108592
CLEC4A ENSG00000111729.8 0.035977 0.047983 ENSG00000111729
PGM1 ENSG00000079739.11 0.067158 0.060657 ENSG00000079739
RPH3A ENSG00000089169.10 0.037214 0.041521 ENSG00000089169
CRISP2 ENSG00000124490.9 0.048715 0.046011 ENSG00000124490
STEAP1B ENSG00000105889.10 0.134003 0.069203 ENSG00000105889
ERO1LB ENSG00000086619.9 0.052814 0.04913 ENSG00000086619
LRRC8B ENSG00000197147.8 0.044048 0.046836 ENSG00000197147
PANK3 ENSG00000120137.6 0.075624 0.067055 ENSG00000120137
RAVER2 ENSG00000162437.10 0.085275 0.068529 ENSG00000162437
CRYGN ENSG00000127377.4 0.015198 0.044572 ENSG00000127377
COX6B2 ENSG00000160471.7 0.052744 0.071203 ENSG00000160471
ZNF783 ENSG00000204946.5 0.075667 0.065328 ENSG00000204946
VPS28 ENSG00000160948.9 0.077651 0.057672 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.017337 0.023116 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.046546 0.064534 ENSG00000166004
GSDMA ENSG00000167914.6 0.372849 0.074455 ENSG00000167914
EIF4G3 ENSG00000075151.15 0.044902 0.052182 ENSG00000075151
ANO10 ENSG00000160746.8 0.03151 0.042993 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.095576 0.062448 ENSG00000112167
CHAF1A ENSG00000167670.11 0.065925 0.058888 ENSG00000167670
UBN2 ENSG00000157741.9 0.017789 0.036504 ENSG00000157741
SERPINA12 ENSG00000165953.5 0.013656 0.056438 ENSG00000165953
SUPT16H ENSG00000092201.5 0.015864 0.050704 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.132132 0.062881 ENSG00000128039
ZNF763 ENSG00000197054.7 0.040613 0.04658 ENSG00000197054
TIMM21 ENSG00000075336.7 0.024298 0.053209 ENSG00000075336
IRF6 ENSG00000117595.6 0.033443 0.049491 ENSG00000117595
KLHL10 ENSG00000161594.6 0.017507 0.034852 ENSG00000161594
TNNT1 ENSG00000105048.12 0.059518 0.06855 ENSG00000105048
FBN1 ENSG00000166147.9 0.015369 0.031762 ENSG00000166147
POMZP3 ENSG00000146707.10 0.06974 0.052558 ENSG00000146707
SIN3B ENSG00000127511.5 0.079667 0.064445 ENSG00000127511
SUPT4H1 ENSG00000213246.2 0.011805 0.030716 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.068954 0.055897 ENSG00000163145
IQCE ENSG00000106012.13 0.05464 0.046577 ENSG00000106012
CBS ENSG00000160200.13 0.054203 0.058048 ENSG00000160200
TRIOBP ENSG00000100106.15 0.056566 0.051092 ENSG00000100106
PPWD1 ENSG00000113593.7 0.158834 0.074401 ENSG00000113593
PDGFC ENSG00000145431.6 0.016802 0.031073 ENSG00000145431
C1QTNF6 ENSG00000133466.9 0.035531 0.044956 ENSG00000133466
CAT ENSG00000121691.4 0.05517 0.052295 ENSG00000121691
PODN ENSG00000174348.9 0.179212 0.075877 ENSG00000174348
KCNK17 ENSG00000124780.9 0.122141 0.063969 ENSG00000124780
POLR2E ENSG00000099817.7 0.032196 0.051461 ENSG00000099817
INSIG1 ENSG00000186480.8 0.06681 0.06297 ENSG00000186480
EREG ENSG00000124882.3 0.050168 0.048015 ENSG00000124882
SLC25A25 ENSG00000148339.8 0.044533 0.056127 ENSG00000148339
UBR3 ENSG00000144357.12 0.022693 0.051576 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.036529 0.034208 ENSG00000137860
ACOX3 ENSG00000087008.11 0.221329 0.09275 ENSG00000087008
ZNF296 ENSG00000170684.4 0.116354 0.080415 ENSG00000170684
HTRA3 ENSG00000170801.5 0.03271 0.059647 ENSG00000170801
CPSF3 ENSG00000119203.9 0.039829 0.047927 ENSG00000119203
PCGF5 ENSG00000180628.10 0.038652 0.039217 ENSG00000180628
ITIH2 ENSG00000151655.13 0.099089 0.071191 ENSG00000151655
TRIB2 ENSG00000071575.7 0.020313 0.033468 ENSG00000071575
SEPHS1 ENSG00000086475.10 0.02707 0.050878 ENSG00000086475
TBC1D10C ENSG00000175463.7 0.02736 0.040199 ENSG00000175463
ESYT2 ENSG00000117868.11 0.044227 0.052164 ENSG00000117868
EMR1 ENSG00000174837.10 0.01219 0.031553 ENSG00000174837
CYTH1 ENSG00000108669.12 0.013224 0.044067 ENSG00000108669
NECAP1 ENSG00000089818.12 0.038743 0.045578 ENSG00000089818
CCDC146 ENSG00000135205.10 0.048598 0.050735 ENSG00000135205
ADAMTS7 ENSG00000136378.10 0.024537 0.04444 ENSG00000136378
TIGD3 ENSG00000173825.6 0.079846 0.053039 ENSG00000173825
ZNF333 ENSG00000160961.7 0.058128 0.05574 ENSG00000160961
C19orf25 ENSG00000119559.11 0.044638 0.071177 ENSG00000119559
TMEM132D ENSG00000151952.10 0.081252 0.096063 ENSG00000151952
TAF1C ENSG00000103168.12 0.075537 0.081365 ENSG00000103168
FCRLB ENSG00000162746.10 0.045556 0.057219 ENSG00000162746
FAM227A ENSG00000184949.10 0.089545 0.056166 ENSG00000184949
ST14 ENSG00000149418.6 0.033874 0.045619 ENSG00000149418
HDDC2 ENSG00000111906.12 0.161364 0.082652 ENSG00000111906
PF4V1 ENSG00000109272.3 0.0346 0.039172 ENSG00000109272
H1F0 ENSG00000189060.4 0.044478 0.061966 ENSG00000189060
SDHC ENSG00000143252.9 0.068069 0.057354 ENSG00000143252
PM20D1 ENSG00000162877.8 0.02398 0.037328 ENSG00000162877
CARD11 ENSG00000198286.5 0.016492 0.048771 ENSG00000198286
SCD5 ENSG00000145284.7 0.074694 0.055276 ENSG00000145284
RASL11A ENSG00000122035.6 0.077726 0.068892 ENSG00000122035
LRRC43 ENSG00000158113.8 0.073591 0.057974 ENSG00000158113
CCDC79 ENSG00000249961.5 0.038785 0.049247 ENSG00000249961
L1TD1 ENSG00000240563.1 0.34844 0.080396 ENSG00000240563
IL21R ENSG00000103522.11 0.070836 0.063936 ENSG00000103522
AIP ENSG00000110711.4 0.01795 0.039748 ENSG00000110711
NAIF1 ENSG00000171169.8 0.056155 0.053395 ENSG00000171169
CCDC66 ENSG00000180376.12 0.016382 0.036376 ENSG00000180376
GNG7 ENSG00000176533.8 0.056911 0.060444 ENSG00000176533
IL11 ENSG00000095752.2 0.083398 0.079162 ENSG00000095752
NDFIP1 ENSG00000131507.9 0.012143 0.040521 ENSG00000131507
FAM170B ENSG00000172538.6 0.054986 0.050866 ENSG00000172538
RSPRY1 ENSG00000159579.9 0.03998 0.059571 ENSG00000159579
ZC3HAV1 ENSG00000105939.8 0.045343 0.048993 ENSG00000105939
CNOT3 ENSG00000088038.13 0.131769 0.081544 ENSG00000088038
SESTD1 ENSG00000187231.9 0.027888 0.056521 ENSG00000187231
TMEM200A ENSG00000164484.7 0.056194 0.054108 ENSG00000164484
TPO ENSG00000115705.16 0.017025 0.032693 ENSG00000115705
SLC24A3 ENSG00000185052.7 0.029093 0.056685 ENSG00000185052
COPS3 ENSG00000141030.8 0.076191 0.056067 ENSG00000141030
ATP8A1 ENSG00000124406.12 0.222853 0.073592 ENSG00000124406
FAAH ENSG00000117480.11 0.062881 0.048102 ENSG00000117480
KBTBD8 ENSG00000163376.7 0.014683 0.031888 ENSG00000163376
VPS13B ENSG00000132549.14 0.02045 0.043509 ENSG00000132549
TRIB3 ENSG00000101255.6 0.077694 0.068195 ENSG00000101255
GSTK1 ENSG00000197448.9 0.049322 0.052959 ENSG00000197448
HIST1H4H ENSG00000158406.2 0.024943 0.047831 ENSG00000158406
MTPN ENSG00000105887.10 0.037725 0.04941 ENSG00000105887
C3orf49 ENSG00000163632.8 0.010445 0.033831 ENSG00000163632
SNX31 ENSG00000174226.4 0.226919 0.081903 ENSG00000174226
EFCAB13 ENSG00000178852.11 0.117119 0.062491 ENSG00000178852
SSB ENSG00000138385.11 0.049213 0.054446 ENSG00000138385
FAS ENSG00000026103.15 0.26606 0.071616 ENSG00000026103
SYTL1 ENSG00000142765.13 0.073745 0.049569 ENSG00000142765
RHPN1 ENSG00000158106.8 0.051373 0.047017 ENSG00000158106
CCR3 ENSG00000183625.10 0.038932 0.044617 ENSG00000183625
WHAMM ENSG00000156232.6 0.020553 0.044011 ENSG00000156232
BTN2A1 ENSG00000112763.11 0.028005 0.033833 ENSG00000112763
SCN9A ENSG00000169432.10 0.01361 0.036648 ENSG00000169432
ASB8 ENSG00000177981.6 0.012658 0.03232 ENSG00000177981
NUP43 ENSG00000120253.9 0.11114 0.060335 ENSG00000120253
SEC22A ENSG00000121542.7 0.026557 0.042025 ENSG00000121542
ARPC1B ENSG00000130429.8 0.041316 0.03755 ENSG00000130429
XRCC6BP1 ENSG00000166896.3 0.052426 0.057832 ENSG00000166896
PSMB10 ENSG00000205220.7 0.028331 0.03901 ENSG00000205220
MYO16 ENSG00000041515.11 0.107306 0.075643 ENSG00000041515
LURAP1L ENSG00000153714.5 0.110349 0.07228 ENSG00000153714
PROK1 ENSG00000143125.5 0.033132 0.052595 ENSG00000143125
ACTR3B ENSG00000133627.13 0.036906 0.067306 ENSG00000133627
ITGA9 ENSG00000144668.7 0.033357 0.043158 ENSG00000144668
AK5 ENSG00000154027.14 0.066973 0.055827 ENSG00000154027
FBXW2 ENSG00000119402.11 0.018685 0.040171 ENSG00000119402
PKD2 ENSG00000118762.3 0.015616 0.038507 ENSG00000118762
GNMT ENSG00000124713.5 0.016744 0.043885 ENSG00000124713
FANCC ENSG00000158169.7 0.012304 0.047627 ENSG00000158169
FBXO43 ENSG00000156509.9 0.029551 0.036419 ENSG00000156509
C19orf40 ENSG00000131944.5 0.020467 0.04805 ENSG00000131944
PLD1 ENSG00000075651.11 0.03825 0.042228 ENSG00000075651
FAM109A ENSG00000198324.10 0.014717 0.042677 ENSG00000198324
AGFG2 ENSG00000106351.8 0.058592 0.046089 ENSG00000106351
TPM2 ENSG00000198467.9 0.031338 0.038087 ENSG00000198467
P2RY13 ENSG00000181631.6 0.025777 0.045709 ENSG00000181631
MANSC4 ENSG00000205693.3 0.049274 0.051366 ENSG00000205693
HEBP1 ENSG00000013583.4 0.018329 0.061267 ENSG00000013583
ZNF419 ENSG00000105136.15 0.128538 0.059422 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.124692 0.058558 ENSG00000198203
PCDH1 ENSG00000156453.9 0.087377 0.06623 ENSG00000156453
PLA2G2A ENSG00000188257.6 0.050674 0.059023 ENSG00000188257
TOP1MT ENSG00000184428.8 0.15836 0.069962 ENSG00000184428
SPRY2 ENSG00000136158.6 0.029417 0.038633 ENSG00000136158
CTH ENSG00000116761.7 0.030019 0.041926 ENSG00000116761
LURAP1 ENSG00000171357.5 0.136773 0.063476 ENSG00000171357
AL627309.1 ENSG00000237683.5 0.201406 0.085679 ENSG00000237683
FBRSL1 ENSG00000112787.8 0.059395 0.054288 ENSG00000112787
EAF2 ENSG00000145088.4 0.038307 0.039197 ENSG00000145088
ABTB2 ENSG00000166016.4 0.11336 0.081055 ENSG00000166016
PYROXD1 ENSG00000121350.11 0.029959 0.040373 ENSG00000121350
FAM102A ENSG00000167106.7 0.090316 0.069461 ENSG00000167106
LRFN2 ENSG00000156564.8 0.034021 0.053505 ENSG00000156564
ZNF326 ENSG00000162664.11 0.023104 0.043264 ENSG00000162664
KRT72 ENSG00000170486.6 0.18844 0.073251 ENSG00000170486
PANX2 ENSG00000073150.9 0.055085 0.057927 ENSG00000073150
C9orf72 ENSG00000147894.10 0.065787 0.065334 ENSG00000147894
AGPAT3 ENSG00000160216.14 0.035351 0.050644 ENSG00000160216
CTTNBP2 ENSG00000077063.6 0.029241 0.03317 ENSG00000077063
HSD17B12 ENSG00000149084.7 0.067682 0.052052 ENSG00000149084
SPC25 ENSG00000152253.4 0.124628 0.067697 ENSG00000152253
MILR1 ENSG00000271605.1 0.051625 0.043879 ENSG00000271605
HDLBP ENSG00000115677.12 0.035909 0.0457 ENSG00000115677
SHROOM1 ENSG00000164403.10 0.128312 0.074719 ENSG00000164403
SNX1 ENSG00000028528.10 0.058397 0.050665 ENSG00000028528
PGLS ENSG00000130313.2 0.012455 0.047674 ENSG00000130313
TMEM204 ENSG00000131634.9 0.024739 0.033708 ENSG00000131634
UBN1 ENSG00000118900.10 0.024296 0.036625 ENSG00000118900
GPR39 ENSG00000183840.5 0.06222 0.060682 ENSG00000183840
ARHGEF7 ENSG00000102606.13 0.014314 0.041117 ENSG00000102606
ZNF132 ENSG00000131849.10 0.062713 0.046238 ENSG00000131849
FOXC1 ENSG00000054598.5 0.050261 0.042376 ENSG00000054598
ANTXRL ENSG00000198250.8 0.167601 0.064483 ENSG00000198250
ZNF766 ENSG00000196214.6 0.125366 0.077126 ENSG00000196214
PPP1CA ENSG00000172531.10 0.044013 0.044865 ENSG00000172531
RPS6KB1 ENSG00000108443.9 0.014601 0.028455 ENSG00000108443
RFC4 ENSG00000163918.6 0.048334 0.056655 ENSG00000163918
ATP6V1D ENSG00000100554.7 0.03268 0.039982 ENSG00000100554
MSX2 ENSG00000120149.7 0.014658 0.047171 ENSG00000120149
APBA2 ENSG00000034053.10 0.010879 0.034041 ENSG00000034053
ST8SIA1 ENSG00000111728.6 0.214731 0.07975 ENSG00000111728
NEK3 ENSG00000136098.12 0.079616 0.05409 ENSG00000136098
NUP54 ENSG00000138750.10 0.010814 0.030256 ENSG00000138750
SDK2 ENSG00000069188.12 0.257094 0.092674 ENSG00000069188
PPP2R5A ENSG00000066027.6 0.037477 0.047398 ENSG00000066027
GJA3 ENSG00000121743.3 0.010662 0.038341 ENSG00000121743
LAP3 ENSG00000002549.8 0.038576 0.050629 ENSG00000002549
POLR1A ENSG00000068654.11 0.052286 0.053188 ENSG00000068654
RP11-6L6.2 ENSG00000250673.1 0.029209 0.055858 ENSG00000250673
TSKU ENSG00000182704.6 0.015315 0.038914 ENSG00000182704
ZC3H18 ENSG00000158545.11 0.038804 0.057479 ENSG00000158545
SHB ENSG00000107338.8 0.061068 0.054009 ENSG00000107338
DISC1 ENSG00000162946.16 0.026712 0.061104 ENSG00000162946
FBLL1 ENSG00000188573.7 0.204289 0.079083 ENSG00000188573
HSPA12B ENSG00000132622.6 0.01407 0.042278 ENSG00000132622
INTS12 ENSG00000138785.10 0.022955 0.038433 ENSG00000138785
SKIV2L2 ENSG00000039123.11 0.04245 0.048052 ENSG00000039123
NDNF ENSG00000173376.9 0.421331 0.081225 ENSG00000173376
FAM189A2 ENSG00000135063.13 0.076566 0.051961 ENSG00000135063
GCSAM ENSG00000174500.8 0.036434 0.035568 ENSG00000174500
PRMT5 ENSG00000100462.11 0.015314 0.057533 ENSG00000100462
C2orf27A ENSG00000197927.8 0.025108 0.03845 ENSG00000197927
