AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
CDK18 ENSG00000117266.11 0.334334 0.115302 ENSG00000117266
TMEM161A ENSG00000064545.10 0.53885 0.108373 ENSG00000064545
TRIM6 ENSG00000121236.15 0.207789 0.096592 ENSG00000121236
TRABD2A ENSG00000186854.6 0.198403 0.094659 ENSG00000186854
NUDT13 ENSG00000166321.9 0.251484 0.109743 ENSG00000166321
RPGRIP1 ENSG00000092200.8 0.426659 0.119712 ENSG00000092200
VWC2 ENSG00000188730.3 0.276578 0.098947 ENSG00000188730
MED24 ENSG00000008838.13 0.297778 0.102999 ENSG00000008838
DKFZP761J1410 ENSG00000105520.6 0.256516 0.112473 ENSG00000105520
SLC44A5 ENSG00000137968.12 0.492122 0.101771 ENSG00000137968
SPTBN5 ENSG00000137877.8 0.322416 0.103498 ENSG00000137877
TNFAIP8 ENSG00000145779.7 0.348954 0.109587 ENSG00000145779
GPR126 ENSG00000112414.10 0.249687 0.100108 ENSG00000112414
CCDC54 ENSG00000138483.1 0.264496 0.098143 ENSG00000138483
SYT13 ENSG00000019505.3 0.322251 0.116871 ENSG00000019505
PSMB4 ENSG00000159377.6 0.224794 0.105604 ENSG00000159377
OTUD1 ENSG00000165312.5 0.212142 0.097819 ENSG00000165312
MAPT ENSG00000186868.11 0.239364 0.100542 ENSG00000186868
LRRC36 ENSG00000159708.13 0.241821 0.096619 ENSG00000159708
MORN4 ENSG00000171160.13 0.190437 0.090485 ENSG00000171160
SLC52A2 ENSG00000185803.4 0.21936 0.097299 ENSG00000185803
TSLP ENSG00000145777.10 0.195344 0.09628 ENSG00000145777
WDYHV1 ENSG00000156795.2 0.422618 0.10002 ENSG00000156795
ZNF135 ENSG00000176293.15 0.194047 0.095022 ENSG00000176293
TMEM74 ENSG00000164841.4 0.28695 0.094861 ENSG00000164841
RTN4IP1 ENSG00000130347.8 0.217169 0.105183 ENSG00000130347
CEP290 ENSG00000198707.10 0.224763 0.108326 ENSG00000198707
SPERT ENSG00000174015.5 0.202176 0.098512 ENSG00000174015
ABCA8 ENSG00000141338.9 0.210327 0.101498 ENSG00000141338
SHARPIN ENSG00000179526.12 0.227343 0.10776 ENSG00000179526
PCSK6 ENSG00000140479.12 0.325146 0.118855 ENSG00000140479
CNTN3 ENSG00000113805.8 0.214879 0.093263 ENSG00000113805
CLVS2 ENSG00000146352.7 0.333952 0.101122 ENSG00000146352
ALDH18A1 ENSG00000059573.4 0.201874 0.092708 ENSG00000059573
KCTD19 ENSG00000168676.6 0.229579 0.097186 ENSG00000168676
CCDC122 ENSG00000151773.8 0.239213 0.096415 ENSG00000151773
DAD1 ENSG00000129562.6 0.206107 0.100747 ENSG00000129562
TUBAL3 ENSG00000178462.7 0.270321 0.11368 ENSG00000178462
ME1 ENSG00000065833.7 0.213184 0.103953 ENSG00000065833
KRTAP10-2 ENSG00000205445.3 0.280631 0.12244 ENSG00000205445
LCN1 ENSG00000160349.5 0.286327 0.109049 ENSG00000160349
PPP1R1C ENSG00000150722.6 0.25264 0.107866 ENSG00000150722
OPA1 ENSG00000198836.4 0.193529 0.092002 ENSG00000198836
DYNC2H1 ENSG00000187240.9 0.354444 0.124004 ENSG00000187240
CLEC12A ENSG00000172322.9 0.330529 0.113521 ENSG00000172322
PXDNL ENSG00000147485.8 0.345553 0.111169 ENSG00000147485
PKD1L2 ENSG00000269323.1 0.280144 0.128424 ENSG00000269323
CTC-534A2.2 ENSG00000253251.2 0.25957 0.129682 ENSG00000253251
RP11-279O9.4 ENSG00000249679.1 0.275875 0.120013 ENSG00000249679
PCDHAC2 ENSG00000243232.3 0.293849 0.112267 ENSG00000243232
C19orf38 ENSG00000214212.4 0.250688 0.113951 ENSG00000214212
HSPA1L ENSG00000204390.8 0.251029 0.107963 ENSG00000204390
HLA-DOA ENSG00000204252.8 0.227847 0.113649 ENSG00000204252
RAET1G ENSG00000203722.3 0.353019 0.113695 ENSG00000203722
EFCAB2 ENSG00000203666.8 0.381782 0.10875 ENSG00000203666
POU3F3 ENSG00000198914.2 0.20309 0.097663 ENSG00000198914
ABCA4 ENSG00000198691.7 0.234144 0.097575 ENSG00000198691
RYR2 ENSG00000198626.10 0.259923 0.121793 ENSG00000198626
HLA-DQA1 ENSG00000196735.7 0.268227 0.110285 ENSG00000196735
ZKSCAN3 ENSG00000189298.9 0.194028 0.094002 ENSG00000189298
ZNF600 ENSG00000189190.7 0.334215 0.117044 ENSG00000189190
RELN ENSG00000189056.9 0.214985 0.095236 ENSG00000189056
OR7D2 ENSG00000188000.2 0.283272 0.114399 ENSG00000188000
CCDC157 ENSG00000187860.6 0.281523 0.09365 ENSG00000187860
COL4A1 ENSG00000187498.10 0.362705 0.122134 ENSG00000187498
MARC1 ENSG00000186205.8 0.334951 0.114472 ENSG00000186205
PRSS55 ENSG00000184647.6 0.275311 0.121497 ENSG00000184647
FBXL6 ENSG00000182325.6 0.390774 0.096734 ENSG00000182325
CUEDC1 ENSG00000180891.8 0.221827 0.110511 ENSG00000180891
ANKRD18A ENSG00000180071.13 0.289655 0.109186 ENSG00000180071
LACC1 ENSG00000179630.6 0.392462 0.094418 ENSG00000179630
STAP2 ENSG00000178078.7 0.371896 0.117575 ENSG00000178078
NAALADL2 ENSG00000177694.10 0.215797 0.096221 ENSG00000177694
RFESD ENSG00000175449.9 0.306626 0.115659 ENSG00000175449
DSG4 ENSG00000175065.7 0.279102 0.108229 ENSG00000175065
NUDT18 ENSG00000173566.9 0.196769 0.092324 ENSG00000173566
ZNF556 ENSG00000172000.3 0.260023 0.115351 ENSG00000172000
MTSS1 ENSG00000170873.14 0.327823 0.122011 ENSG00000170873
POLH ENSG00000170734.7 0.214716 0.107178 ENSG00000170734
CHRNA5 ENSG00000169684.9 0.290274 0.101399 ENSG00000169684
ICT1 ENSG00000167862.5 0.326538 0.109303 ENSG00000167862
RRM1 ENSG00000167325.10 0.265076 0.111711 ENSG00000167325
CDK12 ENSG00000167258.9 0.197341 0.097313 ENSG00000167258
ACSF2 ENSG00000167107.8 0.512869 0.10474 ENSG00000167107
TBATA ENSG00000166220.8 0.28341 0.132968 ENSG00000166220
KIAA0196 ENSG00000164961.11 0.210329 0.102965 ENSG00000164961
FYCO1 ENSG00000163820.10 0.1838 0.083544 ENSG00000163820
IGFN1 ENSG00000163395.12 0.282538 0.11757 ENSG00000163395
KCTD18 ENSG00000155729.8 0.208687 0.103467 ENSG00000155729
GRIA1 ENSG00000155511.13 0.217645 0.101476 ENSG00000155511
DBI ENSG00000155368.12 0.22335 0.104721 ENSG00000155368
PRKCA ENSG00000154229.7 0.529138 0.10422 ENSG00000154229
SLC16A12 ENSG00000152779.12 0.196621 0.093276 ENSG00000152779
GUCY1A2 ENSG00000152402.5 0.228643 0.095936 ENSG00000152402
EDNRA ENSG00000151617.11 0.244905 0.09456 ENSG00000151617
RPP30 ENSG00000148688.9 0.197238 0.09263 ENSG00000148688
NOM1 ENSG00000146909.3 0.254793 0.112709 ENSG00000146909
FGD2 ENSG00000146192.10 0.223651 0.110086 ENSG00000146192
TIFA ENSG00000145365.9 0.203642 0.086456 ENSG00000145365
SNCA ENSG00000145335.11 0.254655 0.085218 ENSG00000145335
PML ENSG00000140464.15 0.324666 0.12139 ENSG00000140464
CYP11A1 ENSG00000140459.13 0.226443 0.096383 ENSG00000140459
SLC24A4 ENSG00000140090.13 0.281064 0.121342 ENSG00000140090
BMPR1B ENSG00000138696.6 0.224362 0.094989 ENSG00000138696
FGFBP2 ENSG00000137441.7 0.254255 0.113066 ENSG00000137441
NOV ENSG00000136999.4 0.215946 0.093249 ENSG00000136999
KIF12 ENSG00000136883.8 0.266318 0.115613 ENSG00000136883
CIB2 ENSG00000136425.8 0.35312 0.113833 ENSG00000136425
IL6ST ENSG00000134352.15 0.209706 0.089405 ENSG00000134352
AMPD3 ENSG00000133805.11 0.242335 0.103166 ENSG00000133805
SPINK5 ENSG00000133710.11 0.317777 0.097187 ENSG00000133710
PCBD2 ENSG00000132570.10 0.236909 0.110901 ENSG00000132570
PODNL1 ENSG00000132000.7 0.232241 0.097415 ENSG00000132000
EMC8 ENSG00000131148.4 0.322418 0.140883 ENSG00000131148
ULBP3 ENSG00000131019.5 0.28841 0.119327 ENSG00000131019
SLC7A10 ENSG00000130876.6 0.238697 0.10951 ENSG00000130876
HOXD1 ENSG00000128645.11 0.377981 0.104006 ENSG00000128645
TRAP1 ENSG00000126602.6 0.342605 0.112205 ENSG00000126602
USP5 ENSG00000111667.9 0.204658 0.09614 ENSG00000111667
ELMOD1 ENSG00000110675.8 0.336079 0.112769 ENSG00000110675
MYH14 ENSG00000105357.11 0.195462 0.095624 ENSG00000105357
RPS16 ENSG00000105193.4 0.335109 0.097475 ENSG00000105193
FERMT1 ENSG00000101311.11 0.271215 0.12287 ENSG00000101311
PFDN4 ENSG00000101132.5 0.318324 0.112494 ENSG00000101132
OCEL1 ENSG00000099330.4 0.404746 0.108283 ENSG00000099330
CECR1 ENSG00000093072.11 0.2725 0.113838 ENSG00000093072
RIMS1 ENSG00000079841.14 0.453694 0.093826 ENSG00000079841
SP140 ENSG00000079263.14 0.221085 0.090905 ENSG00000079263
FBLN1 ENSG00000077942.13 0.316196 0.127976 ENSG00000077942
SEMA3A ENSG00000075213.5 0.272266 0.0957 ENSG00000075213
ASNS ENSG00000070669.12 0.318487 0.105703 ENSG00000070669
GBA2 ENSG00000070610.10 0.19795 0.086453 ENSG00000070610
LTK ENSG00000062524.11 0.355425 0.106946 ENSG00000062524
PTGER3 ENSG00000050628.16 0.188253 0.090452 ENSG00000050628
IL20RA ENSG00000016402.8 0.352421 0.108525 ENSG00000016402
SCYL3 ENSG00000000457.8 0.259341 0.107678 ENSG00000000457
