AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
C19orf25 ENSG00000119559.11 0.187442 0.082072 ENSG00000119559
FAM227A ENSG00000184949.10 0.157125 0.068022 ENSG00000184949
CDC42BPA ENSG00000143776.14 0.108378 0.055787 ENSG00000143776
COPS3 ENSG00000141030.8 0.107959 0.061344 ENSG00000141030
TRIB3 ENSG00000101255.6 0.225428 0.088758 ENSG00000101255
CD55 ENSG00000196352.9 0.116348 0.066697 ENSG00000196352
ARFGAP3 ENSG00000242247.6 0.111216 0.07249 ENSG00000242247
GSAP ENSG00000186088.11 0.165142 0.075895 ENSG00000186088
CMTM5 ENSG00000166091.15 0.259333 0.093462 ENSG00000166091
AL627309.1 ENSG00000237683.5 0.118533 0.067004 ENSG00000237683
LILRA5 ENSG00000187116.9 0.118448 0.085281 ENSG00000187116
HSD17B12 ENSG00000149084.7 0.13445 0.073453 ENSG00000149084
ARHGEF7 ENSG00000102606.13 0.100896 0.075834 ENSG00000102606
TMEM45B ENSG00000151715.3 0.134162 0.078232 ENSG00000151715
ZNF880 ENSG00000221923.4 0.156158 0.080694 ENSG00000221923
SDK2 ENSG00000069188.12 0.33134 0.08754 ENSG00000069188
SHB ENSG00000107338.8 0.100316 0.058891 ENSG00000107338
DISC1 ENSG00000162946.16 0.121108 0.064859 ENSG00000162946
FBLL1 ENSG00000188573.7 0.271009 0.084105 ENSG00000188573
ZNF626 ENSG00000188171.10 0.122435 0.078537 ENSG00000188171
ANK3 ENSG00000151150.15 0.132546 0.071502 ENSG00000151150
GLRB ENSG00000109738.6 0.124006 0.079795 ENSG00000109738
GPX7 ENSG00000116157.5 0.139152 0.069396 ENSG00000116157
JAG2 ENSG00000184916.4 0.206787 0.086834 ENSG00000184916
RFT1 ENSG00000163933.5 0.105892 0.059318 ENSG00000163933
LACTB2 ENSG00000147592.4 0.1211 0.063704 ENSG00000147592
TRDMT1 ENSG00000107614.17 0.137081 0.073674 ENSG00000107614
UCHL3 ENSG00000118939.13 0.18148 0.072926 ENSG00000118939
APBB1IP ENSG00000077420.11 0.200368 0.077001 ENSG00000077420
FAM192A ENSG00000172775.12 0.25286 0.079008 ENSG00000172775
SSX2IP ENSG00000117155.12 0.14877 0.070687 ENSG00000117155
NUCB1 ENSG00000104805.11 0.194618 0.086874 ENSG00000104805
HP ENSG00000257017.4 0.106497 0.052823 ENSG00000257017
MMP17 ENSG00000198598.2 0.117236 0.077152 ENSG00000198598
RNF186 ENSG00000178828.5 0.116636 0.074467 ENSG00000178828
ASCL5 ENSG00000232237.2 0.139281 0.070094 ENSG00000232237
TMTC4 ENSG00000125247.11 0.129155 0.070501 ENSG00000125247
TPPP2 ENSG00000179636.10 0.133577 0.076035 ENSG00000179636
ITPA ENSG00000125877.7 0.183189 0.083641 ENSG00000125877
NAA11 ENSG00000156269.4 0.138888 0.073409 ENSG00000156269
SMIM17 ENSG00000268182.1 0.104923 0.078796 ENSG00000268182
OSGIN1 ENSG00000140961.8 0.198184 0.092294 ENSG00000140961
ZDHHC13 ENSG00000177054.9 0.13079 0.079633 ENSG00000177054
GNPAT ENSG00000116906.7 0.122858 0.078167 ENSG00000116906
FAIM ENSG00000158234.8 0.14264 0.080026 ENSG00000158234
MICALCL ENSG00000133808.4 0.157021 0.094931 ENSG00000133808
GATM ENSG00000171766.11 0.104711 0.060705 ENSG00000171766
AIFM2 ENSG00000042286.10 0.117963 0.078277 ENSG00000042286
C5orf63 ENSG00000164241.9 0.12793 0.057922 ENSG00000164241
EPN2 ENSG00000072134.11 0.132437 0.063824 ENSG00000072134
CFHR3 ENSG00000116785.9 0.195636 0.074115 ENSG00000116785
SIMC1 ENSG00000170085.13 0.107346 0.075586 ENSG00000170085
MMP15 ENSG00000102996.4 0.117966 0.07379 ENSG00000102996
B3GALNT2 ENSG00000162885.7 0.108606 0.069096 ENSG00000162885
UNC13C ENSG00000137766.12 0.222356 0.083485 ENSG00000137766
C1orf141 ENSG00000203963.7 0.160543 0.07981 ENSG00000203963
ADAMTS17 ENSG00000140470.9 0.174418 0.085055 ENSG00000140470
PTK2 ENSG00000169398.15 0.100043 0.069102 ENSG00000169398
PDCD6IP ENSG00000170248.9 0.10184 0.052872 ENSG00000170248
ATP12A ENSG00000075673.7 0.416348 0.082334 ENSG00000075673
HS3ST3A1 ENSG00000153976.2 0.104887 0.059631 ENSG00000153976
GREM2 ENSG00000180875.4 0.189572 0.079523 ENSG00000180875
GIT1 ENSG00000108262.11 0.118426 0.072325 ENSG00000108262
PRR13 ENSG00000205352.6 0.127072 0.063914 ENSG00000205352
NFASC ENSG00000163531.11 0.151235 0.069149 ENSG00000163531
PLA2G5 ENSG00000127472.6 0.13606 0.073442 ENSG00000127472
ZNF319 ENSG00000166188.2 0.105722 0.070385 ENSG00000166188
LRRC16A ENSG00000079691.15 0.176474 0.083579 ENSG00000079691
MIIP ENSG00000116691.6 0.115485 0.065417 ENSG00000116691
ALG1L ENSG00000189366.5 0.122815 0.064348 ENSG00000189366
QRFPR ENSG00000186867.6 0.159513 0.070402 ENSG00000186867
POLE ENSG00000177084.12 0.148746 0.07784 ENSG00000177084
RAB15 ENSG00000139998.10 0.139097 0.07179 ENSG00000139998
SLC4A1AP ENSG00000163798.9 0.107136 0.063504 ENSG00000163798
NBPF20 ENSG00000203832.6 0.110425 0.075759 ENSG00000203832
SLC35G1 ENSG00000176273.10 0.106889 0.061815 ENSG00000176273
CLIP2 ENSG00000106665.11 0.160893 0.068838 ENSG00000106665
PITPNB ENSG00000180957.13 0.112528 0.071927 ENSG00000180957
ALKBH8 ENSG00000137760.10 0.120453 0.066221 ENSG00000137760
ZNF229 ENSG00000167383.4 0.102875 0.069686 ENSG00000167383
CCDC114 ENSG00000105479.10 0.189355 0.077267 ENSG00000105479
SFTPD ENSG00000133661.11 0.303078 0.080469 ENSG00000133661
ZNF660 ENSG00000144792.5 0.156281 0.069818 ENSG00000144792
TNFRSF19 ENSG00000127863.11 0.194146 0.085858 ENSG00000127863
UBE2I ENSG00000103275.14 0.170374 0.06791 ENSG00000103275
RIMBP2 ENSG00000060709.9 0.123272 0.082704 ENSG00000060709
PCSK7 ENSG00000160613.8 0.128941 0.065874 ENSG00000160613
LPIN1 ENSG00000134324.7 0.144908 0.08482 ENSG00000134324
IL2RB ENSG00000100385.9 0.199975 0.088309 ENSG00000100385
ECHDC3 ENSG00000134463.10 0.169615 0.08295 ENSG00000134463
RAP2A ENSG00000125249.6 0.128252 0.067175 ENSG00000125249
RPS18 ENSG00000231500.2 0.104945 0.07131 ENSG00000231500
ANKS4B ENSG00000175311.5 0.114552 0.074352 ENSG00000175311
SLC5A9 ENSG00000117834.8 0.195579 0.074984 ENSG00000117834
CLEC18B ENSG00000140839.7 0.111867 0.065736 ENSG00000140839
MX1 ENSG00000157601.9 0.154157 0.083746 ENSG00000157601
FRA10AC1 ENSG00000148690.10 0.212443 0.07089 ENSG00000148690
SSTR2 ENSG00000180616.4 0.102028 0.063533 ENSG00000180616
TRAK2 ENSG00000115993.7 0.180137 0.088917 ENSG00000115993
CD80 ENSG00000121594.7 0.10905 0.064813 ENSG00000121594
RNASEH2B ENSG00000136104.13 0.14044 0.071729 ENSG00000136104
RBM18 ENSG00000119446.9 0.132579 0.074976 ENSG00000119446
LRRC19 ENSG00000184434.7 0.119468 0.07535 ENSG00000184434
CACYBP ENSG00000116161.13 0.118337 0.06706 ENSG00000116161
TTYH1 ENSG00000167614.9 0.243852 0.089163 ENSG00000167614
RPL38 ENSG00000172809.8 0.106118 0.075682 ENSG00000172809
ACTR3C ENSG00000106526.6 0.141743 0.074872 ENSG00000106526
TAGLN2 ENSG00000158710.10 0.109219 0.066888 ENSG00000158710
FBN2 ENSG00000138829.6 0.301218 0.075364 ENSG00000138829
AFF1 ENSG00000172493.16 0.163983 0.06518 ENSG00000172493
FAM65C ENSG00000042062.7 0.100765 0.065877 ENSG00000042062
AC010536.1 ENSG00000226180.2 0.129342 0.085665 ENSG00000226180
CCDC24 ENSG00000159214.8 0.110544 0.072715 ENSG00000159214
GNAO1 ENSG00000087258.9 0.179444 0.064298 ENSG00000087258
CLDN10 ENSG00000134873.5 0.108439 0.057542 ENSG00000134873
BAI3 ENSG00000135298.9 0.246682 0.081509 ENSG00000135298
PRKAR1A ENSG00000108946.9 0.168052 0.075784 ENSG00000108946
MAEL ENSG00000143194.8 0.124055 0.072082 ENSG00000143194
FAM219B ENSG00000178761.10 0.105838 0.063737 ENSG00000178761
C19orf77 ENSG00000095932.5 0.114081 0.082668 ENSG00000095932
CYBRD1 ENSG00000071967.7 0.171014 0.076356 ENSG00000071967
ZNF562 ENSG00000171466.5 0.149012 0.072 ENSG00000171466
ST6GALNAC4 ENSG00000136840.14 0.140994 0.072916 ENSG00000136840
COPG2 ENSG00000158623.10 0.135748 0.077116 ENSG00000158623
EBPL ENSG00000123179.9 0.223645 0.071763 ENSG00000123179
RALGPS2 ENSG00000116191.12 0.120042 0.057913 ENSG00000116191
LARGE ENSG00000133424.15 0.118669 0.06753 ENSG00000133424
THBS4 ENSG00000113296.10 0.123986 0.071133 ENSG00000113296
BAAT ENSG00000136881.7 0.11379 0.082033 ENSG00000136881
KRTAP13-1 ENSG00000198390.3 0.127523 0.063197 ENSG00000198390
FH ENSG00000091483.6 0.112786 0.067913 ENSG00000091483
GXYLT2 ENSG00000172986.8 0.139944 0.074003 ENSG00000172986
FMO4 ENSG00000076258.5 0.170475 0.067536 ENSG00000076258
NPTX1 ENSG00000171246.5 0.135938 0.076299 ENSG00000171246
DLG5 ENSG00000151208.12 0.108282 0.06747 ENSG00000151208
DECR1 ENSG00000104325.2 0.105244 0.067848 ENSG00000104325
RGL4 ENSG00000159496.10 0.12095 0.069032 ENSG00000159496
VPS13A ENSG00000197969.7 0.311881 0.079154 ENSG00000197969
CSRP1 ENSG00000159176.9 0.147146 0.076573 ENSG00000159176
DIRAS3 ENSG00000162595.4 0.163636 0.077994 ENSG00000162595
HIPK2 ENSG00000064393.11 0.13537 0.071051 ENSG00000064393
SFXN1 ENSG00000164466.8 0.144209 0.069549 ENSG00000164466
CPAMD8 ENSG00000160111.8 0.110557 0.073405 ENSG00000160111
DDX41 ENSG00000183258.7 0.140442 0.073185 ENSG00000183258
C17orf80 ENSG00000141219.11 0.165028 0.090078 ENSG00000141219
DGKD ENSG00000077044.5 0.110822 0.068092 ENSG00000077044
DBNDD1 ENSG00000003249.9 0.279865 0.08588 ENSG00000003249
BRI3 ENSG00000164713.5 0.143464 0.069675 ENSG00000164713
CETP ENSG00000087237.6 0.107512 0.080378 ENSG00000087237
CARD8 ENSG00000105483.12 0.103186 0.069908 ENSG00000105483
RPS9 ENSG00000170889.9 0.140587 0.091777 ENSG00000170889
SERTAD4 ENSG00000082497.7 0.127825 0.066931 ENSG00000082497
GPM6B ENSG00000046653.10 0.108946 0.072012 ENSG00000046653
NCAPH2 ENSG00000025770.14 0.124563 0.080884 ENSG00000025770
MYO3B ENSG00000071909.14 0.137081 0.065835 ENSG00000071909
KIAA0195 ENSG00000177728.10 0.145172 0.06825 ENSG00000177728
PLXNA4 ENSG00000221866.5 0.18596 0.078511 ENSG00000221866
SLC25A41 ENSG00000181240.9 0.101889 0.074485 ENSG00000181240
SPTLC3 ENSG00000172296.8 0.117581 0.07361 ENSG00000172296
SFRP5 ENSG00000120057.4 0.126328 0.064095 ENSG00000120057
IRS2 ENSG00000185950.7 0.14664 0.08153 ENSG00000185950
EMB ENSG00000170571.7 0.133158 0.067704 ENSG00000170571
FOCAD ENSG00000188352.8 0.140854 0.0762 ENSG00000188352
SMUG1 ENSG00000123415.10 0.130418 0.064193 ENSG00000123415
CHRM3 ENSG00000133019.7 0.205113 0.0855 ENSG00000133019
CDC42BPG ENSG00000171219.8 0.102706 0.064754 ENSG00000171219
KCNK1 ENSG00000135750.10 0.109589 0.077482 ENSG00000135750
SDR42E1 ENSG00000184860.5 0.227044 0.089947 ENSG00000184860
MFSD6 ENSG00000151690.10 0.135699 0.071299 ENSG00000151690
ZNF398 ENSG00000197024.4 0.153158 0.085523 ENSG00000197024
AP1S1 ENSG00000106367.9 0.129525 0.064825 ENSG00000106367
AP5B1 ENSG00000254470.2 0.107038 0.063013 ENSG00000254470
GPR12 ENSG00000132975.6 0.123288 0.07963 ENSG00000132975
VIPR2 ENSG00000106018.9 0.110344 0.06114 ENSG00000106018
ELMO2 ENSG00000062598.13 0.128263 0.070396 ENSG00000062598
PRKG2 ENSG00000138669.5 0.125927 0.066907 ENSG00000138669
RNF113B ENSG00000139797.7 0.132852 0.073184 ENSG00000139797
AMIGO2 ENSG00000139211.5 0.111727 0.067119 ENSG00000139211
SLC7A1 ENSG00000139514.8 0.105487 0.073747 ENSG00000139514
EPS15 ENSG00000085832.12 0.122294 0.064111 ENSG00000085832
FITM2 ENSG00000197296.5 0.133465 0.07382 ENSG00000197296
C1orf94 ENSG00000142698.10 0.156979 0.081402 ENSG00000142698
CACNB1 ENSG00000067191.11 0.123436 0.07521 ENSG00000067191
FLJ27365 ENSG00000197182.8 0.166369 0.080272 ENSG00000197182
EVI5L ENSG00000142459.4 0.114373 0.079718 ENSG00000142459
TXNL4B ENSG00000140830.4 0.26323 0.080226 ENSG00000140830
MFSD4 ENSG00000174514.8 0.126893 0.062289 ENSG00000174514
TMEM87B ENSG00000153214.5 0.104696 0.058428 ENSG00000153214
CAPN8 ENSG00000203697.7 0.171257 0.06949 ENSG00000203697
CDH13 ENSG00000140945.11 0.216522 0.108295 ENSG00000140945
FAM153B ENSG00000182230.7 0.190684 0.076271 ENSG00000182230
SCPEP1 ENSG00000121064.8 0.103992 0.071085 ENSG00000121064
CACNA2D3 ENSG00000157445.10 0.260993 0.081351 ENSG00000157445
RPS7 ENSG00000171863.8 0.130565 0.072809 ENSG00000171863
OR7A5 ENSG00000188269.4 0.105375 0.066573 ENSG00000188269
SOX6 ENSG00000110693.11 0.112728 0.06246 ENSG00000110693
ANKRD42 ENSG00000137494.9 0.157673 0.07187 ENSG00000137494
LRRC3DN ENSG00000269430.1 0.120243 0.070702 ENSG00000269430
SNX24 ENSG00000064652.6 0.102325 0.062302 ENSG00000064652
AES ENSG00000104964.10 0.182082 0.089112 ENSG00000104964
DHODH ENSG00000102967.7 0.146525 0.06935 ENSG00000102967
SNCAIP ENSG00000064692.14 0.106287 0.061243 ENSG00000064692
EFTUD2 ENSG00000108883.8 0.344287 0.07532 ENSG00000108883
RNF38 ENSG00000137075.13 0.107191 0.070673 ENSG00000137075
SYPL2 ENSG00000143028.7 0.372886 0.092176 ENSG00000143028
NLRP6 ENSG00000174885.8 0.115645 0.068003 ENSG00000174885
SCUBE1 ENSG00000159307.13 0.159177 0.08454 ENSG00000159307
PDHB ENSG00000168291.8 0.105998 0.051233 ENSG00000168291
ERBB3 ENSG00000065361.10 0.1204 0.063757 ENSG00000065361
MUT ENSG00000146085.7 0.170633 0.071109 ENSG00000146085
KLF5 ENSG00000102554.9 0.198998 0.085845 ENSG00000102554
HID1 ENSG00000167861.11 0.103151 0.073708 ENSG00000167861
ARHGDIB ENSG00000111348.4 0.100071 0.057958 ENSG00000111348
LRP10 ENSG00000197324.4 0.13979 0.075374 ENSG00000197324
NCLN ENSG00000125912.6 0.116246 0.075776 ENSG00000125912
SPIRE2 ENSG00000204991.6 0.133815 0.057771 ENSG00000204991
TECPR1 ENSG00000205356.5 0.130363 0.066459 ENSG00000205356
ANO5 ENSG00000171714.10 0.270735 0.080733 ENSG00000171714
CSF2RB ENSG00000100368.9 0.116058 0.081737 ENSG00000100368
EPX ENSG00000121053.5 0.112794 0.078794 ENSG00000121053
FAM101B ENSG00000183688.4 0.148552 0.078885 ENSG00000183688
AQP3 ENSG00000165272.10 0.169128 0.084451 ENSG00000165272
NT5DC1 ENSG00000178425.9 0.147936 0.06097 ENSG00000178425
PPA1 ENSG00000180817.6 0.265409 0.084796 ENSG00000180817
S100B ENSG00000160307.5 0.129204 0.067552 ENSG00000160307
PLA2G10 ENSG00000069764.5 0.12933 0.071483 ENSG00000069764
TSHB ENSG00000134200.2 0.164145 0.081989 ENSG00000134200
MICAL2 ENSG00000133816.9 0.118745 0.077247 ENSG00000133816
PFKFB2 ENSG00000123836.10 0.132723 0.066557 ENSG00000123836
KALRN ENSG00000160145.10 0.111209 0.074396 ENSG00000160145
FAM72B ENSG00000188610.8 0.138582 0.074529 ENSG00000188610
C10orf112 ENSG00000204740.5 0.150777 0.072297 ENSG00000204740
SLC22A16 ENSG00000004809.9 0.10276 0.062805 ENSG00000004809
RPL23 ENSG00000125691.8 0.205198 0.088903 ENSG00000125691
TSHZ3 ENSG00000121297.6 0.101634 0.062405 ENSG00000121297
FAM98C ENSG00000130244.8 0.116819 0.069817 ENSG00000130244
STK35 ENSG00000125834.8 0.226928 0.085622 ENSG00000125834
TRAF3IP2 ENSG00000056972.14 0.139119 0.062026 ENSG00000056972
CMIP ENSG00000153815.12 0.125833 0.08362 ENSG00000153815
MMP9 ENSG00000100985.7 0.118571 0.076893 ENSG00000100985
MED25 ENSG00000104973.10 0.142315 0.071354 ENSG00000104973
UGCG ENSG00000148154.5 0.215684 0.100196 ENSG00000148154
QSOX1 ENSG00000116260.12 0.569009 0.076438 ENSG00000116260
AK4 ENSG00000162433.10 0.165723 0.071756 ENSG00000162433
ANKRD6 ENSG00000135299.12 0.103488 0.063263 ENSG00000135299
TP53I11 ENSG00000175274.14 0.145957 0.070509 ENSG00000175274
NMNAT2 ENSG00000157064.6 0.159347 0.073367 ENSG00000157064
SP5 ENSG00000204335.3 0.330445 0.082762 ENSG00000204335
ADAL ENSG00000168803.10 0.119518 0.059617 ENSG00000168803
LIG4 ENSG00000174405.9 0.128786 0.079068 ENSG00000174405
NCKAP5 ENSG00000176771.11 0.122452 0.077825 ENSG00000176771
ST6GALNAC5 ENSG00000117069.10 0.131025 0.071104 ENSG00000117069
ZNF470 ENSG00000197016.7 0.176634 0.083976 ENSG00000197016
FHDC1 ENSG00000137460.4 0.115239 0.07047 ENSG00000137460
CALCRL ENSG00000064989.8 0.195739 0.069978 ENSG00000064989
TPD52L1 ENSG00000111907.16 0.122045 0.072871 ENSG00000111907
IL17RB ENSG00000056736.5 0.28448 0.087009 ENSG00000056736
C17orf82 ENSG00000187013.2 0.110388 0.068431 ENSG00000187013
BRIX1 ENSG00000113460.8 0.111249 0.083344 ENSG00000113460
ASCC3 ENSG00000112249.9 0.112089 0.06217 ENSG00000112249
ABRACL ENSG00000146386.7 0.116345 0.070209 ENSG00000146386
C1orf106 ENSG00000163362.6 0.178276 0.073884 ENSG00000163362
GRN ENSG00000030582.12 0.125816 0.060576 ENSG00000030582
DIRC2 ENSG00000138463.8 0.101558 0.066948 ENSG00000138463
TSPAN12 ENSG00000106025.4 0.269822 0.073973 ENSG00000106025
LYPLA1 ENSG00000120992.13 0.120954 0.069526 ENSG00000120992
PICALM ENSG00000073921.13 0.148252 0.070314 ENSG00000073921
NOX1 ENSG00000007952.13 0.100166 0.077753 ENSG00000007952
PRMT1 ENSG00000126457.16 0.108013 0.0665 ENSG00000126457
DSTYK ENSG00000133059.12 0.119916 0.067335 ENSG00000133059
TMEM236 ENSG00000184040.7 0.100776 0.060998 ENSG00000184040
RCOR1 ENSG00000089902.8 0.118236 0.078597 ENSG00000089902
CADM2 ENSG00000175161.9 0.11375 0.065436 ENSG00000175161
CAND1 ENSG00000111530.8 0.155054 0.068578 ENSG00000111530
AL357673.1 ENSG00000248835.2 0.105284 0.074593 ENSG00000248835
SSPN ENSG00000123096.7 0.174079 0.079284 ENSG00000123096
FBLN7 ENSG00000144152.8 0.146098 0.075651 ENSG00000144152
SSU72 ENSG00000160075.10 0.120863 0.0712 ENSG00000160075
FCHO1 ENSG00000130475.10 0.106973 0.071677 ENSG00000130475
LYNX1 ENSG00000180155.14 0.127857 0.066134 ENSG00000180155
GLP1R ENSG00000112164.5 0.160544 0.073345 ENSG00000112164
ATXN7L2 ENSG00000162650.11 0.201367 0.087461 ENSG00000162650
CBLN1 ENSG00000102924.7 0.114171 0.072541 ENSG00000102924
TCF15 ENSG00000125878.4 0.134163 0.081072 ENSG00000125878
GFRA3 ENSG00000146013.6 0.112285 0.06223 ENSG00000146013
ZBTB40 ENSG00000184677.12 0.105947 0.07022 ENSG00000184677
NPTX2 ENSG00000106236.3 0.10585 0.062469 ENSG00000106236
ZFAT ENSG00000066827.11 0.103576 0.070178 ENSG00000066827
FLNB ENSG00000136068.10 0.119524 0.066667 ENSG00000136068
ALG11 ENSG00000253710.1 0.11163 0.06907 ENSG00000253710
CNOT6L ENSG00000138767.8 0.230342 0.07752 ENSG00000138767
CALY ENSG00000130643.4 0.103455 0.066639 ENSG00000130643
TBCEL ENSG00000154114.8 0.113898 0.080463 ENSG00000154114
UGGT2 ENSG00000102595.14 0.128266 0.068756 ENSG00000102595
ZNF346 ENSG00000113761.7 0.133105 0.075172 ENSG00000113761
GPX3 ENSG00000211445.7 0.103571 0.071277 ENSG00000211445
RSPO2 ENSG00000147655.6 0.128865 0.062369 ENSG00000147655
POLD1 ENSG00000062822.8 0.125265 0.076716 ENSG00000062822
CLN5 ENSG00000102805.9 0.135658 0.072161 ENSG00000102805
C17orf47 ENSG00000181013.3 0.108269 0.069171 ENSG00000181013
FAM69A ENSG00000154511.7 0.367176 0.083141 ENSG00000154511
UST ENSG00000111962.7 0.209898 0.082244 ENSG00000111962
MAPK10 ENSG00000109339.14 0.191854 0.07798 ENSG00000109339
COPS6 ENSG00000168090.5 0.106681 0.061184 ENSG00000168090
LGI2 ENSG00000153012.7 0.149108 0.082979 ENSG00000153012
SGK3 ENSG00000104205.8 0.12968 0.070824 ENSG00000104205
ETV4 ENSG00000175832.8 0.267594 0.073719 ENSG00000175832
SH2D3A ENSG00000125731.8 0.149022 0.087469 ENSG00000125731
DLX3 ENSG00000064195.7 0.108427 0.068841 ENSG00000064195
CXCR2 ENSG00000180871.3 0.143721 0.078878 ENSG00000180871
LOR ENSG00000203782.5 0.133479 0.073429 ENSG00000203782
SLC30A7 ENSG00000162695.7 0.118976 0.067076 ENSG00000162695
TP53RK ENSG00000172315.5 0.125095 0.075027 ENSG00000172315
RASGRF2 ENSG00000113319.7 0.203234 0.079364 ENSG00000113319
SYT8 ENSG00000149043.12 0.113323 0.076413 ENSG00000149043
RPS6KC1 ENSG00000136643.7 0.307765 0.075499 ENSG00000136643
CACNG6 ENSG00000130433.3 0.143603 0.094574 ENSG00000130433
ERICH2 ENSG00000204334.7 0.300153 0.084943 ENSG00000204334
BICC1 ENSG00000122870.7 0.123164 0.069557 ENSG00000122870
ELP6 ENSG00000163832.11 0.131733 0.067556 ENSG00000163832
CAPN1 ENSG00000014216.11 0.127965 0.066177 ENSG00000014216
FGF21 ENSG00000105550.4 0.106144 0.067079 ENSG00000105550
NNT ENSG00000112992.12 0.105932 0.074225 ENSG00000112992
ATF5 ENSG00000169136.4 0.128316 0.07426 ENSG00000169136
ITGB5 ENSG00000082781.6 0.371856 0.081509 ENSG00000082781
NKIRAS1 ENSG00000197885.6 0.112911 0.063545 ENSG00000197885
FAM46A ENSG00000112773.11 0.107602 0.064324 ENSG00000112773
PLCB4 ENSG00000101333.12 0.234726 0.088854 ENSG00000101333
ROBO4 ENSG00000154133.10 0.125539 0.075704 ENSG00000154133
ZBED6CL ENSG00000188707.4 0.147198 0.068985 ENSG00000188707
TLR6 ENSG00000174130.8 0.105242 0.063988 ENSG00000174130
