AssociatedGeneName EnsemblGeneID h2.CrossTissue se.CrossTissue ensid
LCK ENSG00000182866.12 0.104441 0.047309 ENSG00000182866
NTPCR ENSG00000135778.6 0.592031 0.059016 ENSG00000135778
PTK7 ENSG00000112655.11 0.09202 0.051671 ENSG00000112655
ABHD4 ENSG00000100439.6 0.121327 0.06 ENSG00000100439
ETV7 ENSG00000010030.9 0.123279 0.051115 ENSG00000010030
POLR2J ENSG00000005075.11 0.398663 0.066051 ENSG00000005075
ATMIN ENSG00000166454.5 0.153502 0.062451 ENSG00000166454
AKR1C1 ENSG00000187134.8 0.130784 0.056205 ENSG00000187134
GBP3 ENSG00000117226.7 0.751179 0.037323 ENSG00000117226
CDHR3 ENSG00000128536.11 0.421268 0.070472 ENSG00000128536
PILRB ENSG00000121716.13 0.51202 0.060605 ENSG00000121716
C15orf57 ENSG00000128891.11 0.579773 0.054105 ENSG00000128891
IFT88 ENSG00000032742.13 0.286971 0.058317 ENSG00000032742
IREB2 ENSG00000136381.8 0.079719 0.041958 ENSG00000136381
ARL14EP ENSG00000152219.4 0.168348 0.050957 ENSG00000152219
VNN1 ENSG00000112299.7 0.141733 0.048182 ENSG00000112299
ANXA8L2 ENSG00000186807.9 0.130554 0.054596 ENSG00000186807
GSTM2 ENSG00000213366.8 0.133068 0.058734 ENSG00000213366
ZNF205 ENSG00000122386.6 0.126327 0.04729 ENSG00000122386
RBM43 ENSG00000184898.6 0.069851 0.041208 ENSG00000184898
DARC ENSG00000213088.5 0.06841 0.038456 ENSG00000213088
CISD1 ENSG00000122873.7 0.247831 0.057196 ENSG00000122873
TMEM50B ENSG00000142188.12 0.461524 0.057668 ENSG00000142188
SCO2 ENSG00000130489.8 0.194679 0.061606 ENSG00000130489
RAD51C ENSG00000108384.10 0.189834 0.053622 ENSG00000108384
RBMS2 ENSG00000076067.7 0.192827 0.058607 ENSG00000076067
USP53 ENSG00000145390.7 0.099682 0.044953 ENSG00000145390
CAST ENSG00000153113.19 0.311877 0.064748 ENSG00000153113
C17orf97 ENSG00000187624.7 0.897577 0.01856 ENSG00000187624
ARL17B ENSG00000228696.4 0.428082 0.079667 ENSG00000228696
CAMK1D ENSG00000183049.8 0.082807 0.050451 ENSG00000183049
FAM83D ENSG00000101447.9 0.052119 0.048621 ENSG00000101447
ADAT1 ENSG00000065457.6 0.519534 0.056913 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.172178 0.055353 ENSG00000113716
TJP2 ENSG00000119139.12 0.066089 0.037646 ENSG00000119139
NME4 ENSG00000103202.8 0.175198 0.057571 ENSG00000103202
GCC2 ENSG00000135968.15 0.412738 0.060518 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.079044 0.039453 ENSG00000123610
OPN4 ENSG00000122375.7 0.403886 0.058441 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.271419 0.063488 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.648759 0.048306 ENSG00000171903
QDPR ENSG00000151552.7 0.432831 0.064006 ENSG00000151552
TDGF1 ENSG00000241186.3 0.769159 0.035497 ENSG00000241186
NSFL1C ENSG00000088833.12 0.216834 0.058103 ENSG00000088833
FANCA ENSG00000187741.10 0.355163 0.065689 ENSG00000187741
RSPO4 ENSG00000101282.4 0.528569 0.058021 ENSG00000101282
CDC42EP1 ENSG00000128283.6 0.089804 0.047614 ENSG00000128283
UBE2Z ENSG00000159202.13 0.065765 0.042301 ENSG00000159202
GSTM1 ENSG00000134184.8 0.567861 0.061034 ENSG00000134184
ZFP28 ENSG00000196867.3 0.221875 0.059687 ENSG00000196867
YIPF5 ENSG00000145817.12 0.368446 0.065062 ENSG00000145817
CCDC102A ENSG00000135736.5 0.131265 0.057174 ENSG00000135736
FADS1 ENSG00000149485.12 0.098169 0.048403 ENSG00000149485
ZNF555 ENSG00000186300.7 0.21024 0.062597 ENSG00000186300
TRIM4 ENSG00000146833.11 0.401194 0.06343 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.573636 0.052527 ENSG00000100191
GIMAP5 ENSG00000196329.6 0.11674 0.045715 ENSG00000196329
IQCB1 ENSG00000173226.12 0.601428 0.057385 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.624236 0.051028 ENSG00000101307
FRRS1 ENSG00000156869.8 0.099146 0.05368 ENSG00000156869
COG5 ENSG00000164597.9 0.116546 0.048428 ENSG00000164597
MTHFS ENSG00000136371.5 0.460928 0.060564 ENSG00000136371
PLVAP ENSG00000130300.4 0.288291 0.065818 ENSG00000130300
PPIP5K2 ENSG00000145725.14 0.056808 0.031724 ENSG00000145725
VLDLR ENSG00000147852.10 0.121521 0.056282 ENSG00000147852
C15orf38 ENSG00000242498.3 0.087716 0.051172 ENSG00000242498
C10orf107 ENSG00000183346.6 0.545784 0.056424 ENSG00000183346
BCAT1 ENSG00000060982.10 0.05021 0.04332 ENSG00000060982
ASNSD1 ENSG00000138381.5 0.339837 0.064863 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.369694 0.063694 ENSG00000196963
FUT3 ENSG00000171124.8 0.068348 0.048181 ENSG00000171124
ZFP90 ENSG00000184939.10 0.081702 0.047988 ENSG00000184939
CDH23 ENSG00000107736.15 0.171013 0.063143 ENSG00000107736
CD40 ENSG00000101017.9 0.186679 0.059189 ENSG00000101017
ZNF586 ENSG00000083828.11 0.385145 0.064453 ENSG00000083828
TDRD6 ENSG00000180113.11 0.486453 0.057597 ENSG00000180113
CYB5D2 ENSG00000167740.5 0.054988 0.036372 ENSG00000167740
CCDC74A ENSG00000163040.10 0.160502 0.057243 ENSG00000163040
GSDMB ENSG00000073605.14 0.06992 0.039802 ENSG00000073605
CD3D ENSG00000167286.5 0.107071 0.045403 ENSG00000167286
RNASEH2C ENSG00000172922.4 0.174951 0.054839 ENSG00000172922
TRIM37 ENSG00000108395.9 0.162359 0.052232 ENSG00000108395
DSCC1 ENSG00000136982.5 0.762981 0.037324 ENSG00000136982
CHML ENSG00000203668.1 0.241513 0.063866 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.15092 0.055342 ENSG00000166839
COG6 ENSG00000133103.12 0.222825 0.056478 ENSG00000133103
PPP1R16A ENSG00000160972.5 0.053297 0.031975 ENSG00000160972
ANXA8L1 ENSG00000150165.13 0.170286 0.05694 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.239703 0.061483 ENSG00000197375
MRPL2 ENSG00000112651.7 0.055316 0.040469 ENSG00000112651
NIPAL1 ENSG00000163293.7 0.402731 0.065745 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.278514 0.060112 ENSG00000100077
DDX11 ENSG00000013573.12 0.8717 0.020252 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.31275 0.062831 ENSG00000136144
NR2F6 ENSG00000160113.5 0.075538 0.050626 ENSG00000160113
ZNF589 ENSG00000164048.9 0.528106 0.070543 ENSG00000164048
C22orf43 ENSG00000189269.7 0.800448 0.031146 ENSG00000189269
ZNF605 ENSG00000196458.6 0.272421 0.069722 ENSG00000196458
TMEM230 ENSG00000089063.10 0.397016 0.064256 ENSG00000089063
C1orf87 ENSG00000162598.9 0.071435 0.042245 ENSG00000162598
C4BPA ENSG00000123838.6 0.322744 0.069717 ENSG00000123838
SLC25A51 ENSG00000122696.8 0.376221 0.060343 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.242318 0.062712 ENSG00000171130
SH3BP1 ENSG00000100092.16 0.091507 0.045777 ENSG00000100092
CYP4F12 ENSG00000186204.9 0.247547 0.06411 ENSG00000186204
PLEC ENSG00000178209.10 0.250279 0.054084 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.400359 0.061675 ENSG00000108592
CLEC4A ENSG00000111729.8 0.084991 0.038083 ENSG00000111729
ZNF554 ENSG00000172006.7 0.141808 0.050611 ENSG00000172006
RNF17 ENSG00000132972.13 0.213873 0.058013 ENSG00000132972
LMBR1 ENSG00000105983.14 0.059651 0.044591 ENSG00000105983
RPH3A ENSG00000089169.10 0.056433 0.039284 ENSG00000089169
ERO1LB ENSG00000086619.9 0.133887 0.050689 ENSG00000086619
LRRC8B ENSG00000197147.8 0.156373 0.055266 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.380846 0.060095 ENSG00000144741
PANK3 ENSG00000120137.6 0.076155 0.049175 ENSG00000120137
RAVER2 ENSG00000162437.10 0.096383 0.046727 ENSG00000162437
CRYGN ENSG00000127377.4 0.160457 0.059098 ENSG00000127377
ZNF783 ENSG00000204946.5 0.423922 0.064798 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.128554 0.052896 ENSG00000121440
VPS28 ENSG00000160948.9 0.571689 0.059211 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.385325 0.071313 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.177294 0.063978 ENSG00000166004
GSDMA ENSG00000167914.6 0.509305 0.061495 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.16815 0.062166 ENSG00000132196
CCR1 ENSG00000163823.3 0.052948 0.033736 ENSG00000163823
SAYSD1 ENSG00000112167.5 0.123277 0.056628 ENSG00000112167
CHAF1A ENSG00000167670.11 0.448414 0.058406 ENSG00000167670
SUPT16H ENSG00000092201.5 0.091052 0.053666 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.648869 0.052993 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.104814 0.038395 ENSG00000047188
TIMM21 ENSG00000075336.7 0.119594 0.047088 ENSG00000075336
NUTM2B ENSG00000188199.6 0.406644 0.062167 ENSG00000188199
PDXK ENSG00000160209.13 0.081542 0.048611 ENSG00000160209
IZUMO2 ENSG00000161652.8 0.157376 0.064482 ENSG00000161652
SACM1L ENSG00000211456.6 0.100391 0.045334 ENSG00000211456
IRF6 ENSG00000117595.6 0.276028 0.058938 ENSG00000117595
KLHL10 ENSG00000161594.6 0.159155 0.051686 ENSG00000161594
POMZP3 ENSG00000146707.10 0.798647 0.031633 ENSG00000146707
DDT ENSG00000099977.9 0.379905 0.06782 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.245049 0.058943 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.063908 0.039599 ENSG00000163145
SEC16A ENSG00000148396.14 0.207603 0.053255 ENSG00000148396
FAM27A ENSG00000182368.4 0.411648 0.145153 ENSG00000182368
CBS ENSG00000160200.13 0.091451 0.049272 ENSG00000160200
TRIOBP ENSG00000100106.15 0.257668 0.059715 ENSG00000100106
LGALS2 ENSG00000100079.5 0.256443 0.064139 ENSG00000100079
RPH3AL ENSG00000181031.11 0.606953 0.055215 ENSG00000181031
C1QTNF6 ENSG00000133466.9 0.425512 0.063324 ENSG00000133466
GIMAP4 ENSG00000133574.5 0.061682 0.037939 ENSG00000133574
CAT ENSG00000121691.4 0.213998 0.056038 ENSG00000121691
UGT2B15 ENSG00000196620.4 0.050061 0.034495 ENSG00000196620
PTPRN2 ENSG00000155093.13 0.108449 0.051993 ENSG00000155093
PODN ENSG00000174348.9 0.097721 0.043366 ENSG00000174348
KCNK17 ENSG00000124780.9 0.132366 0.052413 ENSG00000124780
POLR2E ENSG00000099817.7 0.401619 0.066063 ENSG00000099817
CLCN1 ENSG00000188037.6 0.12106 0.052431 ENSG00000188037
EREG ENSG00000124882.3 0.104091 0.042804 ENSG00000124882
FKBP8 ENSG00000105701.10 0.062228 0.037796 ENSG00000105701
SLC28A2 ENSG00000137860.7 0.44728 0.063206 ENSG00000137860
ACOX3 ENSG00000087008.11 0.261984 0.064121 ENSG00000087008
OVCH1 ENSG00000187950.4 0.06208 0.039425 ENSG00000187950
PSMB8 ENSG00000204264.4 0.071855 0.045023 ENSG00000204264
CCDC14 ENSG00000175455.10 0.05428 0.041716 ENSG00000175455
HTRA3 ENSG00000170801.5 0.110817 0.050788 ENSG00000170801
ITIH2 ENSG00000151655.13 0.28419 0.059372 ENSG00000151655
ZNF223 ENSG00000178386.8 0.066393 0.053353 ENSG00000178386
SLC25A27 ENSG00000153291.11 0.497392 0.062855 ENSG00000153291
EMR1 ENSG00000174837.10 0.192592 0.062094 ENSG00000174837
PTK6 ENSG00000101213.5 0.125066 0.047756 ENSG00000101213
RGS14 ENSG00000169220.13 0.483167 0.069049 ENSG00000169220
CCDC146 ENSG00000135205.10 0.088022 0.047292 ENSG00000135205
TIGD3 ENSG00000173825.6 0.123795 0.048151 ENSG00000173825
ZNF333 ENSG00000160961.7 0.205925 0.060866 ENSG00000160961
C19orf25 ENSG00000119559.11 0.060223 0.039868 ENSG00000119559
SLC26A5 ENSG00000170615.10 0.069532 0.03985 ENSG00000170615
TACR2 ENSG00000075073.10 0.191387 0.056823 ENSG00000075073
ABCC8 ENSG00000006071.7 0.214737 0.067338 ENSG00000006071
C19orf48 ENSG00000167747.9 0.079232 0.051497 ENSG00000167747
SGIP1 ENSG00000118473.17 0.116474 0.04854 ENSG00000118473
WDR19 ENSG00000157796.13 0.15351 0.056831 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.222816 0.058677 ENSG00000162769
TAF1C ENSG00000103168.12 0.604541 0.060504 ENSG00000103168
FCRLB ENSG00000162746.10 0.183669 0.057703 ENSG00000162746
FAM227A ENSG00000184949.10 0.076675 0.039163 ENSG00000184949
MAPK8IP3 ENSG00000138834.8 0.092194 0.050095 ENSG00000138834
ST14 ENSG00000149418.6 0.05967 0.035505 ENSG00000149418
HDDC2 ENSG00000111906.12 0.567061 0.053325 ENSG00000111906
PF4V1 ENSG00000109272.3 0.124803 0.050963 ENSG00000109272
SDHC ENSG00000143252.9 0.077236 0.041121 ENSG00000143252
ZNF320 ENSG00000182986.8 0.704644 0.049258 ENSG00000182986
PM20D1 ENSG00000162877.8 0.628416 0.048528 ENSG00000162877
SCD5 ENSG00000145284.7 0.061481 0.042144 ENSG00000145284
LRRC43 ENSG00000158113.8 0.390844 0.067059 ENSG00000158113
DCTN4 ENSG00000132912.8 0.055081 0.037145 ENSG00000132912
CCDC79 ENSG00000249961.5 0.054437 0.038793 ENSG00000249961
L1TD1 ENSG00000240563.1 0.635117 0.054158 ENSG00000240563
FAM196B ENSG00000204767.3 0.133248 0.057979 ENSG00000204767
IL21R ENSG00000103522.11 0.241165 0.05835 ENSG00000103522
MAP2K7 ENSG00000076984.13 0.070215 0.04896 ENSG00000076984
SEC23A ENSG00000100934.10 0.085775 0.05108 ENSG00000100934
CCDC66 ENSG00000180376.12 0.457474 0.062744 ENSG00000180376
GNG7 ENSG00000176533.8 0.095271 0.049282 ENSG00000176533
FAM170B ENSG00000172538.6 0.280731 0.057686 ENSG00000172538
GLDC ENSG00000178445.8 0.127401 0.052847 ENSG00000178445
RSPRY1 ENSG00000159579.9 0.223014 0.06251 ENSG00000159579
TMEM223 ENSG00000168569.7 0.133012 0.056513 ENSG00000168569
SDCCAG8 ENSG00000054282.11 0.349077 0.061569 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.305769 0.06719 ENSG00000143776
TMEM200A ENSG00000164484.7 0.060142 0.038487 ENSG00000164484
SLC24A3 ENSG00000185052.7 0.056146 0.047675 ENSG00000185052
TUBA3C ENSG00000198033.7 0.051802 0.035114 ENSG00000198033
ECHDC2 ENSG00000121310.12 0.100632 0.052118 ENSG00000121310
ATP8A1 ENSG00000124406.12 0.319767 0.066747 ENSG00000124406
FAAH ENSG00000117480.11 0.310621 0.073507 ENSG00000117480
NPTXR ENSG00000221890.2 0.070326 0.041204 ENSG00000221890
VPS13B ENSG00000132549.14 0.184547 0.056307 ENSG00000132549
TRIB3 ENSG00000101255.6 0.263326 0.069963 ENSG00000101255
GSTK1 ENSG00000197448.9 0.177678 0.062812 ENSG00000197448
HIST1H4H ENSG00000158406.2 0.093362 0.051655 ENSG00000158406
RNF166 ENSG00000158717.6 0.435471 0.061434 ENSG00000158717
CD55 ENSG00000196352.9 0.081011 0.039967 ENSG00000196352
SNX31 ENSG00000174226.4 0.604053 0.052751 ENSG00000174226
WFDC1 ENSG00000103175.6 0.115244 0.067835 ENSG00000103175
PCP2 ENSG00000174788.5 0.316908 0.060123 ENSG00000174788
GPR114 ENSG00000159618.11 0.114509 0.053973 ENSG00000159618
ARFGAP3 ENSG00000242247.6 0.108242 0.041473 ENSG00000242247
MYO1F ENSG00000142347.12 0.070275 0.046736 ENSG00000142347
SIRPD ENSG00000125900.8 0.097718 0.054386 ENSG00000125900
HS2ST1 ENSG00000153936.12 0.146903 0.053488 ENSG00000153936
EFCAB13 ENSG00000178852.11 0.405349 0.067511 ENSG00000178852
CLEC18C ENSG00000157335.15 0.552235 0.067527 ENSG00000157335
FAS ENSG00000026103.15 0.058033 0.039771 ENSG00000026103
PSAT1 ENSG00000135069.9 0.128853 0.058864 ENSG00000135069
RHPN1 ENSG00000158106.8 0.187482 0.058004 ENSG00000158106
EPO ENSG00000130427.2 0.097461 0.047981 ENSG00000130427
GSAP ENSG00000186088.11 0.179381 0.05677 ENSG00000186088
CDCA7 ENSG00000144354.9 0.072319 0.047504 ENSG00000144354
WHAMM ENSG00000156232.6 0.055232 0.042822 ENSG00000156232
BTN2A1 ENSG00000112763.11 0.09424 0.052656 ENSG00000112763
ASB8 ENSG00000177981.6 0.116145 0.043219 ENSG00000177981
NUP43 ENSG00000120253.9 0.087508 0.044156 ENSG00000120253
SEC22A ENSG00000121542.7 0.396739 0.058986 ENSG00000121542
ARHGEF35 ENSG00000213214.3 0.558416 0.057293 ENSG00000213214
MCF2L ENSG00000126217.16 0.319457 0.069697 ENSG00000126217
MYO16 ENSG00000041515.11 0.149815 0.061572 ENSG00000041515
SULT1A1 ENSG00000196502.7 0.197083 0.056847 ENSG00000196502
NCBP1 ENSG00000136937.8 0.072649 0.039172 ENSG00000136937
PROK1 ENSG00000143125.5 0.120788 0.04932 ENSG00000143125
FARP1 ENSG00000152767.11 0.052184 0.042772 ENSG00000152767
ACTR3B ENSG00000133627.13 0.145783 0.06278 ENSG00000133627
ITGA9 ENSG00000144668.7 0.104596 0.053562 ENSG00000144668
D2HGDH ENSG00000180902.12 0.097338 0.037158 ENSG00000180902
TTC18 ENSG00000156042.13 0.39838 0.073846 ENSG00000156042
CLN6 ENSG00000128973.7 0.102465 0.041253 ENSG00000128973
