AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
MCOLN2 ENSG00000153898.8 0.589349 0.068175 ENSG00000153898
SPATA20 ENSG00000006282.15 0.459862 0.082097 ENSG00000006282
OPRL1 ENSG00000125510.11 0.186013 0.080299 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.555732 0.069557 ENSG00000112053
C8orf31 ENSG00000177335.6 0.206146 0.07968 ENSG00000177335
PSD4 ENSG00000125637.10 0.192989 0.073987 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.280196 0.075346 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.596162 0.132153 ENSG00000154529
RNASET2 ENSG00000026297.11 0.171712 0.078044 ENSG00000026297
KRT38 ENSG00000171360.3 0.069173 0.055705 ENSG00000171360
RDH13 ENSG00000160439.10 0.312508 0.100728 ENSG00000160439
AGAP7 ENSG00000204169.6 0.62693 0.074762 ENSG00000204169
NSUN4 ENSG00000117481.5 0.053549 0.04807 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.494091 0.077159 ENSG00000239713
GSTM4 ENSG00000168765.11 0.052035 0.059699 ENSG00000168765
HOXB2 ENSG00000173917.9 0.194293 0.078336 ENSG00000173917
NUDT7 ENSG00000140876.7 0.053918 0.072198 ENSG00000140876
LRRC61 ENSG00000127399.10 0.438588 0.074847 ENSG00000127399
FADS2 ENSG00000134824.9 0.346104 0.087419 ENSG00000134824
LRRC37A ENSG00000176681.10 0.478085 0.08512 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.422365 0.083324 ENSG00000214872
RFWD3 ENSG00000168411.9 0.230654 0.078926 ENSG00000168411
TFIP11 ENSG00000100109.12 0.115552 0.084216 ENSG00000100109
C10orf128 ENSG00000204161.9 0.062224 0.059971 ENSG00000204161
TMEM9 ENSG00000116857.11 0.491631 0.084111 ENSG00000116857
CCDC15 ENSG00000149548.10 0.215015 0.082347 ENSG00000149548
NT5C3B ENSG00000141698.12 0.321955 0.084656 ENSG00000141698
ADCK3 ENSG00000163050.11 0.072041 0.055116 ENSG00000163050
KNSTRN ENSG00000128944.8 0.189308 0.081115 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.164244 0.078225 ENSG00000136449
CTSW ENSG00000172543.3 0.486634 0.074667 ENSG00000172543
NT5E ENSG00000135318.7 0.400794 0.076832 ENSG00000135318
ADAD2 ENSG00000140955.6 0.184355 0.096455 ENSG00000140955
CES1 ENSG00000198848.8 0.371682 0.096454 ENSG00000198848
ZNF436 ENSG00000125945.9 0.336683 0.094356 ENSG00000125945
HPR ENSG00000261701.2 0.160629 0.065058 ENSG00000261701
HAUS4 ENSG00000092036.12 0.303269 0.083732 ENSG00000092036
GRHPR ENSG00000137106.13 0.287286 0.088411 ENSG00000137106
KIF16B ENSG00000089177.13 0.400388 0.078125 ENSG00000089177
BAMBI ENSG00000095739.7 0.107789 0.076381 ENSG00000095739
LILRA4 ENSG00000239961.2 0.09312 0.084495 ENSG00000239961
H3F3A ENSG00000163041.5 0.442562 0.085737 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.198961 0.08097 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.225756 0.097318 ENSG00000154099
QRSL1 ENSG00000130348.7 0.545538 0.070793 ENSG00000130348
STOX1 ENSG00000165730.10 0.145647 0.068207 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.443729 0.086998 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.47696 0.079272 ENSG00000100197
DHFR ENSG00000228716.2 0.336216 0.080599 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.093258 0.064083 ENSG00000162383
CNGA1 ENSG00000198515.9 0.408856 0.075229 ENSG00000198515
NUP133 ENSG00000069248.8 0.169064 0.072036 ENSG00000069248
G6PC2 ENSG00000152254.6 0.293931 0.080587 ENSG00000152254
NUPR1 ENSG00000176046.7 0.052768 0.051535 ENSG00000176046
APIP ENSG00000149089.8 0.689175 0.054514 ENSG00000149089
SAMD12 ENSG00000177570.9 0.317104 0.088341 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.513753 0.081643 ENSG00000238083
ZNF641 ENSG00000167528.8 0.152525 0.058119 ENSG00000167528
TUFM ENSG00000178952.4 0.193978 0.067818 ENSG00000178952
PRSS46 ENSG00000261603.1 0.574604 0.077188 ENSG00000261603
RRP7A ENSG00000189306.6 0.454409 0.093163 ENSG00000189306
LIMS2 ENSG00000072163.14 0.086979 0.069249 ENSG00000072163
WASH4P ENSG00000234769.4 0.087159 0.083814 ENSG00000234769
ANKRD34B ENSG00000189127.3 0.061076 0.054053 ENSG00000189127
CCDC109B ENSG00000005059.11 0.089854 0.062936 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.237446 0.095061 ENSG00000145882
SMIM20 ENSG00000250317.4 0.348148 0.088711 ENSG00000250317
C8B ENSG00000021852.8 0.091551 0.070432 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.188132 0.075929 ENSG00000204038
PKP4 ENSG00000144283.17 0.086564 0.058731 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.183187 0.068869 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.28582 0.077019 ENSG00000120322
ZNF266 ENSG00000174652.13 0.54178 0.065497 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.11252 0.084351 ENSG00000178460
WARS ENSG00000140105.13 0.066188 0.065868 ENSG00000140105
APOL4 ENSG00000100336.13 0.455956 0.085243 ENSG00000100336
NTPCR ENSG00000135778.6 0.327899 0.091418 ENSG00000135778
PTK7 ENSG00000112655.11 0.090284 0.07398 ENSG00000112655
ABHD4 ENSG00000100439.6 0.052487 0.071984 ENSG00000100439
ETV7 ENSG00000010030.9 0.116977 0.072572 ENSG00000010030
POLR2J ENSG00000005075.11 0.294313 0.082926 ENSG00000005075
PMM2 ENSG00000140650.7 0.059773 0.067162 ENSG00000140650
ATMIN ENSG00000166454.5 0.143923 0.078407 ENSG00000166454
GBP3 ENSG00000117226.7 0.639031 0.064119 ENSG00000117226
PILRB ENSG00000121716.13 0.476155 0.078884 ENSG00000121716
C15orf57 ENSG00000128891.11 0.291887 0.079525 ENSG00000128891
IFT88 ENSG00000032742.13 0.112735 0.060472 ENSG00000032742
ARL14EP ENSG00000152219.4 0.232956 0.074777 ENSG00000152219
VNN1 ENSG00000112299.7 0.215333 0.081705 ENSG00000112299
STXBP2 ENSG00000076944.10 0.17327 0.088533 ENSG00000076944
FAM181A ENSG00000140067.6 0.073663 0.072251 ENSG00000140067
CISD1 ENSG00000122873.7 0.167921 0.068132 ENSG00000122873
TMEM50B ENSG00000142188.12 0.240124 0.073342 ENSG00000142188
SYF2 ENSG00000117614.5 0.217429 0.085333 ENSG00000117614
RAD51C ENSG00000108384.10 0.17609 0.069442 ENSG00000108384
BRD7 ENSG00000166164.11 0.056522 0.06486 ENSG00000166164
CAST ENSG00000153113.19 0.199375 0.077067 ENSG00000153113
C17orf97 ENSG00000187624.7 0.656922 0.071842 ENSG00000187624
ARL17B ENSG00000228696.4 0.144594 0.072079 ENSG00000228696
GLIS3 ENSG00000107249.17 0.14142 0.083118 ENSG00000107249
ADAT1 ENSG00000065457.6 0.417884 0.075338 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.187601 0.078784 ENSG00000113716
TJP2 ENSG00000119139.12 0.109065 0.06796 ENSG00000119139
GCC2 ENSG00000135968.15 0.477475 0.079712 ENSG00000135968
OPN4 ENSG00000122375.7 0.19659 0.078886 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.250527 0.077087 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.629758 0.061339 ENSG00000171903
QDPR ENSG00000151552.7 0.293172 0.083014 ENSG00000151552
NSFL1C ENSG00000088833.12 0.18061 0.08473 ENSG00000088833
KLK15 ENSG00000174562.9 0.064173 0.076755 ENSG00000174562
FANCA ENSG00000187741.10 0.050396 0.052808 ENSG00000187741
RSPO4 ENSG00000101282.4 0.101799 0.074575 ENSG00000101282
MAML3 ENSG00000196782.8 0.10586 0.076694 ENSG00000196782
GSTM1 ENSG00000134184.8 0.192668 0.093601 ENSG00000134184
COG1 ENSG00000166685.7 0.177131 0.077683 ENSG00000166685
ZFP28 ENSG00000196867.3 0.051558 0.062178 ENSG00000196867
YIPF5 ENSG00000145817.12 0.092458 0.066833 ENSG00000145817
FADS1 ENSG00000149485.12 0.080743 0.060966 ENSG00000149485
TRIM4 ENSG00000146833.11 0.425127 0.077731 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.42993 0.083112 ENSG00000100191
DTD1 ENSG00000125821.7 0.168723 0.074371 ENSG00000125821
IQCB1 ENSG00000173226.12 0.287803 0.073664 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.40313 0.089603 ENSG00000101307
PPARGC1A ENSG00000109819.4 0.061642 0.063532 ENSG00000109819
FRRS1 ENSG00000156869.8 0.081354 0.057956 ENSG00000156869
MTHFS ENSG00000136371.5 0.149729 0.075366 ENSG00000136371
PPIP5K2 ENSG00000145725.14 0.091902 0.056504 ENSG00000145725
VLDLR ENSG00000147852.10 0.265356 0.08573 ENSG00000147852
C10orf107 ENSG00000183346.6 0.451006 0.077332 ENSG00000183346
BCAT1 ENSG00000060982.10 0.135124 0.076662 ENSG00000060982
USP37 ENSG00000135913.6 0.051307 0.067162 ENSG00000135913
ASNSD1 ENSG00000138381.5 0.312413 0.075475 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.381631 0.080511 ENSG00000196963
CD40 ENSG00000101017.9 0.104045 0.073598 ENSG00000101017
ZNF586 ENSG00000083828.11 0.156856 0.071147 ENSG00000083828
TDRD6 ENSG00000180113.11 0.299404 0.081233 ENSG00000180113
CCDC74A ENSG00000163040.10 0.136105 0.068511 ENSG00000163040
RNASEH2C ENSG00000172922.4 0.064495 0.048501 ENSG00000172922
TRIM37 ENSG00000108395.9 0.101382 0.053651 ENSG00000108395
DSCC1 ENSG00000136982.5 0.423156 0.078215 ENSG00000136982
VPS36 ENSG00000136100.8 0.150199 0.076701 ENSG00000136100
CHML ENSG00000203668.1 0.10503 0.078473 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.103675 0.067911 ENSG00000166839
NIPAL1 ENSG00000163293.7 0.122997 0.064266 ENSG00000163293
DDX11 ENSG00000013573.12 0.830956 0.035482 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.197238 0.076887 ENSG00000136144
ZNF589 ENSG00000164048.9 0.261514 0.082014 ENSG00000164048
C22orf43 ENSG00000189269.7 0.678403 0.062274 ENSG00000189269
ZNF605 ENSG00000196458.6 0.145011 0.064817 ENSG00000196458
TMEM230 ENSG00000089063.10 0.481357 0.08593 ENSG00000089063
C4BPA ENSG00000123838.6 0.091351 0.067743 ENSG00000123838
SLC35D1 ENSG00000116704.6 0.066606 0.059088 ENSG00000116704
SLC25A51 ENSG00000122696.8 0.175247 0.066474 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.213685 0.09629 ENSG00000171130
RNF141 ENSG00000110315.2 0.156191 0.075998 ENSG00000110315
CYP4F12 ENSG00000186204.9 0.159625 0.075005 ENSG00000186204
PLEC ENSG00000178209.10 0.322646 0.07255 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.295079 0.072812 ENSG00000108592
CLEC4A ENSG00000111729.8 0.104316 0.077722 ENSG00000111729
ZNF554 ENSG00000172006.7 0.198727 0.077552 ENSG00000172006
RNF17 ENSG00000132972.13 0.081887 0.068579 ENSG00000132972
LMBR1 ENSG00000105983.14 0.061718 0.072054 ENSG00000105983
ERO1LB ENSG00000086619.9 0.063281 0.058001 ENSG00000086619
PI16 ENSG00000164530.9 0.056954 0.062122 ENSG00000164530
LRRC8B ENSG00000197147.8 0.055841 0.05669 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.394009 0.085795 ENSG00000144741
RAVER2 ENSG00000162437.10 0.245524 0.080789 ENSG00000162437
CRYGN ENSG00000127377.4 0.2069 0.091481 ENSG00000127377
COX6B2 ENSG00000160471.7 0.145293 0.085474 ENSG00000160471
ZNF783 ENSG00000204946.5 0.322056 0.080659 ENSG00000204946
VPS28 ENSG00000160948.9 0.053184 0.059877 ENSG00000160948
PRF1 ENSG00000180644.6 0.110979 0.076346 ENSG00000180644
SERPINC1 ENSG00000117601.9 0.116979 0.062363 ENSG00000117601
GSDMA ENSG00000167914.6 0.300726 0.07807 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.139097 0.081032 ENSG00000132196
TOB1 ENSG00000141232.4 0.106926 0.072761 ENSG00000141232
BNC2 ENSG00000173068.13 0.150576 0.08212 ENSG00000173068
CHAF1A ENSG00000167670.11 0.366863 0.085488 ENSG00000167670
SRD5A3 ENSG00000128039.6 0.440956 0.091287 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.067557 0.048255 ENSG00000047188
ZNF763 ENSG00000197054.7 0.076534 0.065969 ENSG00000197054
NUTM2B ENSG00000188199.6 0.257414 0.080254 ENSG00000188199
SACM1L ENSG00000211456.6 0.313614 0.072752 ENSG00000211456
KLHL10 ENSG00000161594.6 0.363714 0.079605 ENSG00000161594
POMZP3 ENSG00000146707.10 0.675582 0.058502 ENSG00000146707
DDT ENSG00000099977.9 0.216598 0.082812 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.109189 0.064738 ENSG00000213246
SEC16A ENSG00000148396.14 0.20174 0.078078 ENSG00000148396
TRIOBP ENSG00000100106.15 0.356256 0.080506 ENSG00000100106
RPH3AL ENSG00000181031.11 0.312074 0.093026 ENSG00000181031
C1QTNF6 ENSG00000133466.9 0.182007 0.089892 ENSG00000133466
CAT ENSG00000121691.4 0.372359 0.077646 ENSG00000121691
PTPRN2 ENSG00000155093.13 0.080463 0.066495 ENSG00000155093
PODN ENSG00000174348.9 0.079629 0.058793 ENSG00000174348
POLR2E ENSG00000099817.7 0.275566 0.100035 ENSG00000099817
UBR3 ENSG00000144357.12 0.162709 0.071761 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.278181 0.078312 ENSG00000137860
ACOX3 ENSG00000087008.11 0.321338 0.089374 ENSG00000087008
OVCH1 ENSG00000187950.4 0.053981 0.055628 ENSG00000187950
CPSF3 ENSG00000119203.9 0.050344 0.05397 ENSG00000119203
ZNF223 ENSG00000178386.8 0.09035 0.087122 ENSG00000178386
ESYT2 ENSG00000117868.11 0.154311 0.070388 ENSG00000117868
SLC25A27 ENSG00000153291.11 0.252315 0.088696 ENSG00000153291
RGS14 ENSG00000169220.13 0.120365 0.072004 ENSG00000169220
CCDC146 ENSG00000135205.10 0.145903 0.071486 ENSG00000135205
TIGD3 ENSG00000173825.6 0.076414 0.058816 ENSG00000173825
ZNF333 ENSG00000160961.7 0.303396 0.090285 ENSG00000160961
SLC26A5 ENSG00000170615.10 0.089784 0.060539 ENSG00000170615
ABCC8 ENSG00000006071.7 0.108777 0.074041 ENSG00000006071
C19orf48 ENSG00000167747.9 0.1029 0.092761 ENSG00000167747
SGIP1 ENSG00000118473.17 0.110664 0.061786 ENSG00000118473
WDR19 ENSG00000157796.13 0.095057 0.063357 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.224331 0.075974 ENSG00000162769
TAF1C ENSG00000103168.12 0.506486 0.089476 ENSG00000103168
FAM227A ENSG00000184949.10 0.137884 0.061304 ENSG00000184949
HDDC2 ENSG00000111906.12 0.335031 0.078565 ENSG00000111906
SDHC ENSG00000143252.9 0.136629 0.072946 ENSG00000143252
ZNF320 ENSG00000182986.8 0.339169 0.109718 ENSG00000182986
PM20D1 ENSG00000162877.8 0.457078 0.070086 ENSG00000162877
LRRC43 ENSG00000158113.8 0.147974 0.067995 ENSG00000158113
L1TD1 ENSG00000240563.1 0.559079 0.083333 ENSG00000240563
FAM196B ENSG00000204767.3 0.071138 0.062743 ENSG00000204767
IL21R ENSG00000103522.11 0.123621 0.058046 ENSG00000103522
AIP ENSG00000110711.4 0.066558 0.062187 ENSG00000110711
DMWD ENSG00000185800.7 0.079623 0.083246 ENSG00000185800
MAP2K7 ENSG00000076984.13 0.087579 0.076677 ENSG00000076984
SEC23A ENSG00000100934.10 0.093691 0.064439 ENSG00000100934
CCDC66 ENSG00000180376.12 0.31591 0.077568 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.284661 0.090144 ENSG00000100321
FAM170B ENSG00000172538.6 0.073013 0.055329 ENSG00000172538
GLDC ENSG00000178445.8 0.585949 0.076468 ENSG00000178445
RSPRY1 ENSG00000159579.9 0.19227 0.088056 ENSG00000159579
SDCCAG8 ENSG00000054282.11 0.210031 0.089923 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.052302 0.050844 ENSG00000143776
FGD5 ENSG00000154783.6 0.056438 0.064345 ENSG00000154783
ECHDC2 ENSG00000121310.12 0.069745 0.062625 ENSG00000121310
FAAH ENSG00000117480.11 0.106369 0.066263 ENSG00000117480
VPS13B ENSG00000132549.14 0.12186 0.063745 ENSG00000132549
RNF166 ENSG00000158717.6 0.30461 0.084732 ENSG00000158717
CD55 ENSG00000196352.9 0.152603 0.068977 ENSG00000196352
SNX31 ENSG00000174226.4 0.556824 0.082735 ENSG00000174226
WFDC1 ENSG00000103175.6 0.06359 0.076369 ENSG00000103175
PCP2 ENSG00000174788.5 0.392444 0.084418 ENSG00000174788
ARFGAP3 ENSG00000242247.6 0.264261 0.075554 ENSG00000242247
MYO1F ENSG00000142347.12 0.07806 0.07233 ENSG00000142347
MTL5 ENSG00000132749.6 0.119969 0.068784 ENSG00000132749
EFCAB13 ENSG00000178852.11 0.082456 0.053823 ENSG00000178852
CLEC18C ENSG00000157335.15 0.329531 0.090817 ENSG00000157335
FAS ENSG00000026103.15 0.056158 0.066664 ENSG00000026103
CCR3 ENSG00000183625.10 0.054718 0.050028 ENSG00000183625
GSAP ENSG00000186088.11 0.240054 0.088673 ENSG00000186088
CDCA7 ENSG00000144354.9 0.183011 0.085349 ENSG00000144354
GIMAP7 ENSG00000179144.4 0.103428 0.063165 ENSG00000179144
ASB8 ENSG00000177981.6 0.07488 0.056428 ENSG00000177981
SEC22A ENSG00000121542.7 0.211388 0.066572 ENSG00000121542
ARPC1B ENSG00000130429.8 0.233874 0.08036 ENSG00000130429
ARHGEF35 ENSG00000213214.3 0.575439 0.071929 ENSG00000213214
MCF2L ENSG00000126217.16 0.424761 0.093905 ENSG00000126217
MYO16 ENSG00000041515.11 0.104579 0.081533 ENSG00000041515
SULT1A1 ENSG00000196502.7 0.227452 0.072145 ENSG00000196502
PROK1 ENSG00000143125.5 0.26475 0.077886 ENSG00000143125
ITGA9 ENSG00000144668.7 0.088685 0.071079 ENSG00000144668
TTC18 ENSG00000156042.13 0.262959 0.086475 ENSG00000156042
CLN6 ENSG00000128973.7 0.141152 0.069462 ENSG00000128973
AK5 ENSG00000154027.14 0.118439 0.072337 ENSG00000154027
ERP27 ENSG00000139055.2 0.419668 0.077946 ENSG00000139055
ATP5G1 ENSG00000159199.9 0.160691 0.071572 ENSG00000159199
GNMT ENSG00000124713.5 0.248401 0.077686 ENSG00000124713
FANCC ENSG00000158169.7 0.142898 0.087543 ENSG00000158169
C19orf40 ENSG00000131944.5 0.059091 0.063782 ENSG00000131944
USP10 ENSG00000103194.11 0.070759 0.084509 ENSG00000103194
TPM2 ENSG00000198467.9 0.18634 0.075452 ENSG00000198467
HEBP1 ENSG00000013583.4 0.108536 0.077692 ENSG00000013583
MRI1 ENSG00000037757.9 0.294934 0.090062 ENSG00000037757
ZNF419 ENSG00000105136.15 0.083111 0.060962 ENSG00000105136
TOP1MT ENSG00000184428.8 0.057527 0.053998 ENSG00000184428
BIK ENSG00000100290.2 0.245787 0.091635 ENSG00000100290
TTC28 ENSG00000100154.10 0.091953 0.066699 ENSG00000100154
CMTM7 ENSG00000153551.9 0.077983 0.068388 ENSG00000153551
EAF2 ENSG00000145088.4 0.059946 0.047557 ENSG00000145088
ABTB2 ENSG00000166016.4 0.110221 0.071287 ENSG00000166016
PYROXD1 ENSG00000121350.11 0.211745 0.073477 ENSG00000121350
KRT72 ENSG00000170486.6 0.182686 0.074438 ENSG00000170486
C9orf72 ENSG00000147894.10 0.327622 0.083195 ENSG00000147894
CCDC3 ENSG00000151468.9 0.098337 0.082989 ENSG00000151468
CTTNBP2 ENSG00000077063.6 0.086399 0.060363 ENSG00000077063
HSD17B12 ENSG00000149084.7 0.724771 0.052159 ENSG00000149084
SPC25 ENSG00000152253.4 0.125837 0.069065 ENSG00000152253
AMH ENSG00000104899.3 0.355985 0.088111 ENSG00000104899
SHROOM1 ENSG00000164403.10 0.10488 0.062774 ENSG00000164403
SNX1 ENSG00000028528.10 0.088361 0.059847 ENSG00000028528
TMEM204 ENSG00000131634.9 0.084046 0.076521 ENSG00000131634
CNPY4 ENSG00000166997.3 0.151228 0.077669 ENSG00000166997
GPR39 ENSG00000183840.5 0.058721 0.062012 ENSG00000183840
TTC13 ENSG00000143643.8 0.112766 0.070381 ENSG00000143643
ARHGEF7 ENSG00000102606.13 0.31831 0.094688 ENSG00000102606
ZNF132 ENSG00000131849.10 0.283337 0.078878 ENSG00000131849
STX2 ENSG00000111450.9 0.639622 0.070307 ENSG00000111450
FOXC1 ENSG00000054598.5 0.067016 0.062371 ENSG00000054598
ANTXRL ENSG00000198250.8 0.121432 0.072583 ENSG00000198250
ZNF766 ENSG00000196214.6 0.05393 0.06372 ENSG00000196214
PCDHGA6 ENSG00000253731.1 0.158731 0.07428 ENSG00000253731
MSX2 ENSG00000120149.7 0.15706 0.092099 ENSG00000120149
TRAF3IP3 ENSG00000009790.10 0.069122 0.059312 ENSG00000009790
ZNF880 ENSG00000221923.4 0.125566 0.083792 ENSG00000221923
NUP54 ENSG00000138750.10 0.297898 0.074008 ENSG00000138750
SDK2 ENSG00000069188.12 0.247314 0.096554 ENSG00000069188
PPP2R5A ENSG00000066027.6 0.230279 0.07333 ENSG00000066027
GJA3 ENSG00000121743.3 0.050874 0.051627 ENSG00000121743
SHB ENSG00000107338.8 0.076821 0.056681 ENSG00000107338
FBLL1 ENSG00000188573.7 0.441488 0.076513 ENSG00000188573
DLD ENSG00000091140.8 0.147521 0.068626 ENSG00000091140
INTS12 ENSG00000138785.10 0.148125 0.059543 ENSG00000138785
NDNF ENSG00000173376.9 0.360529 0.08204 ENSG00000173376
FAM189A2 ENSG00000135063.13 0.132784 0.068767 ENSG00000135063
UBE2H ENSG00000186591.7 0.08369 0.060367 ENSG00000186591
C11orf21 ENSG00000110665.7 0.088154 0.068937 ENSG00000110665
GIMAP1 ENSG00000213203.2 0.099019 0.072627 ENSG00000213203
C2orf27A ENSG00000197927.8 0.367329 0.077002 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.32559 0.08574 ENSG00000099377
ANK3 ENSG00000151150.15 0.22335 0.081929 ENSG00000151150
KCNC4 ENSG00000116396.9 0.07423 0.059665 ENSG00000116396
PROZ ENSG00000126231.9 0.386083 0.087916 ENSG00000126231
GPX7 ENSG00000116157.5 0.491751 0.076918 ENSG00000116157
CLEC4G ENSG00000182566.8 0.087787 0.080496 ENSG00000182566
AP1M2 ENSG00000129354.7 0.402328 0.086731 ENSG00000129354
SNF8 ENSG00000159210.5 0.090521 0.058555 ENSG00000159210
IRAK1BP1 ENSG00000146243.9 0.156275 0.059636 ENSG00000146243
THAP5 ENSG00000177683.9 0.090878 0.053955 ENSG00000177683
TCTEX1D1 ENSG00000152760.5 0.196464 0.081719 ENSG00000152760
DENND3 ENSG00000105339.6 0.192733 0.08755 ENSG00000105339
C19orf60 ENSG00000006015.13 0.065031 0.062096 ENSG00000006015
DNASE1L1 ENSG00000013563.8 0.126974 0.084875 ENSG00000013563
TENC1 ENSG00000111077.13 0.067218 0.062085 ENSG00000111077
TMEM183A ENSG00000163444.7 0.207486 0.091945 ENSG00000163444
SLC18B1 ENSG00000146409.6 0.085589 0.066918 ENSG00000146409
MAPK8 ENSG00000107643.11 0.11411 0.064901 ENSG00000107643
NARFL ENSG00000103245.9 0.462383 0.095415 ENSG00000103245
TRAK1 ENSG00000182606.10 0.058438 0.05685 ENSG00000182606
SUSD2 ENSG00000099994.10 0.246035 0.081032 ENSG00000099994
NIT2 ENSG00000114021.6 0.077848 0.060239 ENSG00000114021
STRIP2 ENSG00000128578.5 0.077749 0.058232 ENSG00000128578
ZNF83 ENSG00000167766.13 0.697824 0.067649 ENSG00000167766
AP4M1 ENSG00000221838.5 0.14323 0.062143 ENSG00000221838
SSBP4 ENSG00000130511.10 0.126472 0.062966 ENSG00000130511
NFYA ENSG00000001167.10 0.410376 0.079485 ENSG00000001167
ITGA1 ENSG00000213949.4 0.078881 0.064336 ENSG00000213949
ZNF425 ENSG00000204947.4 0.230147 0.077625 ENSG00000204947
TTLL12 ENSG00000100304.12 0.187608 0.085906 ENSG00000100304
TOM1L2 ENSG00000175662.13 0.051076 0.053612 ENSG00000175662
RFT1 ENSG00000163933.5 0.396227 0.081312 ENSG00000163933
LACTB2 ENSG00000147592.4 0.109424 0.063158 ENSG00000147592
PFKP ENSG00000067057.11 0.062922 0.066423 ENSG00000067057
ZNF69 ENSG00000198429.5 0.100283 0.067651 ENSG00000198429
TRDMT1 ENSG00000107614.17 0.349318 0.080765 ENSG00000107614
