AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
MYCBPAP ENSG00000136449.9 0.185566 0.082838 ENSG00000136449
CTSW ENSG00000172543.3 0.424272 0.079167 ENSG00000172543
NT5E ENSG00000135318.7 0.076077 0.045882 ENSG00000135318
ADAD2 ENSG00000140955.6 0.296659 0.110479 ENSG00000140955
CES1 ENSG00000198848.8 0.021265 0.055103 ENSG00000198848
ZNF436 ENSG00000125945.9 0.353558 0.091831 ENSG00000125945
HPR ENSG00000261701.2 0.430772 0.0874 ENSG00000261701
HAUS4 ENSG00000092036.12 0.410689 0.088388 ENSG00000092036
GRHPR ENSG00000137106.13 0.071641 0.071265 ENSG00000137106
KIF16B ENSG00000089177.13 0.36913 0.100017 ENSG00000089177
BAMBI ENSG00000095739.7 0.010953 0.059415 ENSG00000095739
H3F3A ENSG00000163041.5 0.468045 0.084478 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.18496 0.073422 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.065488 0.084613 ENSG00000154099
QRSL1 ENSG00000130348.7 0.458115 0.07923 ENSG00000130348
STOX1 ENSG00000165730.10 0.319976 0.086219 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.384648 0.086848 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.393261 0.087508 ENSG00000100197
DHFR ENSG00000228716.2 0.339231 0.082476 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.335226 0.085927 ENSG00000162383
CNGA1 ENSG00000198515.9 0.316247 0.074747 ENSG00000198515
NUP133 ENSG00000069248.8 0.012481 0.058067 ENSG00000069248
G6PC2 ENSG00000152254.6 0.382778 0.083782 ENSG00000152254
NUPR1 ENSG00000176046.7 0.035209 0.048826 ENSG00000176046
APIP ENSG00000149089.8 0.624844 0.067975 ENSG00000149089
SAMD12 ENSG00000177570.9 0.101639 0.07771 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.544525 0.080899 ENSG00000238083
ZNF641 ENSG00000167528.8 0.075537 0.055191 ENSG00000167528
TUFM ENSG00000178952.4 0.262016 0.081185 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.121115 0.08308 ENSG00000156113
PRSS46 ENSG00000261603.1 0.076184 0.067677 ENSG00000261603
SOAT1 ENSG00000057252.8 0.093963 0.059941 ENSG00000057252
RRP7A ENSG00000189306.6 0.418446 0.096608 ENSG00000189306
IFITM3 ENSG00000142089.11 0.185636 0.083777 ENSG00000142089
ARHGAP22 ENSG00000128805.10 0.111329 0.068296 ENSG00000128805
LIMS2 ENSG00000072163.14 0.065335 0.062249 ENSG00000072163
PCYOX1L ENSG00000145882.6 0.125365 0.086823 ENSG00000145882
AL359195.1 ENSG00000204038.3 0.449683 0.082126 ENSG00000204038
TACSTD2 ENSG00000184292.5 0.204029 0.093166 ENSG00000184292
GM2A ENSG00000196743.4 0.028826 0.045111 ENSG00000196743
LIPN ENSG00000204020.5 0.020641 0.053161 ENSG00000204020
COLGALT2 ENSG00000198756.6 0.07228 0.058168 ENSG00000198756
PCDHB8 ENSG00000120322.2 0.350716 0.085717 ENSG00000120322
ZNF266 ENSG00000174652.13 0.663105 0.060274 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.060028 0.077277 ENSG00000178460
CYP4F31P ENSG00000178206.3 0.048983 0.056337 ENSG00000178206
WARS ENSG00000140105.13 0.095151 0.079118 ENSG00000140105
APOL4 ENSG00000100336.13 0.282781 0.09858 ENSG00000100336
LCK ENSG00000182866.12 0.10097 0.075826 ENSG00000182866
NTPCR ENSG00000135778.6 0.156567 0.084652 ENSG00000135778
ABHD4 ENSG00000100439.6 0.056628 0.069653 ENSG00000100439
ETV7 ENSG00000010030.9 0.204771 0.081849 ENSG00000010030
POLR2J ENSG00000005075.11 0.086353 0.067269 ENSG00000005075
C12orf61 ENSG00000221949.2 0.059057 0.08158 ENSG00000221949
PAQR5 ENSG00000137819.9 0.093907 0.066973 ENSG00000137819
PMM2 ENSG00000140650.7 0.046235 0.063705 ENSG00000140650
AKR1C1 ENSG00000187134.8 0.062561 0.065538 ENSG00000187134
GBP3 ENSG00000117226.7 0.583954 0.073494 ENSG00000117226
CDHR3 ENSG00000128536.11 0.303906 0.096003 ENSG00000128536
PILRB ENSG00000121716.13 0.539254 0.078441 ENSG00000121716
C15orf57 ENSG00000128891.11 0.533549 0.073565 ENSG00000128891
IFT88 ENSG00000032742.13 0.191205 0.075794 ENSG00000032742
IREB2 ENSG00000136381.8 0.136799 0.077417 ENSG00000136381
ARL14EP ENSG00000152219.4 0.190678 0.070737 ENSG00000152219
VNN1 ENSG00000112299.7 0.048193 0.056515 ENSG00000112299
STXBP2 ENSG00000076944.10 0.081605 0.074387 ENSG00000076944
ANXA8L2 ENSG00000186807.9 0.389122 0.082822 ENSG00000186807
GSTM2 ENSG00000213366.8 0.204281 0.101188 ENSG00000213366
ZNF205 ENSG00000122386.6 0.045955 0.058389 ENSG00000122386
CCR7 ENSG00000126353.3 0.010532 0.039624 ENSG00000126353
RBM43 ENSG00000184898.6 0.033409 0.04581 ENSG00000184898
CISD1 ENSG00000122873.7 0.247889 0.07815 ENSG00000122873
GAL ENSG00000069482.6 0.106465 0.061863 ENSG00000069482
TMEM50B ENSG00000142188.12 0.533674 0.075132 ENSG00000142188
SYF2 ENSG00000117614.5 0.040197 0.076964 ENSG00000117614
RAD51C ENSG00000108384.10 0.152388 0.066392 ENSG00000108384
BRD7 ENSG00000166164.11 0.011694 0.062536 ENSG00000166164
CAST ENSG00000153113.19 0.653877 0.069475 ENSG00000153113
C17orf97 ENSG00000187624.7 0.717063 0.066352 ENSG00000187624
ARL17B ENSG00000228696.4 0.092981 0.061549 ENSG00000228696
GLIS3 ENSG00000107249.17 0.0874 0.087708 ENSG00000107249
ADAT1 ENSG00000065457.6 0.616963 0.068224 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.262317 0.089059 ENSG00000113716
TJP2 ENSG00000119139.12 0.016021 0.049092 ENSG00000119139
NME4 ENSG00000103202.8 0.250431 0.096818 ENSG00000103202
GCC2 ENSG00000135968.15 0.35872 0.081897 ENSG00000135968
OPN4 ENSG00000122375.7 0.346123 0.081406 ENSG00000122375
THADA ENSG00000115970.14 0.055764 0.0677 ENSG00000115970
PCDHB11 ENSG00000197479.4 0.213223 0.082819 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.768615 0.051405 ENSG00000171903
QDPR ENSG00000151552.7 0.195416 0.083285 ENSG00000151552
TDGF1 ENSG00000241186.3 0.616905 0.072741 ENSG00000241186
NSFL1C ENSG00000088833.12 0.079064 0.069019 ENSG00000088833
MAPK14 ENSG00000112062.6 0.034539 0.049613 ENSG00000112062
FANCA ENSG00000187741.10 0.331909 0.085119 ENSG00000187741
RSPO4 ENSG00000101282.4 0.571377 0.081274 ENSG00000101282
PARP16 ENSG00000138617.10 0.023363 0.043719 ENSG00000138617
CDC42EP1 ENSG00000128283.6 0.155974 0.083777 ENSG00000128283
UBE2Z ENSG00000159202.13 0.09431 0.064228 ENSG00000159202
GSTM1 ENSG00000134184.8 0.466704 0.101181 ENSG00000134184
ZFP28 ENSG00000196867.3 0.213445 0.086672 ENSG00000196867
YIPF5 ENSG00000145817.12 0.14069 0.07264 ENSG00000145817
CCDC102A ENSG00000135736.5 0.101994 0.084987 ENSG00000135736
KIAA2013 ENSG00000116685.11 0.176391 0.0816 ENSG00000116685
FADS1 ENSG00000149485.12 0.234878 0.088728 ENSG00000149485
ZNF555 ENSG00000186300.7 0.071415 0.065585 ENSG00000186300
TRIM4 ENSG00000146833.11 0.546446 0.077353 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.439311 0.085199 ENSG00000100191
DTD1 ENSG00000125821.7 0.170169 0.07427 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.133454 0.0777 ENSG00000196329
IQCB1 ENSG00000173226.12 0.307605 0.074957 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.614157 0.080035 ENSG00000101307
BSPRY ENSG00000119411.10 0.130536 0.074236 ENSG00000119411
PDSS1 ENSG00000148459.11 0.011417 0.043902 ENSG00000148459
COG5 ENSG00000164597.9 0.059703 0.057835 ENSG00000164597
MTHFS ENSG00000136371.5 0.445988 0.082927 ENSG00000136371
PLVAP ENSG00000130300.4 0.335031 0.089587 ENSG00000130300
PPIP5K2 ENSG00000145725.14 0.205283 0.08121 ENSG00000145725
VLDLR ENSG00000147852.10 0.430797 0.091964 ENSG00000147852
C15orf38 ENSG00000242498.3 0.034649 0.071425 ENSG00000242498
C10orf107 ENSG00000183346.6 0.49416 0.073856 ENSG00000183346
BCAT1 ENSG00000060982.10 0.254923 0.098268 ENSG00000060982
ASNSD1 ENSG00000138381.5 0.419997 0.081982 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.506633 0.080498 ENSG00000196963
TMEM45A ENSG00000181458.6 0.106424 0.063854 ENSG00000181458
CDH23 ENSG00000107736.15 0.212859 0.09434 ENSG00000107736
CD40 ENSG00000101017.9 0.129101 0.074386 ENSG00000101017
ZNF586 ENSG00000083828.11 0.199691 0.081675 ENSG00000083828
TDRD6 ENSG00000180113.11 0.454595 0.086687 ENSG00000180113
CCDC74A ENSG00000163040.10 0.178892 0.084408 ENSG00000163040
GSDMB ENSG00000073605.14 0.070449 0.052383 ENSG00000073605
RNASEH2C ENSG00000172922.4 0.100862 0.057856 ENSG00000172922
TRIM37 ENSG00000108395.9 0.210111 0.082478 ENSG00000108395
DSCC1 ENSG00000136982.5 0.516371 0.080354 ENSG00000136982
CHML ENSG00000203668.1 0.251263 0.105476 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.201849 0.078968 ENSG00000166839
COG6 ENSG00000133103.12 0.16934 0.079555 ENSG00000133103
SYTL2 ENSG00000137501.12 0.021333 0.056285 ENSG00000137501
ANXA8L1 ENSG00000150165.13 0.185956 0.078416 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.176133 0.076849 ENSG00000197375
MRPL2 ENSG00000112651.7 0.129271 0.087673 ENSG00000112651
NIPAL1 ENSG00000163293.7 0.135499 0.078048 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.340063 0.096882 ENSG00000100077
DDX11 ENSG00000013573.12 0.832523 0.037638 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.216976 0.07559 ENSG00000136144
ZNF589 ENSG00000164048.9 0.483034 0.085079 ENSG00000164048
C22orf43 ENSG00000189269.7 0.661864 0.066738 ENSG00000189269
ZNF605 ENSG00000196458.6 0.185475 0.068684 ENSG00000196458
TMEM230 ENSG00000089063.10 0.175672 0.09175 ENSG00000089063
ANKRD49 ENSG00000168876.4 0.096476 0.071276 ENSG00000168876
ADORA1 ENSG00000163485.11 0.038302 0.070517 ENSG00000163485
C4BPA ENSG00000123838.6 0.296743 0.09683 ENSG00000123838
SLC25A51 ENSG00000122696.8 0.28887 0.081189 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.560859 0.078327 ENSG00000171130
RNF141 ENSG00000110315.2 0.094943 0.075749 ENSG00000110315
SH3BP1 ENSG00000100092.16 0.077948 0.065837 ENSG00000100092
CYP4F12 ENSG00000186204.9 0.191824 0.085876 ENSG00000186204
PLEC ENSG00000178209.10 0.322554 0.07522 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.345798 0.074744 ENSG00000108592
ZNF554 ENSG00000172006.7 0.11391 0.078386 ENSG00000172006
RNF17 ENSG00000132972.13 0.167928 0.082174 ENSG00000132972
LMBR1 ENSG00000105983.14 0.250244 0.09701 ENSG00000105983
EPHB4 ENSG00000196411.5 0.013962 0.039099 ENSG00000196411
ERO1LB ENSG00000086619.9 0.287839 0.093609 ENSG00000086619
PI16 ENSG00000164530.9 0.126945 0.076908 ENSG00000164530
LRRC8B ENSG00000197147.8 0.406565 0.078481 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.224108 0.084558 ENSG00000144741
PANK3 ENSG00000120137.6 0.024357 0.062345 ENSG00000120137
RAVER2 ENSG00000162437.10 0.128292 0.082786 ENSG00000162437
CRYGN ENSG00000127377.4 0.226032 0.08389 ENSG00000127377
COX6B2 ENSG00000160471.7 0.055674 0.087338 ENSG00000160471
ZNF783 ENSG00000204946.5 0.318728 0.088851 ENSG00000204946
VPS28 ENSG00000160948.9 0.642243 0.072865 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.153897 0.073366 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.060862 0.084337 ENSG00000166004
GSDMA ENSG00000167914.6 0.417049 0.086078 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.062516 0.074211 ENSG00000132196
ANO10 ENSG00000160746.8 0.102287 0.060756 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.054005 0.065316 ENSG00000112167
SNX20 ENSG00000167208.10 0.013809 0.056226 ENSG00000167208
CHAF1A ENSG00000167670.11 0.375489 0.085092 ENSG00000167670
SRD5A3 ENSG00000128039.6 0.076361 0.075678 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.024959 0.038989 ENSG00000047188
TIMM21 ENSG00000075336.7 0.039876 0.065408 ENSG00000075336
PCSK9 ENSG00000169174.9 0.095573 0.079184 ENSG00000169174
NUTM2B ENSG00000188199.6 0.306725 0.083398 ENSG00000188199
IZUMO2 ENSG00000161652.8 0.04876 0.077936 ENSG00000161652
SACM1L ENSG00000211456.6 0.119449 0.065304 ENSG00000211456
IRF6 ENSG00000117595.6 0.373575 0.082285 ENSG00000117595
KLHL10 ENSG00000161594.6 0.171989 0.065523 ENSG00000161594
C15orf27 ENSG00000169758.8 0.014548 0.03417 ENSG00000169758
FBN1 ENSG00000166147.9 0.010238 0.035604 ENSG00000166147
POMZP3 ENSG00000146707.10 0.697109 0.060231 ENSG00000146707
SIN3B ENSG00000127511.5 0.046069 0.07065 ENSG00000127511
DDT ENSG00000099977.9 0.313696 0.083605 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.091527 0.064844 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.042812 0.063244 ENSG00000163145
SEC16A ENSG00000148396.14 0.38641 0.088439 ENSG00000148396
CBS ENSG00000160200.13 0.079724 0.07651 ENSG00000160200
TRIOBP ENSG00000100106.15 0.29181 0.083891 ENSG00000100106
LGALS2 ENSG00000100079.5 0.082369 0.08568 ENSG00000100079
RPH3AL ENSG00000181031.11 0.508117 0.090224 ENSG00000181031
SPG20 ENSG00000133104.8 0.144029 0.076908 ENSG00000133104
C1QTNF6 ENSG00000133466.9 0.389104 0.086859 ENSG00000133466
GIMAP4 ENSG00000133574.5 0.158449 0.068525 ENSG00000133574
CAT ENSG00000121691.4 0.214955 0.08261 ENSG00000121691
PTPRN2 ENSG00000155093.13 0.041471 0.067279 ENSG00000155093
PODN ENSG00000174348.9 0.132115 0.073512 ENSG00000174348
KCNK17 ENSG00000124780.9 0.136156 0.076538 ENSG00000124780
LHFPL3 ENSG00000187416.7 0.014619 0.045598 ENSG00000187416
POLR2E ENSG00000099817.7 0.106106 0.093747 ENSG00000099817
INSIG1 ENSG00000186480.8 0.053871 0.081836 ENSG00000186480
UBR3 ENSG00000144357.12 0.088823 0.068416 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.302809 0.076905 ENSG00000137860
ACOX3 ENSG00000087008.11 0.33694 0.093118 ENSG00000087008
ZNF296 ENSG00000170684.4 0.030895 0.071997 ENSG00000170684
OVCH1 ENSG00000187950.4 0.11614 0.070367 ENSG00000187950
CRTC1 ENSG00000105662.11 0.115179 0.071016 ENSG00000105662
PSMB8 ENSG00000204264.4 0.057832 0.059281 ENSG00000204264
KCNQ5 ENSG00000185760.11 0.05733 0.059181 ENSG00000185760
CCDC14 ENSG00000175455.10 0.13077 0.069324 ENSG00000175455
ITIH2 ENSG00000151655.13 0.223295 0.089825 ENSG00000151655
TBC1D10C ENSG00000175463.7 0.022128 0.047259 ENSG00000175463
ESYT2 ENSG00000117868.11 0.138334 0.065068 ENSG00000117868
SLC25A27 ENSG00000153291.11 0.377503 0.089869 ENSG00000153291
EMR1 ENSG00000174837.10 0.211998 0.092312 ENSG00000174837
CYTH1 ENSG00000108669.12 0.039269 0.057959 ENSG00000108669
ZNF121 ENSG00000197961.7 0.015269 0.05043 ENSG00000197961
FAM19A2 ENSG00000198673.6 0.012098 0.051798 ENSG00000198673
NECAP1 ENSG00000089818.12 0.122459 0.076952 ENSG00000089818
RGS14 ENSG00000169220.13 0.268891 0.090629 ENSG00000169220
CCDC146 ENSG00000135205.10 0.242216 0.094434 ENSG00000135205
ADAMTS7 ENSG00000136378.10 0.032437 0.057119 ENSG00000136378
ZNF333 ENSG00000160961.7 0.269501 0.097114 ENSG00000160961
C19orf25 ENSG00000119559.11 0.128923 0.083157 ENSG00000119559
SLC26A5 ENSG00000170615.10 0.024219 0.047843 ENSG00000170615
TACR2 ENSG00000075073.10 0.073313 0.065366 ENSG00000075073
ABCC8 ENSG00000006071.7 0.176125 0.078897 ENSG00000006071
C19orf48 ENSG00000167747.9 0.193854 0.095167 ENSG00000167747
SGIP1 ENSG00000118473.17 0.096177 0.064875 ENSG00000118473
WDR19 ENSG00000157796.13 0.011875 0.043168 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.060414 0.057713 ENSG00000162769
TAF1C ENSG00000103168.12 0.664106 0.084712 ENSG00000103168
FAM227A ENSG00000184949.10 0.288221 0.079289 ENSG00000184949
HDDC2 ENSG00000111906.12 0.131713 0.079507 ENSG00000111906
ZNF320 ENSG00000182986.8 0.358333 0.110598 ENSG00000182986
PM20D1 ENSG00000162877.8 0.606512 0.068522 ENSG00000162877
SELL ENSG00000188404.4 0.111164 0.06652 ENSG00000188404
RASL11A ENSG00000122035.6 0.058787 0.074208 ENSG00000122035
LRRC43 ENSG00000158113.8 0.108146 0.061529 ENSG00000158113
FOLR3 ENSG00000110203.4 0.025927 0.051483 ENSG00000110203
G0S2 ENSG00000123689.5 0.034756 0.06056 ENSG00000123689
L1TD1 ENSG00000240563.1 0.662765 0.076702 ENSG00000240563
IL21R ENSG00000103522.11 0.24955 0.088171 ENSG00000103522
NAIF1 ENSG00000171169.8 0.050238 0.054896 ENSG00000171169
SEC23A ENSG00000100934.10 0.031934 0.042658 ENSG00000100934
CCDC66 ENSG00000180376.12 0.359205 0.087687 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.364364 0.089299 ENSG00000100321
POU6F1 ENSG00000184271.11 0.044027 0.056931 ENSG00000184271
GNG7 ENSG00000176533.8 0.037346 0.071637 ENSG00000176533
FAM170B ENSG00000172538.6 0.030877 0.050163 ENSG00000172538
GLDC ENSG00000178445.8 0.071116 0.078221 ENSG00000178445
RSPRY1 ENSG00000159579.9 0.070722 0.077104 ENSG00000159579
SETD8 ENSG00000183955.8 0.104245 0.066896 ENSG00000183955
SDCCAG8 ENSG00000054282.11 0.407285 0.085512 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.126213 0.068359 ENSG00000143776
TMEM200A ENSG00000164484.7 0.175479 0.079321 ENSG00000164484
AP3M1 ENSG00000185009.8 0.042614 0.04669 ENSG00000185009
ECHDC2 ENSG00000121310.12 0.027734 0.052483 ENSG00000121310
COPS3 ENSG00000141030.8 0.02365 0.06269 ENSG00000141030
FAM193A ENSG00000125386.10 0.02274 0.05445 ENSG00000125386
ATP8A1 ENSG00000124406.12 0.078452 0.074222 ENSG00000124406
NPTXR ENSG00000221890.2 0.012167 0.047413 ENSG00000221890
VPS13B ENSG00000132549.14 0.100393 0.069604 ENSG00000132549
FSD1 ENSG00000105255.6 0.312025 0.094935 ENSG00000105255
TRIB3 ENSG00000101255.6 0.123351 0.095327 ENSG00000101255
TMED1 ENSG00000099203.2 0.039635 0.067592 ENSG00000099203
GSTK1 ENSG00000197448.9 0.127239 0.071513 ENSG00000197448
FAM160A1 ENSG00000164142.11 0.014383 0.035192 ENSG00000164142
CPVL ENSG00000106066.9 0.058664 0.073545 ENSG00000106066
RNF166 ENSG00000158717.6 0.161689 0.094061 ENSG00000158717
CD55 ENSG00000196352.9 0.085305 0.064262 ENSG00000196352
SNX31 ENSG00000174226.4 0.703654 0.066018 ENSG00000174226
MTL5 ENSG00000132749.6 0.053805 0.054155 ENSG00000132749
HS2ST1 ENSG00000153936.12 0.040433 0.051934 ENSG00000153936
EFCAB13 ENSG00000178852.11 0.447108 0.082774 ENSG00000178852
CLEC18C ENSG00000157335.15 0.254832 0.080724 ENSG00000157335
SSB ENSG00000138385.11 0.066177 0.066564 ENSG00000138385
FAS ENSG00000026103.15 0.281159 0.082315 ENSG00000026103
PSAT1 ENSG00000135069.9 0.077827 0.073613 ENSG00000135069
RHPN1 ENSG00000158106.8 0.106408 0.060958 ENSG00000158106
EPO ENSG00000130427.2 0.029573 0.045723 ENSG00000130427
KLK8 ENSG00000129455.11 0.173214 0.098581 ENSG00000129455
SCN9A ENSG00000169432.10 0.043191 0.055648 ENSG00000169432
GIMAP7 ENSG00000179144.4 0.133165 0.074394 ENSG00000179144
ASB8 ENSG00000177981.6 0.118635 0.062779 ENSG00000177981
NUP43 ENSG00000120253.9 0.084448 0.069439 ENSG00000120253
SEC22A ENSG00000121542.7 0.438882 0.080028 ENSG00000121542
ARHGEF35 ENSG00000213214.3 0.321774 0.079235 ENSG00000213214
MCF2L ENSG00000126217.16 0.277289 0.104071 ENSG00000126217
MYO16 ENSG00000041515.11 0.053399 0.079264 ENSG00000041515
SULT1A1 ENSG00000196502.7 0.252815 0.087577 ENSG00000196502
PROK1 ENSG00000143125.5 0.206945 0.079076 ENSG00000143125
FARP1 ENSG00000152767.11 0.177596 0.091715 ENSG00000152767
TTC18 ENSG00000156042.13 0.442959 0.095686 ENSG00000156042
CLN6 ENSG00000128973.7 0.19446 0.076647 ENSG00000128973
AK5 ENSG00000154027.14 0.060872 0.059931 ENSG00000154027
GRPEL1 ENSG00000109519.8 0.191713 0.100768 ENSG00000109519
FBXW2 ENSG00000119402.11 0.046636 0.060036 ENSG00000119402
ERP27 ENSG00000139055.2 0.174062 0.077496 ENSG00000139055
PKD2 ENSG00000118762.3 0.014146 0.049629 ENSG00000118762
ATP5G1 ENSG00000159199.9 0.082298 0.061799 ENSG00000159199
GNMT ENSG00000124713.5 0.29364 0.083163 ENSG00000124713
FAM109A ENSG00000198324.10 0.036355 0.0636 ENSG00000198324
HEBP1 ENSG00000013583.4 0.11187 0.09084 ENSG00000013583
MRI1 ENSG00000037757.9 0.432076 0.09429 ENSG00000037757
ZNF419 ENSG00000105136.15 0.335754 0.077483 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.63257 0.074249 ENSG00000198203
ZNF652 ENSG00000198740.4 0.020803 0.057768 ENSG00000198740
BIRC2 ENSG00000110330.4 0.029382 0.062729 ENSG00000110330
TOP1MT ENSG00000184428.8 0.102986 0.070732 ENSG00000184428
TTC28 ENSG00000100154.10 0.040133 0.063504 ENSG00000100154
