AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
ZNF880 ENSG00000221923.4 0.373793 0.089222 ENSG00000221923
MAPK8IP1 ENSG00000121653.7 0.155994 0.074582 ENSG00000121653
FBLL1 ENSG00000188573.7 0.148794 0.079946 ENSG00000188573
HSD3B7 ENSG00000099377.9 0.115096 0.059822 ENSG00000099377
MON1B ENSG00000103111.10 0.108513 0.068003 ENSG00000103111
CLEC4G ENSG00000182566.8 0.132 0.078687 ENSG00000182566
THAP5 ENSG00000177683.9 0.16573 0.066888 ENSG00000177683
FAM174A ENSG00000174132.8 0.131442 0.062986 ENSG00000174132
TRABD ENSG00000170638.5 0.14468 0.080722 ENSG00000170638
IL32 ENSG00000008517.12 0.1586 0.074793 ENSG00000008517
BCAP29 ENSG00000075790.6 0.101325 0.056899 ENSG00000075790
ADAMTS14 ENSG00000138316.6 0.353607 0.082078 ENSG00000138316
ARHGAP30 ENSG00000186517.9 0.165211 0.0818 ENSG00000186517
CDC16 ENSG00000130177.10 0.236439 0.070926 ENSG00000130177
CPSF1 ENSG00000071894.10 0.197003 0.071022 ENSG00000071894
MAPRE1 ENSG00000101367.8 0.103612 0.065015 ENSG00000101367
MMP17 ENSG00000198598.2 0.14057 0.075471 ENSG00000198598
SLC44A3 ENSG00000143036.12 0.157391 0.073457 ENSG00000143036
FBXO17 ENSG00000269190.1 0.143012 0.0666 ENSG00000269190
TMEM63A ENSG00000196187.7 0.108439 0.064154 ENSG00000196187
BEGAIN ENSG00000183092.11 0.11149 0.063762 ENSG00000183092
VPREB3 ENSG00000128218.7 0.123387 0.06739 ENSG00000128218
MPC1 ENSG00000060762.14 0.128264 0.070143 ENSG00000060762
ITPA ENSG00000125877.7 0.104646 0.07394 ENSG00000125877
RP3-402G11.5 ENSG00000073169.9 0.101932 0.067492 ENSG00000073169
OSGIN1 ENSG00000140961.8 0.385392 0.099267 ENSG00000140961
KRI1 ENSG00000129347.15 0.134919 0.068413 ENSG00000129347
PEG3 ENSG00000198300.8 0.101017 0.061691 ENSG00000198300
GNPAT ENSG00000116906.7 0.110053 0.067088 ENSG00000116906
MSH3 ENSG00000113318.9 0.187432 0.079217 ENSG00000113318
CPNE2 ENSG00000140848.12 0.12849 0.075558 ENSG00000140848
GATM ENSG00000171766.11 0.134007 0.065906 ENSG00000171766
NPIPB6 ENSG00000198156.6 0.193494 0.068275 ENSG00000198156
BBS2 ENSG00000125124.7 0.138819 0.07078 ENSG00000125124
KCNJ6 ENSG00000157542.7 0.108515 0.066698 ENSG00000157542
LRMP ENSG00000118308.10 0.143117 0.066736 ENSG00000118308
UQCR10 ENSG00000184076.10 0.128775 0.060399 ENSG00000184076
RPS13 ENSG00000110700.2 0.125876 0.05931 ENSG00000110700
DNAH7 ENSG00000118997.9 0.139837 0.058642 ENSG00000118997
AP000350.4 ENSG00000218537.1 0.234514 0.07596 ENSG00000218537
SSBP2 ENSG00000145687.11 0.107345 0.069074 ENSG00000145687
TMC2 ENSG00000149488.11 0.290729 0.083458 ENSG00000149488
C10orf129 ENSG00000173124.10 0.260227 0.086922 ENSG00000173124
TSPYL5 ENSG00000180543.3 0.122766 0.066051 ENSG00000180543
DUSP14 ENSG00000161326.8 0.121169 0.059846 ENSG00000161326
KRT79 ENSG00000185640.5 0.103402 0.057079 ENSG00000185640
RFX7 ENSG00000181827.10 0.195748 0.069066 ENSG00000181827
CYP4A22 ENSG00000162365.7 0.256346 0.082748 ENSG00000162365
GLTSCR1L ENSG00000112624.8 0.100506 0.062318 ENSG00000112624
PPARA ENSG00000186951.12 0.32458 0.087904 ENSG00000186951
GALK2 ENSG00000156958.10 0.116396 0.074773 ENSG00000156958
AIM1 ENSG00000112297.10 0.105455 0.055039 ENSG00000112297
SPACA4 ENSG00000177202.1 0.113821 0.069742 ENSG00000177202
LIG3 ENSG00000005156.7 0.100713 0.076254 ENSG00000005156
SREK1IP1 ENSG00000153006.10 0.108086 0.061175 ENSG00000153006
MYO7B ENSG00000169994.14 0.109926 0.068653 ENSG00000169994
ZNF148 ENSG00000163848.14 0.101732 0.058323 ENSG00000163848
IKBKE ENSG00000143466.8 0.411834 0.082167 ENSG00000143466
NEFH ENSG00000100285.9 0.207548 0.075477 ENSG00000100285
BRPF3 ENSG00000096070.15 0.100729 0.061267 ENSG00000096070
PCP4L1 ENSG00000248485.1 0.104683 0.07213 ENSG00000248485
LRP11 ENSG00000120256.4 0.132474 0.066973 ENSG00000120256
UPK3B ENSG00000243566.2 0.247939 0.070174 ENSG00000243566
ACBD7 ENSG00000176244.6 0.11593 0.072067 ENSG00000176244
ALG1L ENSG00000189366.5 0.160678 0.063166 ENSG00000189366
NBPF20 ENSG00000203832.6 0.120104 0.08233 ENSG00000203832
PPP2R2B ENSG00000156475.14 0.220345 0.071805 ENSG00000156475
HNRNPAB ENSG00000197451.6 0.113609 0.06625 ENSG00000197451
PPTC7 ENSG00000196850.4 0.122292 0.073411 ENSG00000196850
TRIB1 ENSG00000173334.3 0.108547 0.073702 ENSG00000173334
GSTA1 ENSG00000243955.1 0.196729 0.069876 ENSG00000243955
CBR3 ENSG00000159231.5 0.119828 0.073919 ENSG00000159231
FSTL4 ENSG00000053108.12 0.163713 0.074265 ENSG00000053108
LAT2 ENSG00000086730.12 0.119576 0.067858 ENSG00000086730
NAIP ENSG00000249437.3 0.127514 0.062029 ENSG00000249437
SERHL2 ENSG00000183569.13 0.146902 0.067169 ENSG00000183569
NODAL ENSG00000156574.5 0.14536 0.08306 ENSG00000156574
S1PR5 ENSG00000180739.12 0.122333 0.067083 ENSG00000180739
LDOC1L ENSG00000188636.3 0.106809 0.066035 ENSG00000188636
SAPCD2 ENSG00000186193.7 0.197318 0.084903 ENSG00000186193
CCDC114 ENSG00000105479.10 0.135154 0.076748 ENSG00000105479
TGIF2 ENSG00000118707.5 0.151783 0.080369 ENSG00000118707
RET ENSG00000165731.13 0.106356 0.062844 ENSG00000165731
PPA2 ENSG00000138777.15 0.129399 0.069955 ENSG00000138777
TSNARE1 ENSG00000171045.10 0.141087 0.065847 ENSG00000171045
ZNF14 ENSG00000105708.8 0.187555 0.076081 ENSG00000105708
SNX11 ENSG00000002919.10 0.125055 0.057002 ENSG00000002919
RAB17 ENSG00000124839.8 0.272162 0.090479 ENSG00000124839
GUCA1B ENSG00000112599.8 0.209537 0.067103 ENSG00000112599
POU3F1 ENSG00000185668.5 0.115385 0.067129 ENSG00000185668
OSGEP ENSG00000092094.6 0.157269 0.077514 ENSG00000092094
ZNF707 ENSG00000181135.11 0.140188 0.066659 ENSG00000181135
BAIAP3 ENSG00000007516.9 0.104895 0.060932 ENSG00000007516
IL2RB ENSG00000100385.9 0.234955 0.093534 ENSG00000100385
RAB26 ENSG00000167964.8 0.111088 0.067806 ENSG00000167964
SLC2A6 ENSG00000160326.9 0.165402 0.078792 ENSG00000160326
CDH24 ENSG00000139880.15 0.159036 0.077871 ENSG00000139880
OGDHL ENSG00000197444.5 0.132047 0.067718 ENSG00000197444
TSKS ENSG00000126467.6 0.288978 0.085716 ENSG00000126467
GNPTG ENSG00000090581.5 0.102682 0.066294 ENSG00000090581
BABAM1 ENSG00000105393.11 0.117655 0.071607 ENSG00000105393
SLC5A9 ENSG00000117834.8 0.171532 0.063399 ENSG00000117834
SERPINB7 ENSG00000166396.8 0.131629 0.082585 ENSG00000166396
AREG ENSG00000109321.6 0.112118 0.065352 ENSG00000109321
NEDD9 ENSG00000111859.12 0.17676 0.083536 ENSG00000111859
GNAQ ENSG00000156052.6 0.197543 0.078097 ENSG00000156052
FCGR3B ENSG00000162747.5 0.318856 0.087872 ENSG00000162747
ZNRD1 ENSG00000066379.10 0.153675 0.076741 ENSG00000066379
ACTR3 ENSG00000115091.7 0.167704 0.064643 ENSG00000115091
FRA10AC1 ENSG00000148690.10 0.141367 0.063278 ENSG00000148690
DNAH2 ENSG00000183914.10 0.125468 0.0798 ENSG00000183914
PRICKLE4 ENSG00000124593.10 0.118787 0.070602 ENSG00000124593
SIPA1L2 ENSG00000116991.6 0.119994 0.071691 ENSG00000116991
TMEM259 ENSG00000182087.8 0.134912 0.069231 ENSG00000182087
CACHD1 ENSG00000158966.9 0.193169 0.078818 ENSG00000158966
AGPAT9 ENSG00000138678.6 0.103728 0.056411 ENSG00000138678
NELL1 ENSG00000165973.13 0.549 0.078532 ENSG00000165973
CRYAB ENSG00000109846.3 0.133258 0.071969 ENSG00000109846
NMRK1 ENSG00000106733.16 0.101114 0.061291 ENSG00000106733
PLCG2 ENSG00000197943.5 0.195131 0.089438 ENSG00000197943
TUBB4A ENSG00000104833.6 0.117768 0.075584 ENSG00000104833
UMPS ENSG00000114491.9 0.125087 0.062333 ENSG00000114491
MEGF10 ENSG00000145794.12 0.189141 0.080593 ENSG00000145794
TOR4A ENSG00000198113.2 0.133092 0.066095 ENSG00000198113
GPR111 ENSG00000164393.4 0.173109 0.064231 ENSG00000164393
ZNF417 ENSG00000173480.6 0.164741 0.072901 ENSG00000173480
RAB11FIP3 ENSG00000090565.11 0.100418 0.071419 ENSG00000090565
ZNF669 ENSG00000188295.10 0.136602 0.077151 ENSG00000188295
WNT9A ENSG00000143816.6 0.180017 0.075279 ENSG00000143816
MRPS9 ENSG00000135972.4 0.104078 0.06461 ENSG00000135972
CROT ENSG00000005469.7 0.150346 0.060703 ENSG00000005469
CCDC154 ENSG00000197599.8 0.115756 0.060116 ENSG00000197599
MTX2 ENSG00000128654.9 0.16245 0.072532 ENSG00000128654
LRFN1 ENSG00000128011.4 0.124644 0.067457 ENSG00000128011
PRAM1 ENSG00000133246.7 0.13585 0.081575 ENSG00000133246
ENTPD6 ENSG00000197586.8 0.121904 0.062876 ENSG00000197586
AIRE ENSG00000160224.12 0.137226 0.06805 ENSG00000160224
SDCBP2 ENSG00000125775.10 0.120588 0.074851 ENSG00000125775
ITGB6 ENSG00000115221.6 0.125111 0.060713 ENSG00000115221
ATG10 ENSG00000152348.11 0.143808 0.059821 ENSG00000152348
EML6 ENSG00000214595.7 0.106066 0.054647 ENSG00000214595
RASSF2 ENSG00000101265.11 0.128486 0.079002 ENSG00000101265
SLC23A2 ENSG00000089057.10 0.169588 0.088317 ENSG00000089057
ZNF699 ENSG00000196110.3 0.156474 0.078147 ENSG00000196110
HARS2 ENSG00000112855.10 0.111392 0.056645 ENSG00000112855
PCMTD1 ENSG00000168300.9 0.127096 0.065433 ENSG00000168300
GNAO1 ENSG00000087258.9 0.127481 0.073716 ENSG00000087258
CAMSAP2 ENSG00000118200.10 0.137531 0.069873 ENSG00000118200
SYNRG ENSG00000006114.11 0.129399 0.069222 ENSG00000006114
GGA1 ENSG00000100083.14 0.102257 0.070853 ENSG00000100083
PCBD1 ENSG00000166228.4 0.10416 0.064737 ENSG00000166228
POLR3B ENSG00000013503.5 0.110646 0.060936 ENSG00000013503
SLC6A4 ENSG00000108576.5 0.187163 0.066963 ENSG00000108576
LRGUK ENSG00000155530.2 0.12458 0.06643 ENSG00000155530
CDH12 ENSG00000154162.9 0.131364 0.066073 ENSG00000154162
ULK2 ENSG00000083290.15 0.126401 0.080197 ENSG00000083290
LMNB1 ENSG00000113368.7 0.10503 0.061576 ENSG00000113368
P2RX2 ENSG00000187848.8 0.112973 0.052141 ENSG00000187848
CYBRD1 ENSG00000071967.7 0.12576 0.06914 ENSG00000071967
SEMA5A ENSG00000112902.7 0.131382 0.084362 ENSG00000112902
METTL2B ENSG00000165055.10 0.167965 0.072033 ENSG00000165055
CX3CR1 ENSG00000168329.9 0.157704 0.061763 ENSG00000168329
DNAJC18 ENSG00000170464.5 0.114665 0.072371 ENSG00000170464
FAM35A ENSG00000122376.7 0.101616 0.061541 ENSG00000122376
NUP85 ENSG00000125450.6 0.13012 0.057202 ENSG00000125450
GOT2 ENSG00000125166.8 0.104585 0.057347 ENSG00000125166
SIGLEC7 ENSG00000168995.9 0.114461 0.0695 ENSG00000168995
C17orf67 ENSG00000214226.4 0.13864 0.08025 ENSG00000214226
FCGRT ENSG00000104870.8 0.124553 0.070141 ENSG00000104870
HMGB3 ENSG00000029993.10 0.143267 0.074506 ENSG00000029993
ARHGEF10L ENSG00000074964.12 0.131033 0.082824 ENSG00000074964
CYP4F3 ENSG00000186529.9 0.132679 0.064088 ENSG00000186529
GUCY2C ENSG00000070019.3 0.282568 0.073225 ENSG00000070019
IL1RN ENSG00000136689.14 0.162799 0.064582 ENSG00000136689
BAI1 ENSG00000181790.6 0.276352 0.082744 ENSG00000181790
DECR1 ENSG00000104325.2 0.11917 0.064525 ENSG00000104325
FAM101A ENSG00000178882.8 0.122475 0.058901 ENSG00000178882
VPS13A ENSG00000197969.7 0.126513 0.067081 ENSG00000197969
SLC25A24 ENSG00000085491.11 0.25592 0.075063 ENSG00000085491
SFXN1 ENSG00000164466.8 0.140738 0.078881 ENSG00000164466
RNF14 ENSG00000013561.13 0.167325 0.073756 ENSG00000013561
TMX4 ENSG00000125827.4 0.109653 0.066157 ENSG00000125827
CPB2 ENSG00000080618.9 0.118425 0.069705 ENSG00000080618
SCGB2A1 ENSG00000124939.4 0.165105 0.069952 ENSG00000124939
CLEC4D ENSG00000166527.3 0.132922 0.072289 ENSG00000166527
HSD17B13 ENSG00000170509.7 0.247535 0.075712 ENSG00000170509
SLC39A11 ENSG00000133195.7 0.153874 0.086449 ENSG00000133195
CYP4F22 ENSG00000171954.7 0.106033 0.063985 ENSG00000171954
DGKD ENSG00000077044.5 0.119806 0.058018 ENSG00000077044
AGPS ENSG00000018510.8 0.141006 0.070643 ENSG00000018510
TAPT1 ENSG00000169762.12 0.166354 0.073829 ENSG00000169762
ITGAM ENSG00000169896.12 0.117404 0.067139 ENSG00000169896
KCNJ2 ENSG00000123700.4 0.123805 0.069679 ENSG00000123700
MYO3B ENSG00000071909.14 0.112701 0.062827 ENSG00000071909
EN2 ENSG00000164778.4 0.106164 0.069645 ENSG00000164778
NUP155 ENSG00000113569.11 0.150198 0.075254 ENSG00000113569
NR2E1 ENSG00000112333.7 0.145976 0.070997 ENSG00000112333
SLC25A41 ENSG00000181240.9 0.458725 0.078599 ENSG00000181240
STK38L ENSG00000211455.3 0.120281 0.063217 ENSG00000211455
NARF ENSG00000141562.12 0.153616 0.074624 ENSG00000141562
FAM188A ENSG00000148481.9 0.112283 0.072157 ENSG00000148481
LUC7L3 ENSG00000108848.11 0.121848 0.071251 ENSG00000108848
GOLGA8M ENSG00000188626.5 0.112948 0.067559 ENSG00000188626
HTATIP2 ENSG00000109854.9 0.119357 0.071729 ENSG00000109854
CERKL ENSG00000188452.9 0.119474 0.058347 ENSG00000188452
PMFBP1 ENSG00000118557.11 0.102776 0.057142 ENSG00000118557
PAN3 ENSG00000152520.9 0.130897 0.064868 ENSG00000152520
AHCYL1 ENSG00000168710.13 0.113699 0.065455 ENSG00000168710
FAM21A ENSG00000099290.11 0.104806 0.059134 ENSG00000099290
NKX3-2 ENSG00000109705.7 0.124807 0.066865 ENSG00000109705
PXT1 ENSG00000179165.9 0.126673 0.070792 ENSG00000179165
ZNF746 ENSG00000181220.11 0.241794 0.079126 ENSG00000181220
FSTL3 ENSG00000070404.5 0.103151 0.07527 ENSG00000070404
DLGAP3 ENSG00000116544.7 0.108406 0.073865 ENSG00000116544
CLEC18A ENSG00000157322.12 0.159933 0.072856 ENSG00000157322
ACTR8 ENSG00000113812.9 0.104611 0.06886 ENSG00000113812
CDKL1 ENSG00000100490.5 0.109871 0.065851 ENSG00000100490
KCNK1 ENSG00000135750.10 0.121182 0.073474 ENSG00000135750
PLN ENSG00000198523.5 0.132424 0.071366 ENSG00000198523
PXMP2 ENSG00000176894.5 0.128447 0.065851 ENSG00000176894
SLC52A3 ENSG00000101276.10 0.13607 0.075127 ENSG00000101276
BACH1 ENSG00000156273.11 0.120945 0.06644 ENSG00000156273
PTS ENSG00000150787.3 0.102819 0.066791 ENSG00000150787
OAF ENSG00000184232.4 0.160085 0.077929 ENSG00000184232
ZNF473 ENSG00000142528.11 0.10383 0.076866 ENSG00000142528
TRIM8 ENSG00000171206.8 0.118729 0.068001 ENSG00000171206
AATF ENSG00000108270.6 0.129573 0.072245 ENSG00000108270
RAB36 ENSG00000100228.8 0.113262 0.068929 ENSG00000100228
TAC3 ENSG00000166863.7 0.128559 0.071613 ENSG00000166863
GDE1 ENSG00000006007.7 0.114061 0.064311 ENSG00000006007
PKHD1 ENSG00000170927.10 0.168893 0.064261 ENSG00000170927
SLC7A1 ENSG00000139514.8 0.130681 0.077511 ENSG00000139514
NPIPB7 ENSG00000233232.2 0.143399 0.065079 ENSG00000233232
SLC44A2 ENSG00000129353.10 0.146928 0.066581 ENSG00000129353
ZNF7 ENSG00000147789.11 0.238288 0.084656 ENSG00000147789
SMDT1 ENSG00000183172.7 0.297339 0.080404 ENSG00000183172
MYOM2 ENSG00000036448.5 0.118974 0.068856 ENSG00000036448
NAALADL1 ENSG00000168060.10 0.124047 0.062483 ENSG00000168060
KIDINS220 ENSG00000134313.10 0.103765 0.073777 ENSG00000134313
PHYH ENSG00000107537.9 0.11562 0.076207 ENSG00000107537
NDRG2 ENSG00000165795.16 0.167605 0.075102 ENSG00000165795
FBXO9 ENSG00000112146.11 0.111755 0.064582 ENSG00000112146
PPDPF ENSG00000125534.5 0.20164 0.082918 ENSG00000125534
CAPN8 ENSG00000203697.7 0.128174 0.06717 ENSG00000203697
MACROD2 ENSG00000172264.12 0.153586 0.08531 ENSG00000172264
FAM153B ENSG00000182230.7 0.587639 0.070103 ENSG00000182230
SCPEP1 ENSG00000121064.8 0.126251 0.072667 ENSG00000121064
DDX59 ENSG00000118197.9 0.120499 0.063861 ENSG00000118197
DDX49 ENSG00000105671.7 0.101314 0.064753 ENSG00000105671
MYL9 ENSG00000101335.5 0.123542 0.075564 ENSG00000101335
RPS3 ENSG00000149273.10 0.105652 0.063385 ENSG00000149273
ADCY7 ENSG00000121281.8 0.126043 0.072664 ENSG00000121281
SUGT1 ENSG00000165416.9 0.10326 0.066915 ENSG00000165416
C1orf63 ENSG00000117616.13 0.132746 0.073677 ENSG00000117616
ARL4D ENSG00000175906.4 0.145265 0.062997 ENSG00000175906
DNTTIP1 ENSG00000101457.8 0.129002 0.079879 ENSG00000101457
HRCT1 ENSG00000196196.2 0.142567 0.072482 ENSG00000196196
C12orf54 ENSG00000177627.5 0.11317 0.059698 ENSG00000177627
CNTN1 ENSG00000018236.10 0.668398 0.056524 ENSG00000018236
VSTM4 ENSG00000165633.7 0.129085 0.061787 ENSG00000165633
DMRTA1 ENSG00000176399.2 0.312512 0.084081 ENSG00000176399
TSPO ENSG00000100300.13 0.121579 0.068499 ENSG00000100300
UPK1B ENSG00000114638.3 0.121782 0.065912 ENSG00000114638
SHOC2 ENSG00000108061.7 0.129059 0.062745 ENSG00000108061
MOB4 ENSG00000115540.10 0.204004 0.07692 ENSG00000115540
GSTA3 ENSG00000174156.8 0.152414 0.072388 ENSG00000174156
KIAA0930 ENSG00000100364.13 0.275073 0.087581 ENSG00000100364
EXOSC5 ENSG00000077348.4 0.101917 0.067007 ENSG00000077348
TRIM41 ENSG00000146063.14 0.134544 0.063435 ENSG00000146063
MPP2 ENSG00000108852.10 0.445889 0.073514 ENSG00000108852
MUT ENSG00000146085.7 0.19074 0.072519 ENSG00000146085
ATXN10 ENSG00000130638.11 0.108499 0.06754 ENSG00000130638
DHTKD1 ENSG00000181192.7 0.102853 0.072661 ENSG00000181192
CDC123 ENSG00000151465.9 0.142705 0.072004 ENSG00000151465
IMPDH1 ENSG00000106348.12 0.243196 0.081908 ENSG00000106348
GRAMD4 ENSG00000075240.12 0.222715 0.086409 ENSG00000075240
SPIRE2 ENSG00000204991.6 0.157646 0.061893 ENSG00000204991
TECPR1 ENSG00000205356.5 0.107066 0.056809 ENSG00000205356
AKAP10 ENSG00000108599.10 0.105356 0.061906 ENSG00000108599
NUDT12 ENSG00000112874.5 0.11231 0.067945 ENSG00000112874
UQCRFS1 ENSG00000169021.4 0.112943 0.075654 ENSG00000169021
PI4K2B ENSG00000038210.9 0.113379 0.072894 ENSG00000038210
MORN1 ENSG00000116151.9 0.104582 0.070707 ENSG00000116151
