AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
LRRC61 ENSG00000127399.10 0.324429 0.074588 ENSG00000127399
FADS2 ENSG00000134824.9 0.030889 0.051487 ENSG00000134824
LRRC37A ENSG00000176681.10 0.41286 0.083516 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.430362 0.084792 ENSG00000214872
RFWD3 ENSG00000168411.9 0.24252 0.083469 ENSG00000168411
TFIP11 ENSG00000100109.12 0.075143 0.077844 ENSG00000100109
C10orf128 ENSG00000204161.9 0.026947 0.04892 ENSG00000204161
TMEM9 ENSG00000116857.11 0.314327 0.092565 ENSG00000116857
CTXN2 ENSG00000233932.3 0.014774 0.039233 ENSG00000233932
NT5C3B ENSG00000141698.12 0.566911 0.067459 ENSG00000141698
ADCK3 ENSG00000163050.11 0.065159 0.051844 ENSG00000163050
KNSTRN ENSG00000128944.8 0.497476 0.079273 ENSG00000128944
FCGR2B ENSG00000072694.14 0.06957 0.062318 ENSG00000072694
LILRB5 ENSG00000105609.12 0.049618 0.067618 ENSG00000105609
TNFAIP8L1 ENSG00000185361.4 0.055467 0.061474 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.11438 0.071615 ENSG00000136449
CTSW ENSG00000172543.3 0.288641 0.076698 ENSG00000172543
GCAT ENSG00000100116.12 0.130859 0.066668 ENSG00000100116
NT5E ENSG00000135318.7 0.067501 0.050441 ENSG00000135318
ADAD2 ENSG00000140955.6 0.027746 0.075885 ENSG00000140955
ZNF436 ENSG00000125945.9 0.082261 0.064002 ENSG00000125945
HPR ENSG00000261701.2 0.335695 0.085281 ENSG00000261701
CCDC94 ENSG00000105248.11 0.022919 0.057127 ENSG00000105248
HAUS4 ENSG00000092036.12 0.49121 0.076443 ENSG00000092036
EHMT1 ENSG00000181090.13 0.014713 0.034105 ENSG00000181090
GRHPR ENSG00000137106.13 0.482605 0.079319 ENSG00000137106
KIF16B ENSG00000089177.13 0.074208 0.069587 ENSG00000089177
BAMBI ENSG00000095739.7 0.055328 0.06559 ENSG00000095739
LILRA4 ENSG00000239961.2 0.312685 0.093453 ENSG00000239961
H3F3A ENSG00000163041.5 0.328828 0.077375 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.044906 0.051507 ENSG00000144320
QRSL1 ENSG00000130348.7 0.437611 0.076992 ENSG00000130348
STOX1 ENSG00000165730.10 0.070401 0.053192 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.425474 0.08562 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.463534 0.0766 ENSG00000100197
DHFR ENSG00000228716.2 0.34713 0.075343 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.229471 0.074362 ENSG00000162383
NEBL ENSG00000078114.14 0.059889 0.051572 ENSG00000078114
CNGA1 ENSG00000198515.9 0.50914 0.068254 ENSG00000198515
NUP133 ENSG00000069248.8 0.069261 0.054567 ENSG00000069248
G6PC2 ENSG00000152254.6 0.39484 0.079421 ENSG00000152254
APIP ENSG00000149089.8 0.553845 0.066148 ENSG00000149089
SAMD12 ENSG00000177570.9 0.06593 0.062135 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.417093 0.079511 ENSG00000238083
ZNF641 ENSG00000167528.8 0.036786 0.045423 ENSG00000167528
TUFM ENSG00000178952.4 0.255884 0.083646 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.222327 0.078099 ENSG00000156113
FAM151B ENSG00000152380.5 0.017808 0.035584 ENSG00000152380
RRP7A ENSG00000189306.6 0.504345 0.085151 ENSG00000189306
IFITM3 ENSG00000142089.11 0.122966 0.062015 ENSG00000142089
WASH4P ENSG00000234769.4 0.076935 0.076617 ENSG00000234769
SLC24A5 ENSG00000188467.6 0.011562 0.034938 ENSG00000188467
CCDC109B ENSG00000005059.11 0.12872 0.069506 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.169835 0.077105 ENSG00000145882
RBPMS2 ENSG00000166831.4 0.046265 0.046422 ENSG00000166831
C8B ENSG00000021852.8 0.033773 0.055336 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.219819 0.070055 ENSG00000204038
PKP4 ENSG00000144283.17 0.045691 0.049497 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.082997 0.06217 ENSG00000184292
GM2A ENSG00000196743.4 0.077435 0.069899 ENSG00000196743
PCDHB8 ENSG00000120322.2 0.389524 0.075447 ENSG00000120322
ZNF266 ENSG00000174652.13 0.525355 0.066005 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.03468 0.052389 ENSG00000178460
WARS ENSG00000140105.13 0.070054 0.064307 ENSG00000140105
APOL4 ENSG00000100336.13 0.382768 0.084641 ENSG00000100336
LCK ENSG00000182866.12 0.09027 0.075692 ENSG00000182866
NTPCR ENSG00000135778.6 0.495528 0.081413 ENSG00000135778
PTK7 ENSG00000112655.11 0.075732 0.069524 ENSG00000112655
ETV7 ENSG00000010030.9 0.065985 0.061337 ENSG00000010030
TEK ENSG00000120156.16 0.021568 0.054097 ENSG00000120156
POLR2J ENSG00000005075.11 0.18189 0.075674 ENSG00000005075
PAQR5 ENSG00000137819.9 0.087838 0.061827 ENSG00000137819
GBP3 ENSG00000117226.7 0.718621 0.051902 ENSG00000117226
PILRB ENSG00000121716.13 0.462022 0.075919 ENSG00000121716
C15orf57 ENSG00000128891.11 0.439121 0.073364 ENSG00000128891
IFT88 ENSG00000032742.13 0.303877 0.077963 ENSG00000032742
ARL14EP ENSG00000152219.4 0.017281 0.033558 ENSG00000152219
VNN1 ENSG00000112299.7 0.047586 0.053102 ENSG00000112299
GSTM2 ENSG00000213366.8 0.174995 0.085057 ENSG00000213366
ZNF205 ENSG00000122386.6 0.059253 0.057531 ENSG00000122386
FAM181A ENSG00000140067.6 0.024124 0.05285 ENSG00000140067
RBM43 ENSG00000184898.6 0.017549 0.033632 ENSG00000184898
CISD1 ENSG00000122873.7 0.176209 0.065596 ENSG00000122873
GAL ENSG00000069482.6 0.044332 0.044408 ENSG00000069482
TMEM50B ENSG00000142188.12 0.458466 0.073789 ENSG00000142188
RAD51C ENSG00000108384.10 0.286067 0.072782 ENSG00000108384
RBMS2 ENSG00000076067.7 0.048876 0.044834 ENSG00000076067
USP53 ENSG00000145390.7 0.187914 0.069441 ENSG00000145390
CAST ENSG00000153113.19 0.50837 0.077725 ENSG00000153113
C17orf97 ENSG00000187624.7 0.64592 0.070322 ENSG00000187624
ARL17B ENSG00000228696.4 0.139947 0.066833 ENSG00000228696
GLIS3 ENSG00000107249.17 0.091802 0.087571 ENSG00000107249
ADAT1 ENSG00000065457.6 0.543248 0.066889 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.110084 0.070568 ENSG00000113716
TJP2 ENSG00000119139.12 0.042244 0.046319 ENSG00000119139
NME4 ENSG00000103202.8 0.114079 0.066828 ENSG00000103202
GCC2 ENSG00000135968.15 0.460066 0.073273 ENSG00000135968
OPN4 ENSG00000122375.7 0.302821 0.070192 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.325935 0.079782 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.444619 0.079542 ENSG00000171903
QDPR ENSG00000151552.7 0.115706 0.073736 ENSG00000151552
TDGF1 ENSG00000241186.3 0.645934 0.061453 ENSG00000241186
MAPK14 ENSG00000112062.6 0.0397 0.05384 ENSG00000112062
FANCA ENSG00000187741.10 0.252005 0.077198 ENSG00000187741
RSPO4 ENSG00000101282.4 0.364257 0.08345 ENSG00000101282
PARP16 ENSG00000138617.10 0.050556 0.04897 ENSG00000138617
CDC42EP1 ENSG00000128283.6 0.054653 0.060883 ENSG00000128283
UBE2Z ENSG00000159202.13 0.059393 0.053043 ENSG00000159202
GSTM1 ENSG00000134184.8 0.37089 0.096978 ENSG00000134184
ZFP28 ENSG00000196867.3 0.191564 0.080373 ENSG00000196867
UBQLN1 ENSG00000135018.9 0.036954 0.04734 ENSG00000135018
YIPF5 ENSG00000145817.12 0.198263 0.072792 ENSG00000145817
CCDC102A ENSG00000135736.5 0.098415 0.070426 ENSG00000135736
KIAA2013 ENSG00000116685.11 0.104431 0.064821 ENSG00000116685
ZNF555 ENSG00000186300.7 0.043665 0.066108 ENSG00000186300
TRIM4 ENSG00000146833.11 0.534989 0.070832 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.548216 0.071974 ENSG00000100191
DTD1 ENSG00000125821.7 0.159791 0.076651 ENSG00000125821
GIMAP5 ENSG00000196329.6 0.118263 0.066337 ENSG00000196329
IQCB1 ENSG00000173226.12 0.298058 0.072474 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.508363 0.078393 ENSG00000101307
MTHFS ENSG00000136371.5 0.247869 0.077953 ENSG00000136371
PLVAP ENSG00000130300.4 0.241152 0.085813 ENSG00000130300
PPIP5K2 ENSG00000145725.14 0.098848 0.048744 ENSG00000145725
C15orf38 ENSG00000242498.3 0.073693 0.072293 ENSG00000242498
C10orf107 ENSG00000183346.6 0.511177 0.072315 ENSG00000183346
BCAT1 ENSG00000060982.10 0.032857 0.059715 ENSG00000060982
ASNSD1 ENSG00000138381.5 0.250095 0.078604 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.398067 0.078773 ENSG00000196963
ZFP90 ENSG00000184939.10 0.058496 0.04983 ENSG00000184939
CDH23 ENSG00000107736.15 0.125387 0.08393 ENSG00000107736
CD40 ENSG00000101017.9 0.101897 0.066813 ENSG00000101017
ZNF586 ENSG00000083828.11 0.248623 0.07446 ENSG00000083828
TDRD6 ENSG00000180113.11 0.403897 0.074917 ENSG00000180113
CCDC74A ENSG00000163040.10 0.042487 0.040884 ENSG00000163040
GSDMB ENSG00000073605.14 0.015719 0.040011 ENSG00000073605
RNASEH2C ENSG00000172922.4 0.130242 0.061723 ENSG00000172922
TRIM37 ENSG00000108395.9 0.233408 0.072776 ENSG00000108395
DSCC1 ENSG00000136982.5 0.461178 0.078767 ENSG00000136982
CHML ENSG00000203668.1 0.21747 0.079789 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.114132 0.06798 ENSG00000166839
COG6 ENSG00000133103.12 0.231093 0.074879 ENSG00000133103
CELF3 ENSG00000159409.10 0.053324 0.049681 ENSG00000159409
SSTR3 ENSG00000183473.5 0.027518 0.060843 ENSG00000183473
ORAI2 ENSG00000160991.10 0.066252 0.04994 ENSG00000160991
ANXA8L1 ENSG00000150165.13 0.051583 0.042422 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.051317 0.039968 ENSG00000197375
APOLD1 ENSG00000178878.7 0.05816 0.074108 ENSG00000178878
KL ENSG00000133116.6 0.108381 0.066798 ENSG00000133116
NIPAL1 ENSG00000163293.7 0.172184 0.06843 ENSG00000163293
DDX11 ENSG00000013573.12 0.790249 0.038667 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.232472 0.072381 ENSG00000136144
NR2F6 ENSG00000160113.5 0.184081 0.078867 ENSG00000160113
ZNF589 ENSG00000164048.9 0.18593 0.073149 ENSG00000164048
C22orf43 ENSG00000189269.7 0.580752 0.071742 ENSG00000189269
ZNF605 ENSG00000196458.6 0.315431 0.088108 ENSG00000196458
TMEM230 ENSG00000089063.10 0.386409 0.087526 ENSG00000089063
BSG ENSG00000172270.14 0.016115 0.058248 ENSG00000172270
CMTM8 ENSG00000170293.4 0.115746 0.07415 ENSG00000170293
SLC25A51 ENSG00000122696.8 0.226908 0.074916 ENSG00000122696
PTMS ENSG00000159335.11 0.023814 0.060671 ENSG00000159335
ATP6V0E2 ENSG00000171130.13 0.088585 0.065181 ENSG00000171130
MYRF ENSG00000124920.9 0.06761 0.054742 ENSG00000124920
CYP4F12 ENSG00000186204.9 0.273285 0.076186 ENSG00000186204
PLEC ENSG00000178209.10 0.138605 0.057262 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.295786 0.072402 ENSG00000108592
ZNF554 ENSG00000172006.7 0.226552 0.078303 ENSG00000172006
RNF17 ENSG00000132972.13 0.086984 0.063059 ENSG00000132972
LMBR1 ENSG00000105983.14 0.023893 0.063467 ENSG00000105983
PGM1 ENSG00000079739.11 0.173626 0.072593 ENSG00000079739
RPH3A ENSG00000089169.10 0.016608 0.038319 ENSG00000089169
CRISP2 ENSG00000124490.9 0.010681 0.030523 ENSG00000124490
STEAP1B ENSG00000105889.10 0.044276 0.060961 ENSG00000105889
ERO1LB ENSG00000086619.9 0.049239 0.054935 ENSG00000086619
LRRC8B ENSG00000197147.8 0.163044 0.067858 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.044686 0.059272 ENSG00000144741
PANK3 ENSG00000120137.6 0.098301 0.069274 ENSG00000120137
RAVER2 ENSG00000162437.10 0.158914 0.072099 ENSG00000162437
CRYGN ENSG00000127377.4 0.054239 0.055039 ENSG00000127377
COX6B2 ENSG00000160471.7 0.031262 0.069318 ENSG00000160471
ZNF783 ENSG00000204946.5 0.227464 0.084545 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.047279 0.061429 ENSG00000121440
VPS28 ENSG00000160948.9 0.547678 0.081276 ENSG00000160948
PRF1 ENSG00000180644.6 0.011082 0.062028 ENSG00000180644
SERPINC1 ENSG00000117601.9 0.169527 0.070301 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.070274 0.072722 ENSG00000166004
GSDMA ENSG00000167914.6 0.498071 0.070063 ENSG00000167914
ANO10 ENSG00000160746.8 0.016833 0.041549 ENSG00000160746
SAYSD1 ENSG00000112167.5 0.112832 0.070955 ENSG00000112167
CHAF1A ENSG00000167670.11 0.39332 0.079839 ENSG00000167670
SUPT16H ENSG00000092201.5 0.023077 0.056843 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.171143 0.078361 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.044338 0.0456 ENSG00000047188
ZNF763 ENSG00000197054.7 0.029553 0.043059 ENSG00000197054
NUTM2B ENSG00000188199.6 0.137069 0.067737 ENSG00000188199
SACM1L ENSG00000211456.6 0.135169 0.063836 ENSG00000211456
IRF6 ENSG00000117595.6 0.163631 0.066795 ENSG00000117595
KLHL10 ENSG00000161594.6 0.026723 0.038786 ENSG00000161594
POMZP3 ENSG00000146707.10 0.770008 0.047081 ENSG00000146707
ZEB2 ENSG00000169554.12 0.014147 0.041041 ENSG00000169554
DDT ENSG00000099977.9 0.154908 0.069506 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.228214 0.085499 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.049675 0.05433 ENSG00000163145
IQCE ENSG00000106012.13 0.029219 0.050544 ENSG00000106012
SEC16A ENSG00000148396.14 0.309632 0.078016 ENSG00000148396
FAM27A ENSG00000182368.4 0.011655 0.020963 ENSG00000182368
CBS ENSG00000160200.13 0.040942 0.055131 ENSG00000160200
CCDC19 ENSG00000213085.5 0.060198 0.064801 ENSG00000213085
TRIOBP ENSG00000100106.15 0.205493 0.075866 ENSG00000100106
LGALS2 ENSG00000100079.5 0.063851 0.06338 ENSG00000100079
RPH3AL ENSG00000181031.11 0.618173 0.073172 ENSG00000181031
C1QTNF6 ENSG00000133466.9 0.200782 0.081184 ENSG00000133466
GIMAP4 ENSG00000133574.5 0.136994 0.067248 ENSG00000133574
CAT ENSG00000121691.4 0.161044 0.07157 ENSG00000121691
UGT2B15 ENSG00000196620.4 0.024786 0.029651 ENSG00000196620
PTPRN2 ENSG00000155093.13 0.167727 0.076494 ENSG00000155093
ARHGEF25 ENSG00000240771.2 0.019331 0.048215 ENSG00000240771
KCNK17 ENSG00000124780.9 0.111568 0.068543 ENSG00000124780
POLR2E ENSG00000099817.7 0.199451 0.085375 ENSG00000099817
CLCN1 ENSG00000188037.6 0.013108 0.035252 ENSG00000188037
SLC25A25 ENSG00000148339.8 0.031886 0.05289 ENSG00000148339
UBR3 ENSG00000144357.12 0.100068 0.065182 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.157214 0.062032 ENSG00000137860
ACOX3 ENSG00000087008.11 0.291083 0.082667 ENSG00000087008
ZNF296 ENSG00000170684.4 0.137303 0.078954 ENSG00000170684
OVCH1 ENSG00000187950.4 0.070917 0.056769 ENSG00000187950
CRTC1 ENSG00000105662.11 0.045841 0.053383 ENSG00000105662
CCDC14 ENSG00000175455.10 0.057915 0.062262 ENSG00000175455
HTRA3 ENSG00000170801.5 0.025319 0.057387 ENSG00000170801
CPSF3 ENSG00000119203.9 0.041465 0.053984 ENSG00000119203
PCGF5 ENSG00000180628.10 0.068698 0.050699 ENSG00000180628
ITIH2 ENSG00000151655.13 0.13466 0.072842 ENSG00000151655
ZNF223 ENSG00000178386.8 0.062871 0.080962 ENSG00000178386
TBC1D10C ENSG00000175463.7 0.010284 0.033351 ENSG00000175463
ESYT2 ENSG00000117868.11 0.088815 0.063077 ENSG00000117868
SLC25A27 ENSG00000153291.11 0.255411 0.079871 ENSG00000153291
ZNF121 ENSG00000197961.7 0.026769 0.048842 ENSG00000197961
FAM19A2 ENSG00000198673.6 0.052534 0.051076 ENSG00000198673
RGS14 ENSG00000169220.13 0.080178 0.066061 ENSG00000169220
CCDC146 ENSG00000135205.10 0.199541 0.079892 ENSG00000135205
ADAMTS7 ENSG00000136378.10 0.02477 0.045403 ENSG00000136378
TIGD3 ENSG00000173825.6 0.09798 0.062677 ENSG00000173825
ZNF333 ENSG00000160961.7 0.265895 0.083396 ENSG00000160961
ABCC8 ENSG00000006071.7 0.021151 0.046259 ENSG00000006071
C19orf48 ENSG00000167747.9 0.203397 0.085557 ENSG00000167747
SGIP1 ENSG00000118473.17 0.058697 0.049243 ENSG00000118473
WDR19 ENSG00000157796.13 0.016453 0.037815 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.141689 0.070824 ENSG00000162769
TAF1C ENSG00000103168.12 0.475031 0.096912 ENSG00000103168
FCRLB ENSG00000162746.10 0.123605 0.069206 ENSG00000162746
FAM227A ENSG00000184949.10 0.153856 0.062101 ENSG00000184949
HDDC2 ENSG00000111906.12 0.339989 0.083682 ENSG00000111906
SDHC ENSG00000143252.9 0.078147 0.060748 ENSG00000143252
ZNF320 ENSG00000182986.8 0.436783 0.092318 ENSG00000182986
PM20D1 ENSG00000162877.8 0.480083 0.070735 ENSG00000162877
SCD5 ENSG00000145284.7 0.033758 0.052265 ENSG00000145284
SIGLEC10 ENSG00000142512.10 0.022028 0.059226 ENSG00000142512
RASL11A ENSG00000122035.6 0.122151 0.071842 ENSG00000122035
LRRC43 ENSG00000158113.8 0.166022 0.071063 ENSG00000158113
L1TD1 ENSG00000240563.1 0.579213 0.073538 ENSG00000240563
IL21R ENSG00000103522.11 0.037631 0.054085 ENSG00000103522
AIP ENSG00000110711.4 0.019999 0.043493 ENSG00000110711
NAIF1 ENSG00000171169.8 0.06097 0.051441 ENSG00000171169
CCDC66 ENSG00000180376.12 0.230071 0.077309 ENSG00000180376
IL11 ENSG00000095752.2 0.05834 0.07219 ENSG00000095752
NDFIP1 ENSG00000131507.9 0.133696 0.07843 ENSG00000131507
FAM170B ENSG00000172538.6 0.105599 0.060253 ENSG00000172538
RSPRY1 ENSG00000159579.9 0.157551 0.082565 ENSG00000159579
SDCCAG8 ENSG00000054282.11 0.186582 0.066859 ENSG00000054282
ZC3HAV1 ENSG00000105939.8 0.104135 0.065097 ENSG00000105939
CDC42BPA ENSG00000143776.14 0.184394 0.071509 ENSG00000143776
TMEM200A ENSG00000164484.7 0.052555 0.051536 ENSG00000164484
GTF3A ENSG00000122034.8 0.020949 0.053185 ENSG00000122034
COPS3 ENSG00000141030.8 0.043004 0.059153 ENSG00000141030
ATP8A1 ENSG00000124406.12 0.406047 0.079645 ENSG00000124406
FAAH ENSG00000117480.11 0.230849 0.085972 ENSG00000117480
C14orf28 ENSG00000179476.3 0.018571 0.037364 ENSG00000179476
VPS13B ENSG00000132549.14 0.116541 0.066748 ENSG00000132549
TRIB3 ENSG00000101255.6 0.213062 0.086739 ENSG00000101255
PDS5B ENSG00000083642.14 0.087411 0.063316 ENSG00000083642
HIST1H4H ENSG00000158406.2 0.046675 0.052498 ENSG00000158406
RNF166 ENSG00000158717.6 0.241329 0.079245 ENSG00000158717
ICAM4 ENSG00000105371.8 0.035899 0.043547 ENSG00000105371
CD55 ENSG00000196352.9 0.04122 0.048934 ENSG00000196352
SNX31 ENSG00000174226.4 0.614262 0.069326 ENSG00000174226
WFDC1 ENSG00000103175.6 0.104728 0.093101 ENSG00000103175
PCP2 ENSG00000174788.5 0.184947 0.090082 ENSG00000174788
ARFGAP3 ENSG00000242247.6 0.048165 0.038902 ENSG00000242247
EFCAB13 ENSG00000178852.11 0.234384 0.074682 ENSG00000178852
CLEC18C ENSG00000157335.15 0.179081 0.073461 ENSG00000157335
SCAP ENSG00000114650.14 0.173772 0.08137 ENSG00000114650
SSB ENSG00000138385.11 0.038358 0.050551 ENSG00000138385
FAS ENSG00000026103.15 0.394389 0.073143 ENSG00000026103
SYTL1 ENSG00000142765.13 0.03636 0.045014 ENSG00000142765
RHPN1 ENSG00000158106.8 0.195917 0.078411 ENSG00000158106
CCR3 ENSG00000183625.10 0.031364 0.047021 ENSG00000183625
RP11-552I14.1 ENSG00000257860.1 0.023176 0.055419 ENSG00000257860
GIMAP7 ENSG00000179144.4 0.042984 0.051152 ENSG00000179144
ASB8 ENSG00000177981.6 0.05429 0.044124 ENSG00000177981
NUP43 ENSG00000120253.9 0.172012 0.067954 ENSG00000120253
SEC22A ENSG00000121542.7 0.345511 0.072056 ENSG00000121542
ARPC1B ENSG00000130429.8 0.07279 0.052924 ENSG00000130429
ARHGEF35 ENSG00000213214.3 0.349053 0.073362 ENSG00000213214
MCF2L ENSG00000126217.16 0.05615 0.063813 ENSG00000126217
PSMB10 ENSG00000205220.7 0.046364 0.050195 ENSG00000205220
MYO16 ENSG00000041515.11 0.167877 0.080484 ENSG00000041515
SULT1A1 ENSG00000196502.7 0.058661 0.041349 ENSG00000196502
LURAP1L ENSG00000153714.5 0.031295 0.053586 ENSG00000153714
FARP1 ENSG00000152767.11 0.143377 0.084344 ENSG00000152767
ACTR3B ENSG00000133627.13 0.018325 0.055226 ENSG00000133627
TTC18 ENSG00000156042.13 0.163958 0.072917 ENSG00000156042
CLN6 ENSG00000128973.7 0.097173 0.058718 ENSG00000128973
PCDH15 ENSG00000150275.13 0.026896 0.052158 ENSG00000150275
AK5 ENSG00000154027.14 0.071643 0.058944 ENSG00000154027
GRPEL1 ENSG00000109519.8 0.108077 0.074299 ENSG00000109519
ERP27 ENSG00000139055.2 0.108501 0.056311 ENSG00000139055
PKD2 ENSG00000118762.3 0.043422 0.053935 ENSG00000118762
GNMT ENSG00000124713.5 0.184859 0.074298 ENSG00000124713
FANCC ENSG00000158169.7 0.052939 0.078934 ENSG00000158169
FBXO43 ENSG00000156509.9 0.039471 0.039785 ENSG00000156509
FAM109A ENSG00000198324.10 0.018079 0.044686 ENSG00000198324
AGFG2 ENSG00000106351.8 0.028671 0.036762 ENSG00000106351
USP10 ENSG00000103194.11 0.055369 0.080406 ENSG00000103194
TPM2 ENSG00000198467.9 0.032145 0.042347 ENSG00000198467
MANSC4 ENSG00000205693.3 0.120735 0.067482 ENSG00000205693
MRI1 ENSG00000037757.9 0.178726 0.08577 ENSG00000037757
ZNF419 ENSG00000105136.15 0.310601 0.070416 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.524451 0.080635 ENSG00000198203
BIRC2 ENSG00000110330.4 0.022344 0.041177 ENSG00000110330
TOP1MT ENSG00000184428.8 0.183628 0.069985 ENSG00000184428
SPRY2 ENSG00000136158.6 0.017189 0.039984 ENSG00000136158
LURAP1 ENSG00000171357.5 0.162816 0.068636 ENSG00000171357
CMTM7 ENSG00000153551.9 0.106364 0.070404 ENSG00000153551
AL627309.1 ENSG00000237683.5 0.016907 0.042311 ENSG00000237683
FBRSL1 ENSG00000112787.8 0.07641 0.053263 ENSG00000112787
