AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
ERAP2 ENSG00000164308.12 0.39762 0.077268 ENSG00000164308
RDX ENSG00000137710.10 0.181925 0.077971 ENSG00000137710
COPB2 ENSG00000184432.5 0.153496 0.075502 ENSG00000184432
OLFM2 ENSG00000105088.4 0.207508 0.081947 ENSG00000105088
SLC35G1 ENSG00000176273.10 0.183881 0.07524 ENSG00000176273
NDUFAF1 ENSG00000137806.4 0.276063 0.081796 ENSG00000137806
SULT1A2 ENSG00000197165.6 0.199292 0.071369 ENSG00000197165
INTS6 ENSG00000102786.10 0.164073 0.080907 ENSG00000102786
POGLUT1 ENSG00000163389.6 0.133513 0.065832 ENSG00000163389
GAS2L3 ENSG00000139354.6 0.140752 0.069004 ENSG00000139354
SLC5A9 ENSG00000117834.8 0.278746 0.08298 ENSG00000117834
SRCRB4D ENSG00000146700.8 0.152536 0.066556 ENSG00000146700
FBN3 ENSG00000142449.8 0.394439 0.092532 ENSG00000142449
CHCHD2 ENSG00000106153.12 0.150985 0.07526 ENSG00000106153
PARVB ENSG00000188677.9 0.213524 0.093706 ENSG00000188677
MRPS9 ENSG00000135972.4 0.152607 0.074377 ENSG00000135972
XYLT2 ENSG00000015532.5 0.167821 0.079499 ENSG00000015532
ENTPD6 ENSG00000197586.8 0.146093 0.070717 ENSG00000197586
ENPEP ENSG00000138792.5 0.573183 0.068123 ENSG00000138792
RHAG ENSG00000112077.11 0.143685 0.070101 ENSG00000112077
SLITRK5 ENSG00000165300.6 0.200822 0.078424 ENSG00000165300
SYNRG ENSG00000006114.11 0.200762 0.076306 ENSG00000006114
CSTF2T ENSG00000177613.7 0.184688 0.082266 ENSG00000177613
KANSL2 ENSG00000139620.8 0.275129 0.077362 ENSG00000139620
NSUN6 ENSG00000241058.1 0.148264 0.07099 ENSG00000241058
HSD17B13 ENSG00000170509.7 0.164864 0.072962 ENSG00000170509
KANSL3 ENSG00000114982.13 0.183651 0.088551 ENSG00000114982
HOXA10 ENSG00000253293.3 0.224451 0.090227 ENSG00000253293
SPTLC3 ENSG00000172296.8 0.223902 0.08075 ENSG00000172296
L3MBTL3 ENSG00000198945.3 0.300921 0.087582 ENSG00000198945
WDR38 ENSG00000136918.3 0.211526 0.092029 ENSG00000136918
TASP1 ENSG00000089123.11 0.212913 0.0783 ENSG00000089123
GALNT3 ENSG00000115339.9 0.1415 0.070331 ENSG00000115339
SLC27A2 ENSG00000140284.6 0.190334 0.079447 ENSG00000140284
GPR12 ENSG00000132975.6 0.165434 0.082437 ENSG00000132975
EPN3 ENSG00000049283.13 0.137095 0.066536 ENSG00000049283
ANAPC4 ENSG00000053900.6 0.229245 0.096327 ENSG00000053900
CACNB1 ENSG00000067191.11 0.174731 0.082263 ENSG00000067191
TYRO3 ENSG00000092445.7 0.214185 0.079907 ENSG00000092445
MRO ENSG00000134042.8 0.178446 0.089157 ENSG00000134042
SMAD7 ENSG00000101665.4 0.170917 0.070392 ENSG00000101665
SYPL2 ENSG00000143028.7 0.2042 0.077077 ENSG00000143028
COLQ ENSG00000206561.8 0.1815 0.079606 ENSG00000206561
GPR17 ENSG00000144230.12 0.264975 0.081588 ENSG00000144230
ANO5 ENSG00000171714.10 0.180261 0.069902 ENSG00000171714
UGT2B4 ENSG00000156096.8 0.285926 0.070194 ENSG00000156096
USH1C ENSG00000006611.11 0.2814 0.08592 ENSG00000006611
FLCN ENSG00000154803.8 0.2079 0.090445 ENSG00000154803
MICAL2 ENSG00000133816.9 0.164918 0.080894 ENSG00000133816
TRIM66 ENSG00000166436.11 0.161414 0.080329 ENSG00000166436
ENTPD2 ENSG00000054179.7 0.188615 0.090993 ENSG00000054179
SLC39A8 ENSG00000138821.8 0.182594 0.073974 ENSG00000138821
ENOX1 ENSG00000120658.8 0.185012 0.07954 ENSG00000120658
NRXN2 ENSG00000110076.14 0.160093 0.067912 ENSG00000110076
CADM2 ENSG00000175161.9 0.174533 0.073829 ENSG00000175161
NUDT2 ENSG00000164978.13 0.200475 0.075528 ENSG00000164978
LYNX1 ENSG00000180155.14 0.29184 0.085312 ENSG00000180155
GLP1R ENSG00000112164.5 0.1799 0.08124 ENSG00000112164
WDR47 ENSG00000085433.11 0.19973 0.088365 ENSG00000085433
ARPC5 ENSG00000162704.11 0.18271 0.084036 ENSG00000162704
KIAA1217 ENSG00000120549.11 0.184471 0.087058 ENSG00000120549
DCSTAMP ENSG00000164935.2 0.159397 0.07203 ENSG00000164935
ROBO4 ENSG00000154133.10 0.203724 0.088002 ENSG00000154133
NEK7 ENSG00000151414.10 0.196205 0.073373 ENSG00000151414
C2CD4A ENSG00000198535.5 0.142377 0.068505 ENSG00000198535
HBS1L ENSG00000112339.10 0.249802 0.085132 ENSG00000112339
PLEKHA6 ENSG00000143850.8 0.233989 0.081058 ENSG00000143850
MFI2 ENSG00000163975.7 0.164334 0.081744 ENSG00000163975
EDN3 ENSG00000124205.11 0.286629 0.091024 ENSG00000124205
CALD1 ENSG00000122786.15 0.164625 0.07833 ENSG00000122786
CXCL17 ENSG00000189377.4 0.176386 0.082979 ENSG00000189377
PAPL ENSG00000183760.6 0.209462 0.100347 ENSG00000183760
PDE5A ENSG00000138735.11 0.128549 0.063997 ENSG00000138735
FAM124A ENSG00000150510.11 0.197453 0.083488 ENSG00000150510
GPSM2 ENSG00000121957.7 0.170751 0.075065 ENSG00000121957
SNAI1 ENSG00000124216.3 0.152189 0.073689 ENSG00000124216
PRL ENSG00000172179.7 0.208343 0.084236 ENSG00000172179
SLC44A5 ENSG00000137968.12 0.243872 0.075546 ENSG00000137968
CLTB ENSG00000175416.8 0.253472 0.090528 ENSG00000175416
SPTBN5 ENSG00000137877.8 0.224304 0.075866 ENSG00000137877
PARG ENSG00000227345.4 0.164373 0.075936 ENSG00000227345
TSG101 ENSG00000074319.8 0.190651 0.085954 ENSG00000074319
EXT2 ENSG00000151348.9 0.169228 0.080911 ENSG00000151348
GYPC ENSG00000136732.10 0.135448 0.063386 ENSG00000136732
NRIP3 ENSG00000175352.6 0.244227 0.093809 ENSG00000175352
CRMP1 ENSG00000072832.10 0.258729 0.092136 ENSG00000072832
ZC3H3 ENSG00000014164.6 0.260972 0.075472 ENSG00000014164
ID4 ENSG00000172201.6 0.126666 0.060382 ENSG00000172201
TPT1 ENSG00000133112.12 0.166909 0.072149 ENSG00000133112
DNASE1L3 ENSG00000163687.9 0.153727 0.072105 ENSG00000163687
PARP4 ENSG00000102699.5 0.152133 0.073852 ENSG00000102699
HOXC8 ENSG00000037965.4 0.256626 0.093551 ENSG00000037965
PDGFRB ENSG00000113721.9 0.210467 0.088152 ENSG00000113721
RAD21L1 ENSG00000244588.1 0.184333 0.089403 ENSG00000244588
TNNT3 ENSG00000130595.12 0.159314 0.079571 ENSG00000130595
PRR19 ENSG00000188368.5 0.177514 0.08688 ENSG00000188368
ITPKA ENSG00000137825.6 0.216574 0.089526 ENSG00000137825
EYA4 ENSG00000112319.13 0.301972 0.08742 ENSG00000112319
ODF2L ENSG00000122417.11 0.161191 0.071616 ENSG00000122417
KIAA1549L ENSG00000110427.10 0.181038 0.07703 ENSG00000110427
MRPS10 ENSG00000048544.5 0.232001 0.081048 ENSG00000048544
CLEC12A ENSG00000172322.9 0.341587 0.081931 ENSG00000172322
NIPAL4 ENSG00000172548.10 0.15454 0.072959 ENSG00000172548
SLC22A31 ENSG00000259803.2 0.219672 0.079191 ENSG00000259803
ZBTB22 ENSG00000236104.2 0.154162 0.075926 ENSG00000236104
C19orf24 ENSG00000228300.9 0.188858 0.089865 ENSG00000228300
CKMT1A ENSG00000223572.5 0.226187 0.098676 ENSG00000223572
TM6SF2 ENSG00000213996.7 0.12032 0.056762 ENSG00000213996
IZUMO3 ENSG00000205442.8 0.189543 0.077691 ENSG00000205442
RPE ENSG00000197713.10 0.165116 0.072639 ENSG00000197713
ENTPD8 ENSG00000188833.5 0.292133 0.098942 ENSG00000188833
PALM3 ENSG00000187867.4 0.309098 0.090098 ENSG00000187867
ADH1A ENSG00000187758.3 0.177106 0.075943 ENSG00000187758
TMPRSS6 ENSG00000187045.12 0.216598 0.094985 ENSG00000187045
KRT73 ENSG00000186049.4 0.139526 0.069659 ENSG00000186049
GRK1 ENSG00000185974.6 0.252727 0.07932 ENSG00000185974
KCNA4 ENSG00000182255.6 0.148759 0.070705 ENSG00000182255
STX19 ENSG00000178750.2 0.17928 0.0837 ENSG00000178750
STAP2 ENSG00000178078.7 0.275691 0.085261 ENSG00000178078
KCNH6 ENSG00000173826.10 0.167217 0.072063 ENSG00000173826
LRRC20 ENSG00000172731.9 0.175507 0.087271 ENSG00000172731
UGT2B7 ENSG00000171234.9 0.163398 0.070782 ENSG00000171234
PLA2G1B ENSG00000170890.9 0.18207 0.075804 ENSG00000170890
GPR37 ENSG00000170775.2 0.153421 0.070695 ENSG00000170775
SH3TC2 ENSG00000169247.7 0.163534 0.075924 ENSG00000169247
LRP1B ENSG00000168702.12 0.175742 0.084117 ENSG00000168702
MOBP ENSG00000168314.13 0.146676 0.072316 ENSG00000168314
EEF2 ENSG00000167658.11 0.186006 0.092231 ENSG00000167658
TMC4 ENSG00000167608.7 0.234694 0.094602 ENSG00000167608
AMER2 ENSG00000165566.11 0.424978 0.084728 ENSG00000165566
C7orf34 ENSG00000165131.6 0.153568 0.07038 ENSG00000165131
RPN1 ENSG00000163902.7 0.217907 0.094199 ENSG00000163902
IGFN1 ENSG00000163395.12 0.190651 0.087642 ENSG00000163395
TAOK1 ENSG00000160551.5 0.164888 0.077792 ENSG00000160551
HEATR3 ENSG00000155393.8 0.315022 0.080783 ENSG00000155393
GTF3C6 ENSG00000155115.6 0.185286 0.080827 ENSG00000155115
PTPRD ENSG00000153707.11 0.184531 0.090775 ENSG00000153707
OXSM ENSG00000151093.3 0.135269 0.066584 ENSG00000151093
FRG1B ENSG00000149531.10 0.1944 0.083924 ENSG00000149531
MEIS1 ENSG00000143995.15 0.203234 0.084016 ENSG00000143995
ZNF287 ENSG00000141040.10 0.198863 0.08314 ENSG00000141040
SLC5A2 ENSG00000140675.8 0.190295 0.070834 ENSG00000140675
FITM1 ENSG00000139914.6 0.172764 0.085496 ENSG00000139914
NOV ENSG00000136999.4 0.157248 0.065586 ENSG00000136999
TM6SF1 ENSG00000136404.11 0.288634 0.096999 ENSG00000136404
CAPN9 ENSG00000135773.8 0.281564 0.093978 ENSG00000135773
MICAL1 ENSG00000135596.13 0.268755 0.084209 ENSG00000135596
EPHA7 ENSG00000135333.9 0.177245 0.070025 ENSG00000135333
RFTN1 ENSG00000131378.9 0.151434 0.075709 ENSG00000131378
AJUBA ENSG00000129474.11 0.170983 0.074391 ENSG00000129474
TTBK2 ENSG00000128881.12 0.179404 0.080985 ENSG00000128881
HOXC11 ENSG00000123388.4 0.153482 0.076345 ENSG00000123388
LPPR5 ENSG00000117598.7 0.3421 0.076061 ENSG00000117598
TNNI3K ENSG00000116783.9 0.17139 0.077719 ENSG00000116783
PDCD10 ENSG00000114209.10 0.172974 0.083517 ENSG00000114209
SPARC ENSG00000113140.6 0.15888 0.078947 ENSG00000113140
PTPN5 ENSG00000110786.13 0.164428 0.077663 ENSG00000110786
PTPRZ1 ENSG00000106278.7 0.287196 0.077408 ENSG00000106278
CCL17 ENSG00000102970.6 0.201921 0.085083 ENSG00000102970
RBBP8 ENSG00000101773.12 0.217972 0.095413 ENSG00000101773
PAK7 ENSG00000101349.12 0.221675 0.087373 ENSG00000101349
ISM1 ENSG00000101230.4 0.157923 0.071362 ENSG00000101230
PRTFDC1 ENSG00000099256.14 0.180163 0.075352 ENSG00000099256
NRCAM ENSG00000091129.15 0.175423 0.077024 ENSG00000091129
HACE1 ENSG00000085382.7 0.176729 0.082495 ENSG00000085382
TDRD3 ENSG00000083544.9 0.369773 0.077638 ENSG00000083544
PRKCQ ENSG00000065675.10 0.173547 0.078087 ENSG00000065675
LTK ENSG00000062524.11 0.431669 0.083327 ENSG00000062524
PHF23 ENSG00000040633.8 0.155314 0.073412 ENSG00000040633
PRKCH ENSG00000027075.9 0.170236 0.082806 ENSG00000027075
IL20RA ENSG00000016402.8 0.17844 0.07837 ENSG00000016402
TFAP2B ENSG00000008196.8 0.156815 0.071393 ENSG00000008196
PON1 ENSG00000005421.4 0.141586 0.067702 ENSG00000005421
