AssociatedGeneName EnsemblGeneID h2.CrossTissue se.CrossTissue ensid
CCDC109B ENSG00000005059.11 0.097717 0.044185 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.209154 0.065236 ENSG00000145882
CDS2 ENSG00000101290.9 0.112058 0.052884 ENSG00000101290
SMIM20 ENSG00000250317.4 0.180567 0.062437 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.429512 0.058484 ENSG00000204038
PKP4 ENSG00000144283.17 0.155269 0.058509 ENSG00000144283
GM2A ENSG00000196743.4 0.292863 0.067662 ENSG00000196743
PCDHB8 ENSG00000120322.2 0.490711 0.056587 ENSG00000120322
ZNF266 ENSG00000174652.13 0.541661 0.051704 ENSG00000174652
APOL4 ENSG00000100336.13 0.395717 0.068338 ENSG00000100336
LCK ENSG00000182866.12 0.104441 0.047309 ENSG00000182866
NTPCR ENSG00000135778.6 0.592031 0.059016 ENSG00000135778
ABHD4 ENSG00000100439.6 0.121327 0.06 ENSG00000100439
ETV7 ENSG00000010030.9 0.123279 0.051115 ENSG00000010030
POLR2J ENSG00000005075.11 0.398663 0.066051 ENSG00000005075
ATMIN ENSG00000166454.5 0.153502 0.062451 ENSG00000166454
AKR1C1 ENSG00000187134.8 0.130784 0.056205 ENSG00000187134
GBP3 ENSG00000117226.7 0.751179 0.037323 ENSG00000117226
CDHR3 ENSG00000128536.11 0.421268 0.070472 ENSG00000128536
PILRB ENSG00000121716.13 0.51202 0.060605 ENSG00000121716
C15orf57 ENSG00000128891.11 0.579773 0.054105 ENSG00000128891
IFT88 ENSG00000032742.13 0.286971 0.058317 ENSG00000032742
ARL14EP ENSG00000152219.4 0.168348 0.050957 ENSG00000152219
VNN1 ENSG00000112299.7 0.141733 0.048182 ENSG00000112299
ANXA8L2 ENSG00000186807.9 0.130554 0.054596 ENSG00000186807
GSTM2 ENSG00000213366.8 0.133068 0.058734 ENSG00000213366
ZNF205 ENSG00000122386.6 0.126327 0.04729 ENSG00000122386
CISD1 ENSG00000122873.7 0.247831 0.057196 ENSG00000122873
TMEM50B ENSG00000142188.12 0.461524 0.057668 ENSG00000142188
SCO2 ENSG00000130489.8 0.194679 0.061606 ENSG00000130489
RAD51C ENSG00000108384.10 0.189834 0.053622 ENSG00000108384
RBMS2 ENSG00000076067.7 0.192827 0.058607 ENSG00000076067
USP53 ENSG00000145390.7 0.099682 0.044953 ENSG00000145390
CAST ENSG00000153113.19 0.311877 0.064748 ENSG00000153113
C17orf97 ENSG00000187624.7 0.897577 0.01856 ENSG00000187624
ARL17B ENSG00000228696.4 0.428082 0.079667 ENSG00000228696
ADAT1 ENSG00000065457.6 0.519534 0.056913 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.172178 0.055353 ENSG00000113716
NME4 ENSG00000103202.8 0.175198 0.057571 ENSG00000103202
GCC2 ENSG00000135968.15 0.412738 0.060518 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.079044 0.039453 ENSG00000123610
OPN4 ENSG00000122375.7 0.403886 0.058441 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.271419 0.063488 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.648759 0.048306 ENSG00000171903
QDPR ENSG00000151552.7 0.432831 0.064006 ENSG00000151552
TDGF1 ENSG00000241186.3 0.769159 0.035497 ENSG00000241186
NSFL1C ENSG00000088833.12 0.216834 0.058103 ENSG00000088833
FANCA ENSG00000187741.10 0.355163 0.065689 ENSG00000187741
RSPO4 ENSG00000101282.4 0.528569 0.058021 ENSG00000101282
GSTM1 ENSG00000134184.8 0.567861 0.061034 ENSG00000134184
ZFP28 ENSG00000196867.3 0.221875 0.059687 ENSG00000196867
YIPF5 ENSG00000145817.12 0.368446 0.065062 ENSG00000145817
CCDC102A ENSG00000135736.5 0.131265 0.057174 ENSG00000135736
FADS1 ENSG00000149485.12 0.098169 0.048403 ENSG00000149485
ZNF555 ENSG00000186300.7 0.21024 0.062597 ENSG00000186300
TRIM4 ENSG00000146833.11 0.401194 0.06343 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.573636 0.052527 ENSG00000100191
GIMAP5 ENSG00000196329.6 0.11674 0.045715 ENSG00000196329
IQCB1 ENSG00000173226.12 0.601428 0.057385 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.624236 0.051028 ENSG00000101307
COG5 ENSG00000164597.9 0.116546 0.048428 ENSG00000164597
MTHFS ENSG00000136371.5 0.460928 0.060564 ENSG00000136371
PLVAP ENSG00000130300.4 0.288291 0.065818 ENSG00000130300
VLDLR ENSG00000147852.10 0.121521 0.056282 ENSG00000147852
C10orf107 ENSG00000183346.6 0.545784 0.056424 ENSG00000183346
ASNSD1 ENSG00000138381.5 0.339837 0.064863 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.369694 0.063694 ENSG00000196963
CDH23 ENSG00000107736.15 0.171013 0.063143 ENSG00000107736
CD40 ENSG00000101017.9 0.186679 0.059189 ENSG00000101017
ZNF586 ENSG00000083828.11 0.385145 0.064453 ENSG00000083828
TDRD6 ENSG00000180113.11 0.486453 0.057597 ENSG00000180113
CCDC74A ENSG00000163040.10 0.160502 0.057243 ENSG00000163040
CD3D ENSG00000167286.5 0.107071 0.045403 ENSG00000167286
RNASEH2C ENSG00000172922.4 0.174951 0.054839 ENSG00000172922
TRIM37 ENSG00000108395.9 0.162359 0.052232 ENSG00000108395
DSCC1 ENSG00000136982.5 0.762981 0.037324 ENSG00000136982
CHML ENSG00000203668.1 0.241513 0.063866 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.15092 0.055342 ENSG00000166839
COG6 ENSG00000133103.12 0.222825 0.056478 ENSG00000133103
ANXA8L1 ENSG00000150165.13 0.170286 0.05694 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.239703 0.061483 ENSG00000197375
NIPAL1 ENSG00000163293.7 0.402731 0.065745 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.278514 0.060112 ENSG00000100077
DDX11 ENSG00000013573.12 0.8717 0.020252 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.31275 0.062831 ENSG00000136144
ZNF589 ENSG00000164048.9 0.528106 0.070543 ENSG00000164048
C22orf43 ENSG00000189269.7 0.800448 0.031146 ENSG00000189269
ZNF605 ENSG00000196458.6 0.272421 0.069722 ENSG00000196458
TMEM230 ENSG00000089063.10 0.397016 0.064256 ENSG00000089063
C4BPA ENSG00000123838.6 0.322744 0.069717 ENSG00000123838
SLC25A51 ENSG00000122696.8 0.376221 0.060343 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.242318 0.062712 ENSG00000171130
CYP4F12 ENSG00000186204.9 0.247547 0.06411 ENSG00000186204
PLEC ENSG00000178209.10 0.250279 0.054084 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.400359 0.061675 ENSG00000108592
CLEC4A ENSG00000111729.8 0.084991 0.038083 ENSG00000111729
ZNF554 ENSG00000172006.7 0.141808 0.050611 ENSG00000172006
RNF17 ENSG00000132972.13 0.213873 0.058013 ENSG00000132972
ERO1LB ENSG00000086619.9 0.133887 0.050689 ENSG00000086619
LRRC8B ENSG00000197147.8 0.156373 0.055266 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.380846 0.060095 ENSG00000144741
RAVER2 ENSG00000162437.10 0.096383 0.046727 ENSG00000162437
CRYGN ENSG00000127377.4 0.160457 0.059098 ENSG00000127377
ZNF783 ENSG00000204946.5 0.423922 0.064798 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.128554 0.052896 ENSG00000121440
VPS28 ENSG00000160948.9 0.571689 0.059211 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.385325 0.071313 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.177294 0.063978 ENSG00000166004
GSDMA ENSG00000167914.6 0.509305 0.061495 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.16815 0.062166 ENSG00000132196
SAYSD1 ENSG00000112167.5 0.123277 0.056628 ENSG00000112167
CHAF1A ENSG00000167670.11 0.448414 0.058406 ENSG00000167670
SRD5A3 ENSG00000128039.6 0.648869 0.052993 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.104814 0.038395 ENSG00000047188
TIMM21 ENSG00000075336.7 0.119594 0.047088 ENSG00000075336
NUTM2B ENSG00000188199.6 0.406644 0.062167 ENSG00000188199
IZUMO2 ENSG00000161652.8 0.157376 0.064482 ENSG00000161652
SACM1L ENSG00000211456.6 0.100391 0.045334 ENSG00000211456
IRF6 ENSG00000117595.6 0.276028 0.058938 ENSG00000117595
KLHL10 ENSG00000161594.6 0.159155 0.051686 ENSG00000161594
POMZP3 ENSG00000146707.10 0.798647 0.031633 ENSG00000146707
DDT ENSG00000099977.9 0.379905 0.06782 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.245049 0.058943 ENSG00000213246
SEC16A ENSG00000148396.14 0.207603 0.053255 ENSG00000148396
FAM27A ENSG00000182368.4 0.411648 0.145153 ENSG00000182368
TRIOBP ENSG00000100106.15 0.257668 0.059715 ENSG00000100106
LGALS2 ENSG00000100079.5 0.256443 0.064139 ENSG00000100079
RPH3AL ENSG00000181031.11 0.606953 0.055215 ENSG00000181031
C1QTNF6 ENSG00000133466.9 0.425512 0.063324 ENSG00000133466
CAT ENSG00000121691.4 0.213998 0.056038 ENSG00000121691
PTPRN2 ENSG00000155093.13 0.108449 0.051993 ENSG00000155093
PODN ENSG00000174348.9 0.097721 0.043366 ENSG00000174348
KCNK17 ENSG00000124780.9 0.132366 0.052413 ENSG00000124780
POLR2E ENSG00000099817.7 0.401619 0.066063 ENSG00000099817
CLCN1 ENSG00000188037.6 0.12106 0.052431 ENSG00000188037
EREG ENSG00000124882.3 0.104091 0.042804 ENSG00000124882
SLC28A2 ENSG00000137860.7 0.44728 0.063206 ENSG00000137860
ACOX3 ENSG00000087008.11 0.261984 0.064121 ENSG00000087008
HTRA3 ENSG00000170801.5 0.110817 0.050788 ENSG00000170801
ITIH2 ENSG00000151655.13 0.28419 0.059372 ENSG00000151655
SLC25A27 ENSG00000153291.11 0.497392 0.062855 ENSG00000153291
EMR1 ENSG00000174837.10 0.192592 0.062094 ENSG00000174837
PTK6 ENSG00000101213.5 0.125066 0.047756 ENSG00000101213
RGS14 ENSG00000169220.13 0.483167 0.069049 ENSG00000169220
TIGD3 ENSG00000173825.6 0.123795 0.048151 ENSG00000173825
ZNF333 ENSG00000160961.7 0.205925 0.060866 ENSG00000160961
TACR2 ENSG00000075073.10 0.191387 0.056823 ENSG00000075073
ABCC8 ENSG00000006071.7 0.214737 0.067338 ENSG00000006071
SGIP1 ENSG00000118473.17 0.116474 0.04854 ENSG00000118473
WDR19 ENSG00000157796.13 0.15351 0.056831 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.222816 0.058677 ENSG00000162769
TAF1C ENSG00000103168.12 0.604541 0.060504 ENSG00000103168
FCRLB ENSG00000162746.10 0.183669 0.057703 ENSG00000162746
HDDC2 ENSG00000111906.12 0.567061 0.053325 ENSG00000111906
PF4V1 ENSG00000109272.3 0.124803 0.050963 ENSG00000109272
ZNF320 ENSG00000182986.8 0.704644 0.049258 ENSG00000182986
PM20D1 ENSG00000162877.8 0.628416 0.048528 ENSG00000162877
LRRC43 ENSG00000158113.8 0.390844 0.067059 ENSG00000158113
L1TD1 ENSG00000240563.1 0.635117 0.054158 ENSG00000240563
FAM196B ENSG00000204767.3 0.133248 0.057979 ENSG00000204767
IL21R ENSG00000103522.11 0.241165 0.05835 ENSG00000103522
CCDC66 ENSG00000180376.12 0.457474 0.062744 ENSG00000180376
FAM170B ENSG00000172538.6 0.280731 0.057686 ENSG00000172538
GLDC ENSG00000178445.8 0.127401 0.052847 ENSG00000178445
RSPRY1 ENSG00000159579.9 0.223014 0.06251 ENSG00000159579
TMEM223 ENSG00000168569.7 0.133012 0.056513 ENSG00000168569
SDCCAG8 ENSG00000054282.11 0.349077 0.061569 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.305769 0.06719 ENSG00000143776
ATP8A1 ENSG00000124406.12 0.319767 0.066747 ENSG00000124406
FAAH ENSG00000117480.11 0.310621 0.073507 ENSG00000117480
VPS13B ENSG00000132549.14 0.184547 0.056307 ENSG00000132549
TRIB3 ENSG00000101255.6 0.263326 0.069963 ENSG00000101255
GSTK1 ENSG00000197448.9 0.177678 0.062812 ENSG00000197448
RNF166 ENSG00000158717.6 0.435471 0.061434 ENSG00000158717
CD55 ENSG00000196352.9 0.081011 0.039967 ENSG00000196352
SNX31 ENSG00000174226.4 0.604053 0.052751 ENSG00000174226
PCP2 ENSG00000174788.5 0.316908 0.060123 ENSG00000174788
GPR114 ENSG00000159618.11 0.114509 0.053973 ENSG00000159618
ARFGAP3 ENSG00000242247.6 0.108242 0.041473 ENSG00000242247
HS2ST1 ENSG00000153936.12 0.146903 0.053488 ENSG00000153936
EFCAB13 ENSG00000178852.11 0.405349 0.067511 ENSG00000178852
CLEC18C ENSG00000157335.15 0.552235 0.067527 ENSG00000157335
PSAT1 ENSG00000135069.9 0.128853 0.058864 ENSG00000135069
RHPN1 ENSG00000158106.8 0.187482 0.058004 ENSG00000158106
EPO ENSG00000130427.2 0.097461 0.047981 ENSG00000130427
GSAP ENSG00000186088.11 0.179381 0.05677 ENSG00000186088
ASB8 ENSG00000177981.6 0.116145 0.043219 ENSG00000177981
SEC22A ENSG00000121542.7 0.396739 0.058986 ENSG00000121542
ARHGEF35 ENSG00000213214.3 0.558416 0.057293 ENSG00000213214
MCF2L ENSG00000126217.16 0.319457 0.069697 ENSG00000126217
MYO16 ENSG00000041515.11 0.149815 0.061572 ENSG00000041515
SULT1A1 ENSG00000196502.7 0.197083 0.056847 ENSG00000196502
PROK1 ENSG00000143125.5 0.120788 0.04932 ENSG00000143125
ACTR3B ENSG00000133627.13 0.145783 0.06278 ENSG00000133627
D2HGDH ENSG00000180902.12 0.097338 0.037158 ENSG00000180902
TTC18 ENSG00000156042.13 0.39838 0.073846 ENSG00000156042
CLN6 ENSG00000128973.7 0.102465 0.041253 ENSG00000128973
ERP27 ENSG00000139055.2 0.341461 0.05984 ENSG00000139055
PKD2 ENSG00000118762.3 0.118332 0.050462 ENSG00000118762
ATP5G1 ENSG00000159199.9 0.123943 0.048553 ENSG00000159199
GNMT ENSG00000124713.5 0.513809 0.056748 ENSG00000124713
FBXO43 ENSG00000156509.9 0.152643 0.058095 ENSG00000156509
TPM2 ENSG00000198467.9 0.083192 0.04122 ENSG00000198467
MRI1 ENSG00000037757.9 0.655785 0.052813 ENSG00000037757
ZNF419 ENSG00000105136.15 0.379466 0.057745 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.814528 0.030598 ENSG00000198203
TOP1MT ENSG00000184428.8 0.343141 0.068349 ENSG00000184428
BIK ENSG00000100290.2 0.115616 0.050278 ENSG00000100290
TTC28 ENSG00000100154.10 0.156444 0.062801 ENSG00000100154
LURAP1 ENSG00000171357.5 0.181312 0.062035 ENSG00000171357
CMTM7 ENSG00000153551.9 0.168768 0.0576 ENSG00000153551
AL627309.1 ENSG00000237683.5 0.116634 0.048093 ENSG00000237683
EAF2 ENSG00000145088.4 0.121197 0.044388 ENSG00000145088
PYROXD1 ENSG00000121350.11 0.269431 0.054782 ENSG00000121350
KRT72 ENSG00000170486.6 0.312555 0.060909 ENSG00000170486
C9orf72 ENSG00000147894.10 0.276982 0.05997 ENSG00000147894
CCDC3 ENSG00000151468.9 0.116279 0.055416 ENSG00000151468
HSD17B12 ENSG00000149084.7 0.749167 0.037175 ENSG00000149084
SPC25 ENSG00000152253.4 0.159909 0.052365 ENSG00000152253
MILR1 ENSG00000271605.1 0.255808 0.062893 ENSG00000271605
AMH ENSG00000104899.3 0.701273 0.04351 ENSG00000104899
CNPY4 ENSG00000166997.3 0.259079 0.068067 ENSG00000166997
ARHGEF7 ENSG00000102606.13 0.468334 0.059446 ENSG00000102606
ZNF132 ENSG00000131849.10 0.417014 0.06661 ENSG00000131849
TMEM45B ENSG00000151715.3 0.202397 0.06014 ENSG00000151715
STX2 ENSG00000111450.9 0.469441 0.059125 ENSG00000111450
ANTXRL ENSG00000198250.8 0.248491 0.061208 ENSG00000198250
PCDHGA6 ENSG00000253731.1 0.253824 0.064253 ENSG00000253731
ZNF880 ENSG00000221923.4 0.598772 0.053041 ENSG00000221923
NUP54 ENSG00000138750.10 0.160132 0.04598 ENSG00000138750
PPP2R5A ENSG00000066027.6 0.085645 0.042556 ENSG00000066027
ABCC3 ENSG00000108846.11 0.160616 0.061354 ENSG00000108846
SLC22A14 ENSG00000144671.6 0.113852 0.054974 ENSG00000144671
FBLL1 ENSG00000188573.7 0.686549 0.045851 ENSG00000188573
MZF1 ENSG00000099326.4 0.164895 0.061505 ENSG00000099326
DLD ENSG00000091140.8 0.126047 0.049537 ENSG00000091140
INTS12 ENSG00000138785.10 0.217515 0.055866 ENSG00000138785
NDNF ENSG00000173376.9 0.271168 0.060982 ENSG00000173376
GCSAM ENSG00000174500.8 0.077824 0.038349 ENSG00000174500
C11orf21 ENSG00000110665.7 0.092795 0.041186 ENSG00000110665
C2orf27A ENSG00000197927.8 0.548033 0.054058 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.253566 0.064699 ENSG00000099377
ZNF626 ENSG00000188171.10 0.115927 0.050703 ENSG00000188171
MON1B ENSG00000103111.10 0.132529 0.054467 ENSG00000103111
KCNC4 ENSG00000116396.9 0.104446 0.048799 ENSG00000116396
PROZ ENSG00000126231.9 0.455423 0.061952 ENSG00000126231
GPX7 ENSG00000116157.5 0.659278 0.048144 ENSG00000116157
CLEC4G ENSG00000182566.8 0.13536 0.059995 ENSG00000182566
MZT1 ENSG00000204899.5 0.113999 0.045825 ENSG00000204899
PSMB5 ENSG00000100804.14 0.173598 0.059208 ENSG00000100804
SNF8 ENSG00000159210.5 0.201749 0.058384 ENSG00000159210
IRAK1BP1 ENSG00000146243.9 0.392454 0.059126 ENSG00000146243
THAP5 ENSG00000177683.9 0.229204 0.065394 ENSG00000177683
TCTEX1D1 ENSG00000152760.5 0.209097 0.055453 ENSG00000152760
FGL2 ENSG00000127951.5 0.0955 0.04568 ENSG00000127951
TENC1 ENSG00000111077.13 0.164473 0.057791 ENSG00000111077
TMEM183A ENSG00000163444.7 0.152387 0.059206 ENSG00000163444
TRABD ENSG00000170638.5 0.172751 0.0613 ENSG00000170638
SLC18B1 ENSG00000146409.6 0.191209 0.057836 ENSG00000146409
MAPK8 ENSG00000107643.11 0.105936 0.045773 ENSG00000107643
NARFL ENSG00000103245.9 0.628085 0.056962 ENSG00000103245
TRAK1 ENSG00000182606.10 0.128828 0.054419 ENSG00000182606
SUSD2 ENSG00000099994.10 0.271145 0.056799 ENSG00000099994
NIT2 ENSG00000114021.6 0.168493 0.058526 ENSG00000114021
STRIP2 ENSG00000128578.5 0.21508 0.060621 ENSG00000128578
ZNF83 ENSG00000167766.13 0.680251 0.048835 ENSG00000167766
AP4M1 ENSG00000221838.5 0.325938 0.063882 ENSG00000221838
SSBP4 ENSG00000130511.10 0.152237 0.049075 ENSG00000130511
NFYA ENSG00000001167.10 0.13374 0.054646 ENSG00000001167
CC2D1B ENSG00000154222.10 0.205344 0.059631 ENSG00000154222
DHX37 ENSG00000150990.3 0.111299 0.053533 ENSG00000150990
ZNF425 ENSG00000204947.4 0.332229 0.061934 ENSG00000204947
TTLL12 ENSG00000100304.12 0.362676 0.072635 ENSG00000100304
RFT1 ENSG00000163933.5 0.424386 0.061714 ENSG00000163933
LACTB2 ENSG00000147592.4 0.175249 0.048771 ENSG00000147592
TRDMT1 ENSG00000107614.17 0.238775 0.057787 ENSG00000107614
UCHL3 ENSG00000118939.13 0.21144 0.061182 ENSG00000118939
PCDHA10 ENSG00000250120.2 0.385246 0.067872 ENSG00000250120
NEB ENSG00000183091.15 0.16964 0.054499 ENSG00000183091
AL161915.1 ENSG00000212670.1 0.207106 0.059462 ENSG00000212670
OR10AD1 ENSG00000172640.2 0.098363 0.042058 ENSG00000172640
ADAMTS14 ENSG00000138316.6 0.110071 0.051269 ENSG00000138316
APBB1IP ENSG00000077420.11 0.171469 0.055876 ENSG00000077420
PRKRIP1 ENSG00000128563.9 0.149926 0.055442 ENSG00000128563
CDC16 ENSG00000130177.10 0.35454 0.061963 ENSG00000130177
ARC ENSG00000198576.2 0.093921 0.041972 ENSG00000198576
FOXRED2 ENSG00000100350.10 0.208686 0.061608 ENSG00000100350
